source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r44_lines	r44_body_sha256	ingress
1	hciEvtParseLeConnCmpl	linked	0x00569D4C	0x00569DD2	134	ee721e9f372d44bbe3b724741ca65b1e4197486b44b814cc4bb93b8cf122afdf	337-355	7d9c5e9002f67c9d6c6f7c2194925ae1ba2a9ac45dee12313128e89c367b4c79	parse table index 1
2	hciEvtParseLeEnhancedConnCmpl	linked	0x00569DD2	0x00569E54	130	9da36a198979e68cecf6167b57809176d862db4605a10da82ceb392b2754499d	370-386	862d853464bcb3b75aa08034cedbab494869d1c73728d69d70d47f172b1ac4f6	parse table index 2
3	hciEvtParseDisconnectCmpl	linked	0x00569E54	0x00569E78	36	9766393da1de4c0332812e28afea610097581001efe94f2ec079ac9c9bfe1c6b	401-409	4c3982588140f4bb4ac616cfb4308df341bcc73773f232ddef99e5cd686ff4a9	parse table index 3,69
4	hciEvtParseLeConnUpdateCmpl	linked	0x00569E78	0x00569EC0	72	0b0dabefed37b3404034c513a985b9b0e846a27bc2a701282ac9fed6e3e73937	424-434	80740075dec9796186c85b14d0f252595921891b33c800e8b6e3f3335ae9be39	parse table index 4
5	hciEvtParseLeCreateConnCancelCmdCmpl	linked	0x00569EC0	0x00569ECC	12	9b68cf098afe7d013692aae413b392a9b6f85e7ec638c6e3429b0c27b7a244fe	449-454	899c8873bf58cd2e82f438a2fb4fcbfa3a992b6e7f9397a9dd3131cdf383fa22	parse table index 5
6	hciEvtParseReadRssiCmdCmpl	linked	0x00569ECC	0x00569EF2	38	9402e4a83bd2cd10d87fc216ed88942dac0828208729e5235358570aeb3914c5	469-477	e8de2cb18c7dfe4301e6c1699fdddaf45fbbb041e5fd19774a1c07560bf0c122	parse table index 7
7	hciEvtParseReadChanMapCmdCmpl	linked	0x00569EF2	0x00569F20	46	61396c17e3018566bfcd787e2cb80fff5e8c1af746d23dc49793f46e7e3e757d	492-501	be9f1bae58984709a715d5354a07782491c9c6075f7a066ee0d2769c112acd20	parse table index 8
8	hciEvtParseReadTxPwrLvlCmdCmpl	linked	0x00569F20	0x00569F3E	30	43e725e128cf9c36309aa068949aca8b147212e1cae7525a766db9e8b257531e	516-524	ddaf4a52cc1a00da3743b26c79e6baffdf276d3788e3b7c4deb1faf4badfa58d	parse table index 9
9	hciEvtParseReadRemoteVerInfoCmpl	linked	0x00569F3E	0x00569F7E	64	1a00caca45e183b84d937dd1d9439b0fb170760e2ecec7f081ca5803e18d78af	539-549	cf072af35cdc33dba7cc2fc7e370405cdede9a8dfd63ab84d222a1b8ea6a3684	parse table index 10
10	hciEvtParseReadLeRemoteFeatCmpl	linked	0x00569F7E	0x00569FAC	46	28fa5deaf97ad8d01569a9d834898c3bfafc6a456170f9f794c9517d4841b6c1	564-572	c45c2982b45cfeaa061474b4cf72e3ba9c59f7bcb0ea49a24b4fd57269baef8b	parse table index 11
11	hciEvtParseLeLtkReqReplCmdCmpl	linked	0x00569FAC	0x00569FCA	30	af802db6d99623b3fda9321868776de063171172f5098b867224f76ff451b7d5	587-594	db94c87a8773882232aee808329e70ee5219d27d02eb8d3a82e1bfd8c295de34	parse table index 12
12	hciEvtParseLeLtkReqNegReplCmdCmpl	linked	0x00569FCA	0x00569FE8	30	af802db6d99623b3fda9321868776de063171172f5098b867224f76ff451b7d5	609-616	c0b851495f07269810d652dc198a9a65204a07e6e4c1d32aee09a06678d82164	parse table index 13
13	hciEvtParseEncKeyRefreshCmpl	linked	0x00569FE8	0x0056A006	30	af802db6d99623b3fda9321868776de063171172f5098b867224f76ff451b7d5	631-638	b6262a8bd9d92f42565810161a9bb3df9a666c4d12c670bb9d13ef9594665579	parse table index 14
14	hciEvtParseEncChange	linked	0x0056A006	0x0056A02A	36	9766393da1de4c0332812e28afea610097581001efe94f2ec079ac9c9bfe1c6b	653-661	41288c3bfc337cefb03cbcda26d4d12e86d14e7d4825de54d8a0e65b099057c0	parse table index 15
15	hciEvtParseLeLtkReq	linked	0x0056A02A	0x0056A060	54	609df4b460758b778490d2c7912792a22fbba328f71e9828d5aeb2aafcfa7931	676-686	30a56ec8ae1c27ce1c82e00dddd5a8ea1f47a17f4bcc0e3ccef7588e96a814be	parse table index 16
16	hciEvtParseVendorSpecCmdStatus	linked	0x0056A060	0x0056A070	16	fb9faeb1991cd09d28aed0e0d33cbd1eeb1126a39649d9c59ca767e5cf9a3c0f	701-704	833dcb9a2f46e67afaca370ff6726d080de8564aa11c4436ba0d19e2ae56d36f	parse table index 17
17	hciEvtParseVendorSpecCmdCmpl	linked	0x0056A070	0x0056A0AA	58	513a1e8618ac1565a91fbc5ae8ae42d8fb3bee87cf560de6cfdb713bc9e614b2	719-730	cd9af5d5c501aaf02b2d910fb15971451994914b9ca23a4afda02e64b1965d87	parse table index 18
18	hciEvtParseVendorSpec	linked	0x0056A0AA	0x0056A0C8	30	6b05bd1f113604cdaba0da0da1f22717b788344cacccbdf7561460eb74d9c16c	745-751	3e6769436ca9352a28c68e19295f2223205ad4969723c2129f84c433baddf235	parse table index 19
19	hciEvtParseHwError	linked	0x0056A0C8	0x0056A0D0	8	0d4523677f67001546e256c0f06e875dba2ec82a3d573372cedc0e58c0c515a5	766-769	860e7e0307ab3074d769d7574aaf3943a03235edc6d24d344e44f7252c5f7405	parse table index 20
20	hciEvtParseLeEncryptCmdCmpl	linked	0x0056A0D0	0x0056A0EA	26	a3df8ef860f53b928473fb1d4462eacb9356d224a5995eafb2a4795dd733fd9a	784-790	76d1e50b7aaf60e22838e43eb21c23056826abc562e52465140943bc36030ccc	parse table index 27
