stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_start_line	r20_end_line	r20_span_bytes	r20_span_sha256	direct_bl_callers	classification
attcUuidCmp	0x0056B7EC	0x0056B834	72	bec11106e5ed133dab73ea6ca8bbdf98df933efefde4df10090245ee95b644c3	68	88	706	fa97b6aeb6ffcc14a86aef1a8652a4389cdd9e5c41c5749e297be7d26a1157bb	0x0056B954,0x0056BBA0	linked exact UUID comparison semantics
attcDiscVerify	0x0056B834	0x0056B86A	54	1181ed4863eeead6e79f1a3e0366f956e0c809e59dc9f6f32e675eb8cd25e6cf	100	120	485	a44211ed5abcdbe7dd9594ca8b6526b29ff21c0757bd6f6c3fe1fe6f7533fa2c	0x0056B8C8	linked required-entry verification
attcDiscDescriptors	0x0056B86A	0x0056B8FA	144	1ef2497bedb9599704a8fa08505ec609a17ca6846cf627c01c8a6c6d100a7049	135	199	1796	e5bdaf5e2ebabb35ccc8a475664c5ca72bd2602c0dd35547584f490e8064cb1a	0x0056BB0E,0x0056BEAA	linked descriptor-range continuation
attcDiscProcDescPair	0x0056B8FA	0x0056BA82	392	7f5a567b6dd92422da6244454a51a7eba517913e2ac846e979d4b199294e596a	214	243	803	6d59af204fcafd94e711d005ff88277ac589fc1dac64fb8c2cba16ffc91fdadd	0x0056BACC	retained-path anchor plus vendor diagnostics
attcDiscProcDesc	0x0056BA82	0x0056BB1A	152	ebe9eec494463a7d5fcbe10ffd8e6869d4f0a5b0ff2a7e9dcc4d73ed92244ca8	257	326	1686	0d98cae952530276ff817df8765e03bf7a6985852eb81fbd6bd7b83df9ce5f2e	0x0056C322	linked descriptor-response parser
attcDiscProcCharDecl	0x0056BB1C	0x0056BE24	776	e3705359bb0471bb6a65b0aad1603d1444f1c372e16b4da6e9a47f4d6fd4220f	339	398	1828	948a8b81d7f25bb312462ff4b9342eb99bcd3c3fc6497fd0b4d819ff7bd2736f	0x0056BE76	retained-path r20 post-match-break discriminator plus diagnostics
attcDiscProcChar	0x0056BE30	0x0056BEB6	134	08ea8fcc3cd98c18f26d086c48774df95d21feed53ef245ef3cdb239de155a63	412	472	1520	e6dccfa20baf51a707a4dfce8940899c4bcf8a7256ae1960be632db55037cd87	0x0056C316	linked characteristic-response parser
attcDiscConfigNext	0x0056BEB6	0x0056BF12	92	f24649b5f51299239aa05551d62ae1043c3de3b2044ac7a928ee1a736abb9568	485	519	810	c67a44cbef4c159a331bfe7391b167d7655e13909cf69094bbe1018af9833c72	0x0056C390,0x0056C3A0,0x0056C3AA	linked read/write configuration iterator
attcDiscProcIncSvc			0		532	568	1001	a62c79de74dbcfcef126269848afba8f090c263ce03d472182cf587761515ef7		dead-stripped r20-only included-service helper
AttcDiscService	0x0056BF12	0x0056BF32	32	da6f168fcf95843b2b554f17e74f1e21b75f3935124ea055dc16cbcba572fcfe	583	587	238	225b3b42da0ea1b3e6bc070d6c5197322c2860058fb102fe9b1e09a4df6b8b54	0x0053344A	linked primary-service request wrapper
AttcDiscServiceCmpl	0x0056BF32	0x0056C1B8	646	bac157d91cbef1d50445d41f9676ef39764f188557879a3aca36b309cf0abe71	601	630	795	4ef825a4b84cbc710229a529ce022900f472431820283db3e98b6e3c2f43155a	0x00532B64	retained-path service response closure plus diagnostics
AttcDiscCharStart	0x0056C1B8	0x0056C1DA	34	ca16f52d7e4aeeb21ce007a2329aa960174dca6910994c15c3b8bd862f6351c0	644	652	294	450ab955376d0066dd9c83763835caabd25face0b7dbe8ff158de587b2f92ee9	0x00532C1C	linked characteristic discovery start
AttcDiscCharCmpl	0x0056C1F8	0x0056C34C	340	946f7d88980d09cf325bb274e0f6ad3c2726cd3d10d8df522abeada506aa3a59	668	698	790	578855c29fdc5662e50fd014ac5bce4ec35374a018e1178347b4740450dff6be	0x00532C58	retained-path completion dispatcher plus vendor diagnostics
AttcDiscIncSvcStart			0		712	720	297	9f444257a63676f848d09e7816eb13edc390cc81743be50c57377aa4da33bd46		dead-stripped r20-only included-service start API
AttcDiscIncSvcCmpl			0		736	797	1467	f778f344abfce8456b0f3383b0b4a789147e92e930b081ef3217005a77cda794		dead-stripped r20-only included-service completion API
AttcDiscConfigStart	0x0056C388	0x0056C396	14	f296c2affca1390787dcb9f9cfbd8de771ef36615d389ce81a2acb68c157d9d2	812	818	193	03357b5792bcff789248e4d757d8328197025d089d2f9f620a376d82d0c99088	0x00533608	linked configuration start
AttcDiscConfigCmpl	0x0056C396	0x0056C3A6	16	dda11f9ebe5309d848911f78bf90f66648a90a86549541b334a51f5c13484270	833	839	161	0248d0b0ea9f1b43742fd9d6f83e0b995844106b5beb349e9cf341563b319188	0x00532D72	linked configuration advance
AttcDiscConfigResume	0x0056C3A6	0x0056C3B0	10	16efcb22f7c5c6d81333b8b5497c1df57945dbeff7f5406a33ffccc635cf0aa9	854	857	113	e85c6cdd16bbe1f013247bfe68a011ad9d5a63dfb0b55eade822c2e53c6295ad	0x00532216,0x00532284	linked configuration retry
