# G2 Cordio link-layer-island census of the 0x5Dxxxx sea; regenerated by tools/analyze_g2_cordio_ll_sea_census.py
entry	body_start	body_end_exclusive	envelope_bytes	official_opaque_bytes	bucket	evidence	confidence	hop	detail
0x005D008E	0x005D008E	0x005D018A	252	252	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D018A	0x005D018A	0x005D01DE	84	84	investigation-required	none	none		external callers: investigation-required-no-evidence (0x005CF9E8); no directed call path from the dm_conn.c island seeds
0x005D01DE	0x005D01DE	0x005D0414	566	566	investigation-required	none	none		external callers: investigation-required-no-evidence (0x005CF9E8); no directed call path from the dm_conn.c island seeds
0x005D0414	0x005D0414	0x005D049E	138	138	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D049E	0x005D049E	0x005D04E8	74	74	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D04E8	0x005D04E8	0x005D0570	136	136	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0574	0x005D0574	0x005D0596	34	34	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0596	0x005D0596	0x005D05E6	80	80	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D05E6	0x005D05E6	0x005D0682	156	156	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0682	0x005D0682	0x005D06C6	68	68	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D071C	0x005D071C	0x005D0736	26	26	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0736	0x005D0736	0x005D0794	94	94	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0794	0x005D0794	0x005D0814	128	128	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0814	0x005D0814	0x005D087C	104	104	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D087C	0x005D087C	0x005D08F6	122	122	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D08F6	0x005D08F6	0x005D0A68	370	370	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0A68	0x005D0A68	0x005D0A72	10	10	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0A72	0x005D0A72	0x005D0B7C	266	266	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0B7C	0x005D0B7C	0x005D0C04	136	136	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0C04	0x005D0C04	0x005D0CC2	190	190	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0CC2	0x005D0CC2	0x005D0D84	194	194	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0D84	0x005D0D84	0x005D0DE0	92	92	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D0DE0	0x005D0DE0	0x005D10C4	740	740	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D10C4	0x005D10C4	0x005D1190	204	204	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D1190	0x005D1190	0x005D11A4	20	20	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D11A4	0x005D11A4	0x005D121A	118	118	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D128C	0x005D128C	0x005D1306	122	122	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D1306	0x005D1306	0x005D131C	22	22	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D131C	0x005D131C	0x005D1348	44	44	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D1348	0x005D1348	0x005D139E	86	86	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
0x005D139E	0x005D139E	0x005D13C4	38	38	investigation-required	none	none		no static caller in the corpus; function-pointer/table-dispatched or dead-stripped candidate; no directed call path from the dm_conn.c island seeds
