stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_start_line	r20_end_line	r20_span_bytes	r20_span_sha256	direct_bl_callers	classification
attsCccCback	0x0052BB64	0x0052BB8A	38	2122c745eb8360485c188d36af3757d6c1a0841df9720e7ccd32159410bbfe80	72	83	270	9205c7e272bbc2c688ee5dd9159329a45885cb693278d1944344e26137cd4f47	0x0052C092,0x0052C3A8	exact event construction/callback semantics; event 0x14 selects r20 API enum
attsCccAllocTbl	0x0052BB8A	0x0052BCEA	352	4d22cf525363670d976aed495f6846bddc3a6414cf02d5812e41b40b17b8d7ac	94	108	394	d5dab3754908cf30e23d5ce1f10bfa54fcd0fb44238100f0674908aa84fc4516	0x0052C376	exact allocation semantics plus connId-zero validation/diagnostics
attsCccGetTbl	0x0052BCEA	0x0052BE26	316	201ae319937c47f9ab38e5e5486858526777d28356dd01f53a533df0f5b7bfcf	119	124	150	d5f4062ad36ab5dc99645850e570a5044b840cd754f8cab484701e5849cc98a9	0x0052BFC4,0x0052C05E,0x0052C5F8,0x0052C616	exact lookup semantics plus connId-zero validation/diagnostics
attsCccFreeTbl	0x0052BE34	0x0052BF8E	346	0de48626cb11cdbc01d5fe39b0821921643ae40dc4165ceeef69f387905a6566	135	144	248	bdf47c8d2494587cb6669053adb542f79e20f6bfee8a93622fa8dd3753e4d5f0	0x0052C5EC	exact free/clear semantics plus connId-zero validation/diagnostics
attsCccReadValue	0x0052BF8E	0x0052BFF0	98	72848de45bd95e0bad12323e0a642978744ce9917ad06e41d2fcd3fcaade2b2d	158	191	676	7d84c928212189675e39050019b93f3707c9d42a8563deaf81e25fd7dfcd31f6	0x0052C20C	exact handle scan/little-endian read/error semantics
attsCccWriteValue	0x0052BFF0	0x0052C09E	174	b2ebdb9a3e3d6f6c2c194748b735ed3e4b5416a2b927fb2ea36c7ea62f329c1b	205	256	1122	ce509eed6b6ab82b91e6092a5a20465222b57e2f4f9d7180c7f3284c90b2302d	0x0052C21C	exact value validation/write/change-callback semantics
attsCccMainCback	0x0052C0AC	0x0052C224	376	a0bf990585b00836d78cffff98880af67f555b359444b5cba5fb6340f92effb7	270	282	344	04d80cbeca9b3604ae68d8e050744a29d5963b1c624262cb51073d41814f3cd1		registered Thumb callback at literal cell 0x0052C6A4; exact dispatch plus vendor diagnostics
AttsCccRegister	0x0052C224	0x0052C23C	24	b64330257a598d7e834a85a445c87d19df5aaa219ca468b66ea90e40b924c648	297	304	203	33770937f528cc323b01a0554fb1eb883bdfe490e08a7a25e8e9ca340d3d140d	0x004B7EF0	exact registration semantics; stock setLen=6
AttsCccInitTable	0x0052C244	0x0052C3C4	384	6af397d3949ce94d4e02c767bbeec082d52a0eba1f7cfe89d75f7be4b3075ba9	319	350	747	350db9740333bf59cb63725367286c1a224c648e70838fd16b3061ad3b733e83	0x004B3810,0x004B39A2,0x005345E6,0x00534608	exact initialization/callback semantics plus vendor diagnostics
AttsCccClearTable	0x0052C3D0	0x0052C5F2	546	c3b4201fd806ad6402c2a3aa1ec147b1ee52dc73a721230c174e13003d824487	362	367	131	bd3994aee9588f563e8950d26b309e0382cf62b2076195bfc8b8ba2cfcc98184	0x005346C0	exact clear semantics plus explicit 1..3 validation and vendor diagnostics
AttsCccGet	0x0052C5F2	0x0052C60E	28	25b8a15faf74d8306bbc60e1ca72c649b26cfe001dbd2410332ff91e8d15972d	380	395	258	c8351cb81ee36f9b93dd7d1ced7476e5306bacaf6601d9eddf9ae14a3362c2c1	0x0052C65A,0x00534660	exact indexed getter semantics
AttsCccSet	0x0052C60E	0x0052C628	26	182404c06676e78506af6872f910fb731c17b1820c041b0613187a3412c502cf	408	418	208	5a447ffe181bffd84d86437f65588227d254dcacca189fddba8820bb22a22991	0x004B3B36	exact indexed setter semantics
AttsCccEnabled	0x0052C628	0x0052C660	56	a36891a33659e9262866981c3c17baeceb5e10fd4942aa7b1224e5dea7070947	431	443	264	ba879da47d2ae86eb80ba8bc59b4aeab51578756d765fff5433b55bc23dba5d8	0x004B5A82,0x004B5AA2	exact security-level gate and getter semantics
AttsGetCccTableLen	0x0052C664	0x0052C66A	6	91ed55f143f7fe7bcc91a152aa9c4b1eeffb8202ee6e1c4c750d5523b18f466a	454	457	64	67c993ae558ba6dd0e847508613758ddbda43f99fc1dd2b1bf69a9c882f79908	0x004B3B3E,0x0053464E	exact leaf getter; returns stock setLen 6 after registration
