stock_name	start	end	candidate_symbol
WsfCsEnter	0x0052b8a4	0x0052b8b6	WsfCsEnter
WsfCsExit	0x0052b8b6	0x0052b8c8	WsfCsExit
WsfTaskLock	0x0052b8c8	0x0052b8d0	WsfTaskLock
WsfTaskUnlock	0x0052b8d0	0x0052b8d8	WsfTaskUnlock
WsfSetOsSpecificEvent	0x0052b8d8	0x0052b91e	WsfSetOsSpecificEvent
WsfSetEvent	0x0052b91e	0x0052b95e	WsfSetEvent
WsfTaskSetReady	0x0052b95e	0x0052b97c	WsfTaskSetReady
WsfTaskMsgQueue	0x0052b97c	0x0052b980	WsfTaskMsgQueue
WsfOsSetNextHandler	0x0052b980	0x0052b99e	WsfOsSetNextHandler
wsfOsReadyToSleep	0x0052b99e	0x0052b9b2	wsfOsReadyToSleep
WsfOsInit	0x0052b9b2	0x0052b9d0	WsfOsInit
wsfOsDispatcher	0x0052b9d0	0x0052bab8	wsfOsDispatcher
