ordinal	stock_start	stock_end_exclusive	path_anchored	role
1	0x0056F178	0x0056F23A	yes	shared production-test helper
2	0x0056F23A	0x0056F42A	yes	shared production-test helper
3	0x0056F42A	0x0056F46A	no	response prefix helper
4	0x0056F46A	0x0056F4A0	no	response checksum helper
5	0x0056F4A0	0x0056F922	yes	main command dispatcher over pinned handler table
6	0x0056F92C	0x0056FBE0	no	externally called production-mode orchestration handler
7	0x0056FC0C	0x0056FD8E	yes	product-test command handler
8	0x0056FDB4	0x0056FFAA	yes	product-test command handler
9	0x0056FFC4	0x00570120	yes	product-test command handler
10	0x00570210	0x0057042E	yes	product-test command handler
11	0x00570438	0x0057053C	yes	product-test command handler
12	0x00570570	0x00570750	yes	product-test command handler
13	0x00570780	0x005709B0	yes	product-test command handler
14	0x005709C4	0x00570B54	yes	product-test command handler
15	0x00570B60	0x00570D16	yes	product-test command handler
16	0x00570D40	0x00571024	yes	product-test command handler
17	0x00571064	0x0057132E	yes	product-test command handler
18	0x005713D8	0x00571CB6	yes	product-test command handler
19	0x00571CD4	0x00571E36	yes	product-test command handler
20	0x00571E44	0x00571FD4	yes	product-test command handler
21	0x0057200C	0x00572210	yes	product-test command handler
22	0x0057222C	0x0057236E	yes	product-test command handler
23	0x00572394	0x005724D8	yes	product-test command handler
24	0x005724F4	0x005726D2	yes	product-test command handler
25	0x005726F0	0x0057284E	yes	product-test command handler
26	0x00572858	0x0057292C	yes	product-test command handler
27	0x0057293C	0x00572A2C	yes	product-test command handler
28	0x00572A34	0x00572AD6	yes	product-test command handler
29	0x00572AF0	0x00572B96	yes	product-test command handler
30	0x00572BA0	0x00572C40	yes	product-test command handler
31	0x00572C64	0x0057301A	yes	product-test command handler
32	0x0057303C	0x005731FA	yes	product-test command handler
33	0x0057320C	0x005732FC	yes	product-test command handler
34	0x00573310	0x005734C6	yes	product-test command handler
35	0x005734CC	0x005735E2	yes	product-test command handler
36	0x00573604	0x00573896	yes	product-test command handler
37	0x005738D0	0x00573C04	yes	product-test command handler
38	0x00573C58	0x00573F60	yes	product-test command handler
39	0x00573F88	0x005741CA	yes	product-test command handler
40	0x005741E0	0x00574456	yes	product-test command handler
41	0x00574464	0x0057454C	yes	product-test command handler
42	0x00574580	0x00574786	yes	product-test command handler
43	0x00574808	0x00574F3E	yes	product-test command handler
44	0x00574F60	0x00575222	yes	product-test command handler
45	0x0057522C	0x00575360	yes	product-test command handler
46	0x0057536C	0x0057540C	yes	product-test command handler
47	0x00575428	0x00575470	no	shared handler result helper
48	0x00575470	0x00575524	yes	product-test command handler
49	0x00575548	0x005756D2	yes	product-test command handler
50	0x00575708	0x005759F2	yes	product-test command handler
51	0x005759FC	0x00575AC0	yes	product-test command handler
52	0x00575AF8	0x00575E74	yes	product-test command handler
53	0x00575EB4	0x005760EC	yes	product-test command handler
54	0x0057612C	0x005764E0	yes	product-test command handler
55	0x00576518	0x005766F8	yes	product-test command handler
56	0x00576714	0x005767F0	yes	product-test command handler
57	0x00576800	0x005768A8	yes	product-test command handler
58	0x005768C8	0x00576A26	yes	product-test command handler
59	0x00576A54	0x00576BB6	yes	product-test command handler
60	0x00576BD4	0x00576D3A	yes	product-test command handler
61	0x00576D48	0x00576DD2	yes	product-test command handler
62	0x00576DF8	0x00576FBC	yes	product-test command handler
63	0x00576FD0	0x005770B4	yes	product-test command handler
64	0x005770CC	0x005771B4	yes	product-test command handler
65	0x005771D4	0x00577344	yes	product-test command handler
66	0x00577364	0x0057746A	yes	product-test command handler
67	0x0057747C	0x0057756A	yes	product-test command handler
68	0x0057757C	0x00577666	yes	product-test command handler
69	0x00577678	0x00577780	yes	product-test command handler
70	0x00577794	0x005778C8	yes	product-test command handler
71	0x005778D4	0x005779C8	yes	product-test command handler
72	0x005779E0	0x00577AFC	yes	product-test command handler
73	0x00577AFC	0x00577B7A	yes	product-test command handler
