function	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	recovery_evidence	name_confidence	behavior
task_vote_find_slot	0x0046D67C	0x0046D69A	30	2d4582052c651f1ee9075edb77bacf6040a85cd162e415b8cd86a1bbd9521d77	no	internal calls and shared 32-slot table	descriptive	Return matching task-handle slot or UINT32_MAX
task_vote_find_free_slot	0x0046D69A	0x0046D6B6	28	e2d5fb88695b586ebccfe3b146c5bf127f7c72e633a10dcda9aedc095070c17c	no	internal call and shared 32-slot table	descriptive	Return first unused task slot or UINT32_MAX
task_vote_init	0x0046D6B6	0x0046D70E	88	143218f6569464129d1d0a3008240cc40866573ebd25b89695fc203761240910	yes	retained path and exact diagnostic name	exact	Clear 0x108-byte vote state mark initialized and emit diagnostics
task_vote_acquire_for_handle	0x0046D70E	0x0046D78C	126	11891d4b93a920c11bc26d2942ab349d75f53809f4564811f868165843364ce3	no	direct ingress internal calls and shared state	descriptive	Atomically add or reactivate one task vote and increment active count
task_vote_release_for_handle	0x0046D78C	0x0046D7E6	90	6054d0303621f01063947dbd4c81b5fdfddf4b0d1db35269f39e37dd32045758	no	direct ingress internal calls and shared state	descriptive	Atomically clear an active task vote and decrement active count
task_vote_blocks_deep_sleep	0x0046D7E6	0x0046D816	48	b41a3edfc218fb0815189a482fdf4f7250b82e9dd36d19e969efdf9ea651907d	no	pre-sleep call and shared active count	descriptive	Return whether any registered task currently blocks deep sleep
task_vote_acquire_current	0x0046D816	0x0046D826	16	e92f4335d5d4d731a45ff45c6949c2e8927cbde377a0e07e44016b77ba9d704d	no	direct ingress CMSIS current-thread call and internal target	descriptive	Acquire a vote for osThreadGetId when non-null
task_vote_release_current	0x0046D826	0x0046D836	16	d51d777ee859cf23c0aa9c47d0a76d71ea7760d809f2debe7a767cb35f880264	no	direct ingress CMSIS current-thread call and internal target	descriptive	Release a vote for osThreadGetId when non-null
am_freertos_sleep	0x0046D836	0x0046D856	32	d7feb48bedadf1da02aeb65cdd6cbb6751c821720bf55522c196595580cf83ec	no	FreeRTOS port hook call and Ambiq example ABI	exact ABI	Feed watchdog then select deep or normal Ambiq sleep from active votes
am_freertos_wakeup	0x0046D856	0x0046D85E	8	c77da66d5a9e26f089cb9a8b28b39ec86abf06a5999bc16118813b4e55a4c5be	no	FreeRTOS port hook call and Ambiq example ABI	exact ABI	Feed watchdog after tickless wake
vApplicationMallocFailedHook	0x0046D85E	0x0046D868	10	09d6586c1f091a3ea95373eaa57bc7b9e0620fe25db4b3d4c69c6ba70f7c2e1c	no	FreeRTOS direct caller and retained fatal string	exact ABI	Log allocation failure then loop forever
vApplicationStackOverflowHook	0x0046D86C	0x0046D878	12	43f5247561effdf56fa733bbeb6402a1c07cb9dd276ef542be25800dcb9e28bb	no	FreeRTOS direct caller and retained task-name format	exact ABI	Log task stack overflow then repeatedly execute BKPT
vApplicationIdleHook	0x0046D898	0x0046D8A0	8	83e4d9e8e5d20cab530b8e528c3c289ffb44809bbf0d3b302865562408803106	no	FreeRTOS idle-task direct caller and config audit	exact ABI	Feed watchdog on each idle-hook invocation
