recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	atInfoHandler	exact command registration / descriptive handler	0x005A5720	0x005A57A4	132	b025c97afa17230a5a958ed97955ec8eb08d8d2a0f1839aeb865236adff6d39a	stored Thumb pointer 0x006C92E8 in AT^INFO record	reports product, hardware/software/codec/touch versions, compile stamp, PSN, BLE name, and BLE address
2	atResetHandler	exact command registration / descriptive handler	0x005A57A4	0x005A57B4	16	c6804757fe41c77f6fe5d160d59119da11a2b41ad61116b4850b08bd67d22207	stored Thumb pointer 0x006C92F8 in AT^RESET record	emits RESET+OK then invokes the reset provider
3	atPsnHandler	exact command registration / descriptive handler	0x005A57F0	0x005A5822	50	e83b4990f82adee77d09b1bcfe3db1a54cf08ac28f1e4b8ca4283eb7089abf1b	stored Thumb pointer 0x006C9308 in AT^PSN record	requires exactly fourteen parameter bytes and sends the PSN update
4	atImuRawDataHandler	exact command registration / descriptive handler	0x005A5830	0x005A5864	52	b6f60ca58e25d192bf2e5ee80203dee3bc505aa93874bcb8aaa1aa1195284d9a	stored Thumb pointer 0x006C9318 in AT^IMU_RAWDATA record	accepts one/start or zero/stop and rejects other integer values
5	atImuEulerHandler	exact command registration / descriptive handler	0x005A5864	0x005A589A	54	7b48354ef49a091a243e411aaa32fde8f50e7b2a3820200afdd27caf631d21cc	stored Thumb pointer 0x006C9328 in AT^IMU_EULER record	reads three floats and reports roll, pitch, and yaw as promoted doubles
6	atScreenXHandler	exact command registration / descriptive handler	0x005A58A8	0x005A58B4	12	b49321956f2d542d6a9b91f9e934ac0eed873ea3249991214f5d814e1dbe9590	stored Thumb pointer 0x006C9338 in AT^SCRN_X record	stub-like handler that emits AT^SCRN_X+OK and returns one
7	atScreenYHandler	exact command registration / descriptive handler	0x005A58B4	0x005A58D4	32	c3f29b2abd122083669ac08474c2b6be23288f35642920b68ab717b1e3ca3e9d	stored Thumb pointer 0x006C9348 in AT^SCRN_Y record	accepts parsed values below 193, invokes the height provider, and reports success
8	atAlsReadHandler	exact command registration / descriptive handler	0x005A58D4	0x005A58FA	38	b3b60e08cf5e0749f824f518f007f7d3843a37c8a80c259576967223814ff39e	stored Thumb pointer 0x006C9358 in AT^ALS_READ record	reads ALS and the signed LUX_BASE field and formats a bounded response
9	atAlsHandler	exact command registration / descriptive handler	0x005A58FA	0x005A5920	38	5d1aec4290a1030b426100c706c04038be8aef670dd2e750b3380163f70823d4	stored Thumb pointer 0x006C9368 in AT^ALS record	enables on one, disables on zero, and acknowledges every parsed value
10	atBrightnessHandler	exact command registration / descriptive handler	0x005A5920	0x005A593A	26	61178ee3804ed344989793d61fa0396c31205b19490768f592eb19a328bf58fe	stored Thumb pointer 0x006C9378 in AT^BRIGHTNESS record	passes the parsed integer to the brightness provider and acknowledges it
11	atAlsScaleReadHandler	exact command registration / descriptive handler	0x005A593A	0x005A594C	18	6087f996490c7bbdaa941da3f91c9d5b475d47ed7306ed31a5384ef3e63b25af	stored Thumb pointer 0x006C9388 in AT^ALS_SCALE_READ record	reads and reports the Q10 ALS scale
12	atBrightnessReadHandler	exact command registration / descriptive handler	0x005A594C	0x005A595E	18	6187952a029bafdd5b715c6b9565a8b2a79a76b3228d2ba54dd6f12c6097c6ec	stored Thumb pointer 0x006C9398 in AT^BRIGHTNESS_READ record	reads and reports the current brightness
