start	end	size	sha256	structural_class	ownership_category	family_hint	confidence	evidence
0x00302508	0x00302518	16	ebea3a2bb204126f35c765599ebde22a2dc11a32e4fb8cb97c842ad88f13e901	code_veneer	proprietary_modern_controller_source_unavailable	em_vendor_rom_stub	medium	post_vector_default_handler_stubs;self_loop_bl_s_pairs
0x00302664	0x0030299A	822	60ac29e8f3b990e27619d33532df6c1c267212f354d91489d8f725cff3ed1d86	runtime_support_code	toolchain_or_linker_generated	metaware_arith_runtime	high	metaware_arith_vocabulary:divu|macdu|mpy|norm;stack_limit_refs;brk_s_stack_guard;entry_branches:1
0x00302A1C	0x00302AE6	202	cae2a87dbb8e498b5c2e2025ea6a98a6fe9f3dea8cb158adfb32efd671d4506b	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	named_callees:LlInitControllerInit|LlSetBdAddr|PalBbLoadCfg|PalSysInit|WsfOsSetNextHandler|WsfTimerInit;named_tail_targets:AOAD_Init;residual_calls:11
0x00302D80	0x00302D82	2	5c36fa627b751f9f87419f9e6ed40beb9a3bab13ac1b5ec7506a34d0eb630bc4	code_veneer	unclassified_insufficient_evidence	unknown	low	branch_only_island
0x00302E14	0x00302E64	80	55ebd0fd55359efbfc6da757970cc801bed255a1cbbbfbc3a86a411a4b326f68	code_function	proprietary_modern_controller_source_unavailable	em_vendor_system	high	prologue;entry_branches:2;incoming_identified_calls:2;rom_calls:4
0x00302E90	0x00302EA2	18	fc7713ea2c88151d1783e2f4df600f4dfe8c29090f7870ab27f0ef98c8e7fae7	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	entry_branches:2;incoming_identified_calls:2;named_tail_targets:bbBleRegisterOp
0x00302FF4	0x0030301A	38	fd2c7f27d273e4af00729d456e46624be6206af630376dcd08d1d35a66e13449	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	named_tail_targets:bbBleRegisterOp
0x00303258	0x003032CC	116	ff4a80d87cd27c06453091020ead927e9efc392568461f2162d0ed2c7ee4841a	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	family_from_identified_neighbors_only;entry_branches:1;incoming_identified_calls:10
0x00303E50	0x00303E66	22	45bf7572700d4bbfc3fbc8e62e3ab40ff064cd3a27913b2c84099f5f8bb32ace	code_fragment	unclassified_insufficient_evidence	unknown	low	entry_branches:1;incoming_identified_calls:4
0x00303F50	0x00303F5A	10	8980ae8b46c457511a1acd551265be25d0ed4457161fb69592a6d08b1c860af7	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x00303F68	0x00303F72	10	dde433034095f84cff668b40e9e00b475a79d3ea4e8ebb5c8d5610c9250bb830	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x00304604	0x00304624	32	4093caf6c8af6f302fc052f10786b63933029f69af91bd08ca4e7efca652b6bb	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	entry_branches:19;incoming_identified_calls:19;named_callees:WsfOsRegisterTaskInitCback|WsfOsStartOnly;named_tail_targets:WsfOsInitOnly
0x00304698	0x00304762	202	467422520c7129c23020c38c1e14a081306c0d14c3161bf0c3c1c853bf277284	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	prologue;entry_branches:1;named_callees:PalUartWriteData|chciTrIncrementCounters
0x003047B0	0x003047BE	14	dd355f9ea943bdb20f653513223a897ffce99fe5fb4831803483e427f5517392	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
0x0030482C	0x003048AE	130	1aff5715814514aacc29daa8bee11dc4a20cd3ff573e312f4014b884a38d813f	startup_hook_glue	first_party_application_retained	application_startup_hook	high	authenticated_hook_stub_branch_target:QF_onStartupInternalHook_target;blink_return;identified_tail_refs:1
0x00304994	0x00304A96	258	09a743f61f3c1507f8edef6528bdc16dc9576324a7f3359483289d2e2321967e	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	named_callees:WsfCsEnter;residual_calls:11
0x00304AC4	0x00304BB2	238	43581d4b39eca4d880e91666ef5da64c6aa730a9aac3ea3d51fa1504b4d38849	code_function	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	high	prologue;entry_branches:1;incoming_identified_calls:2;named_callees:LhciSendEvent|lhciAllocCmdCmplEvt|lhciAllocEvt|lhciSendCmdStatusEvt;residual_calls:5
0x00304C0C	0x00304CAA	158	db0492fd414fd033c4b6e2c9bb60428d68f2fe0a640f2fb6536cefd7e203c902	code_fragment	proprietary_modern_controller_source_unavailable	em_vendor_system	medium	named_callees:PML_ClearConfigurationModeFlag|PML_ClearModeFlag;rom_calls:5;residual_calls:1
0x00304CDC	0x00304CEE	18	cc8fb7e30a93e796764decefb8d0cad8d1d041a9952d1dd2e29ddc61122c4ecd	code_veneer	proprietary_modern_controller_source_unavailable	em_vendor_rom_wrapper	medium	rom_branch_targets:1
0x00304EB4	0x00304EBA	6	e9e14747f4bb4cf4d5df295c464a409789386d829f7460a114faa12d1040af77	constant_or_struct_candidate	unclassified_insufficient_evidence	unknown	low	imm_references:0
0x00305104	0x003051D4	208	f69fe4f30217b970e672a3c26a83d9e7544795f2d6463a7cb9b94097f862b9c9	code_function	proprietary_modern_controller_source_unavailable	em_vendor_system	high	prologue;rom_calls:4
0x003054F0	0x0030555A	106	7931b0b62ad34cdbe0ed4c6a7a79f392db57cf058e37d43f1eaa9f504e397b41	code_function	proprietary_modern_controller_source_unavailable	em_vendor_system	high	prologue;rom_calls:1;residual_calls:2
0x00305944	0x00305AB4	368	63ee66d1e1683bdc798c189bb0c4536bb548eb657ffc424a6da5f0fb48638edd	code_fragment	proprietary_modern_controller_source_unavailable	em_vendor_system	medium	incoming_identified_calls:3;rom_calls:2;residual_calls:7
0x0030611C	0x003061E4	200	37fc65306c18bccef1442819f4f10bed9ae6232e313f3364e1756dd0c29017e9	code_fragment	proprietary_modern_controller_source_unavailable	packetcraft_modern_controller	medium	named_callees:palFrcExpiryHandler
0x00306894	0x003068C6	50	5a3aefad463ca31b6df9ee646051926e3730bb1c8a42347866239733ed46ea4c	code_fragment	proprietary_modern_controller_source_unavailable	em_vendor_system	medium	family_from_identified_neighbors_only;weak_code_features_only
0x003069B8	0x003069C2	10	23b873ad14c0a36f7037590d7dca004ec470d0f6aa37b3d478875f13d4d34793	code_leaf_accessor	unclassified_insufficient_evidence	unknown	low	ram_global_access:1;blink_return_leaf
