recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	qualification
1	silent_mode_apply_text_style	semantic behavior label	0x0046916C	0x0046919E	50	e76553b189491f6d3f1c4fb44869f155df681d5cc457ac2d6fd19ffc31af1fc3	no	applies four LVGL text-style properties
2	silent_mode_status_get	semantic behavior label	0x0046919E	0x004691BC	30	fadb32c97ec9ffdcbf42e13b006dafea9da6e2887a1940790498b19fe5177c6c	no	returns normalized status byte at settings offset 0x15
3	SilentMode_SetStatus	exact retained diagnostic symbol	0x004691BC	0x0046921C	96	c454ce93c574359231ff2d6a64bc269fce54e5404fe3a5613c6397ae68e3c4e1	yes	updates normalized settings status
4	SilentMode_SetStatusFromApp	exact retained diagnostic symbol	0x0046921C	0x00469388	364	e7ea0734134c636e291776a45de9db33672469ca51b1373789b3cbb14a9ec778	yes	applies remote status unless UI owns the transition and requests display-off when needed
5	SilentMode_ToggleByLocalLongPress	exact retained diagnostic symbol	0x00469388	0x0046946E	230	ccecd89769e98c81c2e5de37fad355c43f889931f2a360dc7a9d4bda5f1ffeb2	yes	toggles status and sends one-byte common-data record 0x10A
6	silent_mode_noop_callback	semantic behavior label	0x0046946E	0x00469470	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	no	intentional return-only callback
7	silent_mode_refresh_callback	semantic behavior label	0x00469470	0x0046949A	42	c3d304e1b59a1e76f874584d462f04d9c91a89320ddf16d5daac24a72c29125f	no	stored UI refresh callback
8	silent_mode_common_data_handler	exact retained diagnostic symbol	0x0046949A	0x00469576	220	a02073b8c2a11643f41a6a8a20b935dd0a3ef50423f8f617c20d56a6bfeb6a6e	yes	imports a one-byte record 0x10A state and applies role-sensitive display policy
9	silent_mode_ui_event_handler	exact retained diagnostic symbol	0x00469580	0x00469AE2	1378	3fbe85123f8bfcf528143291396ed74d91f483bb26a88282f7d4616885fee3ae	yes	stored UI lifecycle handler that creates and tears down the silent-mode page
10	get_silent_mode_ui_showing	exact retained diagnostic symbol	0x00469AE2	0x00469B2E	76	6cfc2a69306db07b994568a228e3a264d24514cb5b2fbc8060886506e835b12c	yes	returns the normalized showing-UI flag with diagnostics
