# SPDX-License-Identifier: MIT
path	components	overlay_license	source_spdx	upstream_record	desired_license	disposition	source_sha256_before
components/apollo_main/core_overlay/aeabi_divmod.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	508d1bd1dab717af2671d28af08f0b7e8368fb2b99bb22edecd4b3276a750588
components/apollo_main/core_overlay/als.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	fca9e70f4fbe71401f47173afcd89f7e1f894677b68c2faca6b468f34b0b7853
components/apollo_main/core_overlay/at_buzzer.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	9e0b37c03975f2f588300922507789599f63b162a77533aa6c40c7703601da7a
components/apollo_main/core_overlay/at_codec.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b276eedcad875fecd41e64f9bc60005c17aea09c234dd706b1c32ce7bf108431
components/apollo_main/core_overlay/at_core_sensor.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	2be0e0f81c74d3ec60f2a44fbcac8f7aff6c3f80e155d66c3c130a698ac285b3
components/apollo_main/core_overlay/at_nus.c	apollo_main	GPL-3.0-only	missing	absent	MIT	normalize_project_owned_source_and_overlay_pin	b80576c1aea40353475d331686bb5ec2b5915bc1acf911b73e6fee4a12cc87ae
components/apollo_main/core_overlay/at_tp.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b1865b7ae51a77ccb0ccce05a7b9832a89b6e167171bded7c4915d6afe08fa03
components/apollo_main/core_overlay/ble_advertised_name.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	b97c162d59cf1029f2a8b3e22966a36bb8897160246f09dd098879ce38818e65
components/apollo_main/core_overlay/ble_connection_callback.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	ebffd89fd3d269d7f696f2f4d9684abdbd0a5dc0687e946c1f859c4690812d78
components/apollo_main/core_overlay/ble_connection_control.c	apollo_main	GPL-3.0-only	GPL-3.0-only	absent	MIT	normalize_project_owned_source_and_overlay_pin	d3b63d8b053c2eb7712cfcd465d6aaa496ae85c0e33ecaf2fd9b416edd2987ee
