region	start	end_exclusive	size	sha256	byte_class	readiness	source_provider	source_license	payload_redistribution	production_route	evidence
fwpk_header	0x00000000	0x00000010	16	d43727af93245c0c6f88d780b4553ba97d976d4e296d74778c1f91a27b2917ae	container_metadata	reconstructible_mit_format_metadata	NationalChip public grus FWPK format	MIT	official_bytes_unresolved_generated_equivalent_only	none	FWPK magic version count and reserved fields pinned by codec FWPK analyzer
fwpk_records	0x00000010	0x00000030	32	5239fba85a06b9525512f34f075325028bde659ed078daec25a7022b8afc2d29	container_metadata	reconstructible_mit_format_metadata	NationalChip public grus FWPK format	MIT	official_bytes_unresolved_generated_equivalent_only	none	two public record descriptors with offsets sizes and CRC-32 values
boot_header	0x00000030	0x00000050	32	bb0c1a457c4aa90766a38709a1eeef622cf382c1bb1a16f4b058186e2011ad76	container_metadata	reconstructible_mit_format_metadata	NationalChip public grus UART boot format	MIT	official_bytes_unresolved_generated_equivalent_only	none	public boot header layout; exact stage sizes baud and checksum pinned
boot_stage1	0x00000050	0x00002850	10240	cbbe85a2d60f5bb805dddb45fa2eac1632bdf0ab80665c040c0892c64074133f	opaque_executable	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	volatile C-SKY boot-stage extent load entry vectors and SHA exact; boundary embeds no executable bytes
boot_stage2	0x00002850	0x0000958C	27964	4aacc9e5bf45001bef99785b62302e88bd0b5e6bf4d6186fd7033b1eaeb05b0d	opaque_executable	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	volatile C-SKY boot-stage extent load entry vectors and SHA exact; boundary embeds no executable bytes
image_a_stage1	0x0000958C	0x0000C58C	12288	9546164f32680de47fa99ba85ba08a3c538822260957de6c1baee772638da464	opaque_executable	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	BINH stage1 block size vectors CRC and SHA exact; runtime mapping remains opaque; boundary embeds no executable bytes
image_a_xip_length	0x0000C58C	0x0000C590	4	19ab17fa73759005b3ec472b838d282ff7e1768c493088663ce8f74be0384f54	container_metadata	reconstructible_mit_format_metadata	NationalChip public grus BINH format	MIT	official_bytes_unresolved_generated_equivalent_only	none	public stage2 XIP length word 0x00008E84
image_a_xip_text	0x0000C590	0x00015414	36484	49c9aed0126493220a3e48827c267d5e94f64d51d9ede0ccc3e84b8946744584	opaque_executable	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	C-SKY XIP extent and SHA exact; runtime mapping hardware-deferred; boundary embeds no executable bytes
image_a_sram_text	0x00015414	0x000184F8	12516	3780ea0bd9c11bb94cd72bfc6a1e8924f2f3e72e9a31ec49a185a18799c9a5f8	opaque_executable	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	C-SKY SRAM extent IRAM entry vectors and SHA exact; boundary embeds no executable bytes
image_a_sram_pad	0x000184F8	0x000184FC	4	ad95131bc0b799c0b1af477fb14fcf26a6a9f76079e48bf090acb7e8367bfd0e	alignment_fill	reconstructible_mit_format_metadata	OpenCFW deterministic format reconstruction	MIT	official_bytes_unresolved_generated_equivalent_only	none	one all-FF alignment word at the authenticated text boundary
image_a_sram_data	0x000184FC	0x00018D90	2196	e0a88003909bb45ae966bfedcbf6e21a5bc83137d26bd36c7f81114fa0034384	opaque_runtime_data	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	initialized-data extent and SHA exact; semantic source unavailable; boundary embeds no data bytes
image_a_kws_command	0x00018D90	0x0001B15C	9164	c38ed6d22c7c0b6178288678364acd10bd5730aa382c1e19a32f6cf2bd1430b9	opaque_npu_commands	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	gxNPU command extent size getter staging and SHA exact; command semantics unavailable; boundary embeds no command bytes
image_a_kws_weights	0x0001B15C	0x0003893C	120800	397971427d7097180d07eb63f9822904a555e51f7643d946ebb38d71a967f8cf	proprietary_model_data	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	load offset size DRAM staging and SHA exact; boundary embeds no model bytes
image_b_stage1	0x0003893C	0x0003B93C	12288	a80924ccf78205ef1761c4f568d4ce31f909635bf3ad7eecfaed250ad801626c	opaque_executable	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	backup BINH stage1 block size vectors CRC and SHA exact; runtime mapping opaque; boundary embeds no executable bytes
image_b_xip_length	0x0003B93C	0x0003B940	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	container_metadata	reconstructible_mit_format_metadata	NationalChip public grus BINH format	MIT	official_bytes_unresolved_generated_equivalent_only	none	public zero XIP length word; image B is SRAM-only
image_b_sram_text	0x0003B940	0x0004EE5C	79132	cd2ccdc2bca9decff0cc514d3cca6317c28ebdbe22891660f5d9ba00276ecdb3	opaque_executable	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	C-SKY backup runtime extent load address entry and SHA exact; boundary embeds no executable bytes
image_b_sram_data	0x0004EE5C	0x0004F9CC	2928	4b694344b50969d1e2114d9324cbd53374af3dd07375614a5257f18f3213f884	opaque_runtime_data	typed_unsupported_external_boundary	external authenticated user-supplied provider	MIT boundary; payload NOASSERTION	unresolved	none	backup initialized-data extent and SHA exact; boundary derived but authenticated; embeds no data bytes
