# Size equality is a compiler-shape discriminator only, never a raw or normalized match.
function	stock_size	best_abs_delta	best_rows
wsfTimerRemove	40	0	Os:40(+0),Os_noinline:40(+0),Os_nosibling:40(+0),Oz:40(+0),Oz_nosibling:40(+0)
wsfTimerInsert	68	0	Og:68(+0),Og_nosibling:68(+0),Os:68(+0),Os_noinline:68(+0),Oz:68(+0)
WsfTimer_handler	12	0	O1:12(+0),Og:12(+0),Og_nosibling:12(+0),Os_nosibling:12(+0),Oz_nosibling:12(+0)
WsfTimerInit	68	4	Os_nosibling:72(+4),Oz_nosibling:72(+4)
WsfTimerStartSec	12	0	O2:12(+0),O2_noinline:12(+0),O3_noinline:12(+0),Os_nosibling:12(+0),Oz_nosibling:12(+0)
WsfTimerStartMs	14	0	Os_nosibling:14(+0),Oz_nosibling:14(+0)
WsfTimerStop	20	0	O1:20(+0),Og:20(+0),Og_nosibling:20(+0),Os_nosibling:20(+0),Oz_nosibling:20(+0)
WsfTimerUpdate	52	0	Og:52(+0),Og_nosibling:52(+0),Os_nosibling:52(+0),Oz_nosibling:52(+0)
WsfTimerNextExpiration	40	0	O1:40(+0),Og:40(+0),Og_nosibling:40(+0),Os:40(+0),Os_noinline:40(+0),Os_nosibling:40(+0),Oz:40(+0),Oz_nosibling:40(+0)
WsfTimerServiceExpired	50	2	O1:52(+2),Og:52(+2),Og_nosibling:52(+2),O2:48(-2),O2_noinline:48(-2),O3:48(-2),O3_noinline:48(-2),Os:48(-2),Os_noinline:48(-2),Os_nosibling:48(-2),Oz:48(-2),Oz_nosibling:48(-2)
WsfTimerUpdateTicks	160	12	O0:148(-12)
