index	name	identity	entry	end_exclusive	size	sha256	path_anchor	direct_entry_callers
1	gx8002_host_init	exact	0x0057BA88	0x0057BAEC	100	b5bf11e5fd511eac451c4723beabdcf495d4b96bc6cb4ed343289e4ddcfd21c2	true	3
2	semantic_gx8002_uart_cleanup	semantic	0x0057BAEC	0x0057BAF4	8	f5559deed9bb8feb271b3ad5d83f0b2b5d1ce21029e91b7d742740af76f155b5	false	7
3	semantic_gx8002_magic_matches	semantic	0x0057BAF4	0x0057BB0A	22	eb71616ce64ef1c6c2ec7e32ee8a908841fd06d91ce33ebf0faff957ca5467ac	false	1
4	gx8002_pack_message	exact	0x0057BB0A	0x0057BD06	508	9046a1804b39a1b851206b9644e14684aadd26a476c0cf4b2f43069a9e4dee10	true	1
5	gx8002_unpack_message	exact	0x0057BD06	0x0057C0D6	976	cdc8a4a55314450032ca8ee40fa0f7649f2beeea87439345d0e939e6be512da5	true	3
6	gx8002_send_message	exact	0x0057C0D6	0x0057C1FC	294	0214e99b6c2e6eb5290f939a754b9bb75b58b0e95a00dc6abfa75c11fde7b211	true	1
7	gx8002_uart_read_blocking	exact	0x0057C1FC	0x0057C442	582	aa930b817716dc9c3f58a4da1143bf3b2d9255ff8ba0ad18816fda233ab1927e	true	1
8	gx8002_read_uart_data	exact	0x0057C442	0x0057C512	208	2edc732de6cec8361549edeb3eb67f58ee271b9a92689c7c924ec58f4794bbfe	true	3
9	gx8002_send_and_wait_response	exact	0x0057C512	0x0057C610	254	b97abc0d0f14753148edc51aa63261c13ac68bbba2a086fe4b414c5e610b0d2b	true	7
10	semantic_gx8002_free_message	semantic	0x0057C640	0x0057C664	36	bcb3bffc1fd22670f2e00f49da3a22810a84f9a49f897bad5731b1a5d4135062	false	26
11	GX8002_ReadVersion	exact	0x0057C664	0x0057C7BC	344	160f5d762bc8a9480b15eae457e1d98224faed20929aba95e2d3797f25e317e2	true	3
12	GX8002_SwitchBFMode	exact	0x0057C830	0x0057C93E	270	ddf38ff2d1764bc427dd22b5e818efdeb13c5e132ca90aa15512dc50b28ca641	true	1
13	GX8002_SwitchWakeupMode	exact	0x0057C9B8	0x0057CAC6	270	7310ee4312754cc1aafc12ce58dee5977616a5ce7ea705a35eb7b6b466ede675	true	1
14	GX8002_QueryMicState	exact	0x0057CB60	0x0057CC7A	282	c9a8bd6f40e18d8b7a28ea50f4d2bfd36e255cd3b23f3323793fdefa1a9a6ce6	true	1
15	GX8002_SetMicGain	exact	0x0057CCEC	0x0057CE54	360	ebe25682116b85141989c895231847f887f8990c6851fcd0fde07bf5f643070d	false	1
16	GX8002_DMICCtrl	exact	0x0057CE78	0x0057CFA6	302	f39412c62bb5804597056401e67f7186015754fbef9bc08073f975f42ab7c1c9	false	2
17	GX8002_I2SOutputCtrl	exact	0x0057D024	0x0057D146	290	3b08377188310b0fd2aa123d8e03e28b9f1cb6f4f72187cdfa2309401cc3d2b4	false	1
18	GX8002_MicDelay1Bit	exact	0x0057D1CC	0x0057D3B0	484	f456803b29970d241f64424df23bee975865a555c23c742b5fc1ac1513c14a0c	true	1
19	SVC_SwitchBFMode	exact	0x0057D418	0x0057D4E0	200	1d88250f78d2b0262c145a868e67a61e5a35ee2bde4641bd8625967ded7aa9df	false	1
20	SVC_SwitchWakeupMode	exact	0x0057D4E4	0x0057D5AC	200	013af7cd802d144f62da7dcb07a76b8c964d9f921a7ac1d5633e403efa99c814	false	1
21	SVC_SetMicGain	exact	0x0057D5C0	0x0057D6A2	226	631e449ad36024cfbae2cf9295c918d9e3c7cf1ca90688ff1d3a9b711b74c3c4	false	1
22	SVC_CodecDMICOpen	exact	0x0057D6B4	0x0057D784	208	56540991b704b13032b8ac121d329c6ebb0caeb99e6b95cf67aef1dde91bf230	false	5
23	SVC_CodecDMICClose	exact	0x0057D794	0x0057D860	204	20a4386b6eee6fe5ff07c3647e1a23e26647c1678352efc16e6c5f19d6640a85	false	3
24	SVC_CodecMicDelay1Bit	exact	0x0057D870	0x0057D92A	186	2ddb596dde70b8dbe85f76e701ebce42bab966663331cff83033966f85e3b7cc	true	1
25	SVC_I2SOutputCtrl	exact	0x0057D93C	0x0057DA1C	224	03cab817428fe78aaec4fcaf086af61577f32048e966fc75b94de75462bf152f	false	6
26	GX8002_GetVoiceEvent	exact	0x0057DA40	0x0057DB58	280	a313c69d54ed9853ac5945d2cf78ad54fc61bb8d4c9c51c3a9325558b5a1ca0d	false	1
