retained_path	closure_manifest	linked_functions	body_bytes	physical_bytes	production_ownership_bytes	status
platform\protocols\pb_service_translate\pb_service_translate.c	g2-pb-service-translate-closure.tsv	4	1324	1444	0	closed
platform\protocols\pb_service_glasses_case\pb_service_glasses_case.c	g2-pb-service-glasses-case-closure.tsv	4	1360	1484	1360	closed
platform\protocols\pb_service_ring\pb_service_ring.c	g2-pb-service-ring-closure.tsv	4	1362	1512	1362	closed
platform\protocols\pb_service_conversate\pb_service_conversate.c	g2-pb-service-conversate-closure.tsv	6	1776	1904	1776	closed
platform\protocols\pb_service_teleprompt\pb_service_teleprompt.c	g2-pb-service-teleprompt-closure.tsv	7	1854	1984	1854	closed
platform\protocols\pb_service_even_ai\pb_service_even_ai.c	g2-pb-service-even-ai-closure.tsv	25	8404	8956	0	closed
platform\protocols\pb_service_terminal\pb_service_terminal.c	g2-pb-service-terminal-closure.tsv	13	2554	2800	0	closed
platform\protocols\pb_service_dev_config\pb_service_dev_config.c	g2-pb-service-dev-config-closure.tsv	3	2646	2932	0	closed
platform\protocols\pb_service_health\pb_service_health.c	g2-pb-service-health-closure.tsv	8	3092	3404	0	closed
platform\protocols\pb_service_setting\pb_service_setting.c	g2-pb-service-setting-closure.tsv	11	3466	3800	0	closed
platform\protocols\pb_service_onboarding\pb_service_onboarding.c	g2-pb-service-onboarding-closure.tsv	9	3024	3216	0	closed
platform\protocols\pb_service_notification\pb_service_notification.c	g2-pb-service-notification-closure.tsv	9	3318	3556	0	closed
platform\protocols\pb_service_dev_config\pb_service_dev_setting.c	g2-pb-service-dev-setting-closure.tsv	10	3432	3716	0	closed
platform\protocols\pb_service_quicklist\pb_service_quicklist.c	g2-pb-service-quicklist-closure.tsv	10	3468	3748	0	closed
platform\protocols\pb_service_dev_config\pb_service_pair_mgr.c	g2-pb-service-pair-mgr-closure.tsv	20	6564	7288	0	closed
TOTAL	-	143	47644	51744	6352	all_15_retained_paths_closed
