recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	UX_SendBLEStatusToPeer	semantic behavior label	0x0047CE90	0x0047CED6	70	5bf7390e47a32ce2e0b6eaf0d9a7b14f82c332a0635e56395efb87bd62380d4e	no	2 internal direct BL sites	builds an eight-byte role-qualified BLE status record and sends service 0x0103 to the peer
2	UX_SendRingStatusToPeer	semantic behavior label	0x0047CED6	0x0047CF28	82	73626481e2286a65370d1f7ed437129490b10421bc1a6df6cced406fca1405aa	no	2 internal direct BL sites	builds an eight-byte role-qualified ring status record from packed bit four and sends service 0x0103 to the peer
3	UX_SendRingQueryToPeer	semantic behavior label	0x0047CF28	0x0047CF60	56	4d2450b40aa0692950601f843e16dfba0c9167a00896525fe0f7373f135fa228	no	1 internal direct BL site	builds the ring-query service record and sends it to the peer
4	UX_LocalSystemStatusSyncHandler	exact retained function string and stored callback	0x0047CF60	0x0047D818	2232	64a3e50af75be925eb899fbcbea435fe9bd3e4aea65d4606b2a5c1facffe4e34	yes	stored Thumb pointer at 0x006A4744	dispatches system status IDs one through six and updates packed OTA BLE ring-MAC and ring-link state
5	RPC_SyncRingStatusWithPeer	exact retained function string	0x0047D818	0x0047D870	88	6a92bfb6f34e7a973df8a6e0c14fecaa3e46a0a4689ffb0800c0223319f4cf7b	yes	2 external direct BL sites	skips when no ring MAC is set then sends owner-appropriate ring status or query
6	UX_SendBLEStatusReply	semantic behavior label	0x0047D870	0x0047D8B8	72	6d9af19b64f9f9bb003ad42a58f2049702108c972594581019aa6d123b49ded7	no	4 external direct BL sites	builds a role-qualified boolean BLE status reply and posts local service 0x0103
7	UX_GetSelfOTAStatus	semantic getter label	0x0047D8B8	0x0047D8C2	10	4692370a7f10541e321a9cd0e8580e6f1a338e4d5561ebd4314f2b5bc7572cbb	no	1 external direct BL site	returns packed self-OTA status bit zero
8	UX_GetPeerOTAStatus	semantic getter label	0x0047D8C2	0x0047D8CE	12	a15302df3335079911d2d476e660e5054578a71981aaa1c26cb7e57bffd62124	no	1 external direct BL site	returns packed peer-OTA status bit one
9	UX_GetSystemBLEStatus	exact name from retained diagnostic	0x0047D8CE	0x0047D8E4	22	14b7a1e5024c096f484a51166af9d83986c318c36a775d51437bacc3dbf206fa	no	22 external and 11 internal direct BL sites	returns true exactly when both self and peer BLE bits are set
10	UX_GetSelfRingStatus	semantic getter label	0x0047D8E4	0x0047D8F0	12	c47cd917bda4939c6e83f1c2af18fe5f298e4c1ca921b0964cabc56ba9ffb3cc	no	2 external direct BL sites	returns packed status bit four
11	UX_GetPeerRingStatus	semantic getter label	0x0047D8F0	0x0047D8FC	12	766fe32abd71529961b55f4eea52675a4fb2f205c8bc858e69580cd5862d4ce9	no	3 external direct BL sites	returns packed status bit five
