# source_sha256=def199a7179981092894a10627a243c121c7cf221fd35b6ecd9423e1cf600223
# header_sha256=ec4b58fca5019c11aea47a56b5c0ad02313112d9289862cc2bf0af145796b2f3
# artifact_sha256=b0c5614157d33fbeddbdfdaa88bcdd6927f58af64ce73cd274de45342c807fa6
# full_143_row_ledger_sha256=2da0db026a5235e3d5f61e5d59ea1bd390d0249d41b710f2a0606318a02381f1
# container_id=sha256:4bf18d22a8e9e1dffa4c21ea1ba44decf7a88a4a2e9c766e47c523f4bef26db0
# compiler=arm-none-eabi-gcc 13.2.1 20231009 package 15:13.2.rel1-2
# matrix_elapsed_ns=2448108512
config	functions	exact_size	total_abs_delta	raw_matches	normalized_matches
O0	11	0	266	0	0
O1	11	3	82	0	0
Og	11	5	70	0	0
Og_nosibling	11	5	70	0	0
O2	11	1	208	0	0
O2_noinline	11	1	104	0	0
O3	11	0	452	0	0
O3_noinline	11	1	112	0	0
Os	11	3	84	0	0
Os_noinline	11	3	84	0	0
Os_nosibling	11	7	74	0	0
Oz	11	3	84	0	0
Oz_nosibling	11	7	74	0	0
