source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
1	dmSecApiLtkMsg	source_only			0		70-83	8c7b05849ce19e1074dd0d4c4a68c4ee00bd102cc16455de69a49fc282f23abe
2	dmSecHciHandler	linked	0x004D2364	0x004D2440	220	0487ba4b9d4d93d5d414c875b37afcaf6a9fa2628fa6193fa979f282678a1024	94-174	4c38de7da351b7fa81ab671faca6f3bad77d1540d357cf289f18acb3dea4a502
3	dmSecMsgHandler	linked	0x004D2440	0x004D24A8	104	e81d46f26d7abdc37bfd9591456c899b262f48cbe9e29b5b103191461d343968	185-234	7042f4c185c1aefdf98c591687afd874683ba9b94d0b6a45a44005ce050eee1f
4	DmSmpCbackExec	linked	0x004D24A8	0x004D24D4	44	744f27bf06671b3daa10125b6ca65a9fbc9333f6754ee728f79a014c91567e41	245-259	16bc6b9e0ccba612f4a4a4334752fd546fdfca6739742aeddba89fdb432c8e0e
5	DmSecCancelReq	source_only			0		271-284	997c8501dc87c39a631a2951df4e8ade78228950f2795b0987022b190945f719
6	DmSecAuthRsp	linked	0x004D24D4	0x004D250C	56	96dbb0ebe2c014b420b5d911b1b8b6cd6b17791676309aa571825fe123357c32	298-318	ec07dfc7de8e3697f450ad59dea2fdcb6f3757f7c39bf023627741c37730039f
7	DmSecInit	linked	0x004D250C	0x004D251E	18	1d080174ce4ee0342e3ef23e4265aa5016db7fa494fdb0d973c58003fe2c001c	327-332	c96c9c7f12a5a8759f2936be6dd42b67859fa67910fbac13f22bf643306c25f8
8	DmSecSetLocalCsrk	source_only			0		343-348	c558243d3559169cb2b5901e9eaa044b5cef6c5e719671b0d3ea5051d6bf2834
9	DmSecSetLocalIrk	source_only			0		359-364	5bca6a705ba38a24a89fb55e057164d7cbe5104bb829bc0c15cc1e689729aee6
10	DmSecGetLocalCsrk	linked	0x004D251E	0x004D2524	6	3e78c4337c3095a014bf862ea720d3f84c41c3a62a44088f983d2933d25faf6d	373-376	663e559418b003d0465642dca68771946adc5653964a77ee8ad1c020a67a6b77
11	DmSecGetLocalIrk	linked	0x004D2524	0x004D252A	6	c6eec40909bef313a6287d7f0213790f6fb54ed7ea6141d584eb5cf3fef975ae	385-388	146d1016498042963c1d5e612ab861c5f77c811fd436434ee596157d7cc04b6d
12	dmSecReset	linked	0x004D2544	0x004D254C	8	a0cc5ec9827b16bf9b816684f01caa1b05cf224b58b137a4f335339a08f90320	397-401	d4cd6428fda885899f6aa5f1faa5567f20d78d42ec48ee8cb7d12533c6a987d6
