recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	direct_callers	evidence
1	APP_PbRxEvenAIFrameDataProcess	exact retained diagnostic symbol	0x004E31CC	0x004E3530	868	cbbc8089031a3c2387a69473a1c2211ab5f811a87ec914112f7b5043230fdfe4	0x004E298C	decodes the 0x20C-byte union, suppresses repeated magic, and dispatches commands 1 through 10
2	PB_RxEvenAICtrl	exact retained assertion symbol	0x004E3530	0x004E35FC	204	2f740eb03925dd6061e563a4054699dd531acfec3b438e4062d4416b910ffa8c	0x004E3402	validates and relays the control payload
3	APP_PbTxEncodeEvenAICtrl	exact retained assertion symbol	0x004E35FC	0x004E3788	396	477bf9c761e2623a61d7dcdd3e0e9450cd7db16297f6d8f221669aeb281fbccf	0x004E3410	encodes command 1/tag 3 control response
4	APP_PbNotifyEncodeEvenAICtrl	exact retained assertion symbol	0x004E3788	0x004E391A	402	c47133c5120bdd7b3e883705a1890b1662ed1f578a5388a412ceea092e796a4e	0x004982EC	encodes command 1/tag 3 control notification
5	PB_RxEvenAIVADInfo	exact retained assertion symbol	0x004E391A	0x004E39EA	208	b92b862e8e9669139e8324a84e7ce6315d64f76a908eff5e6f5530f6ec4dfb20	0x004E3424	validates and relays VAD status
6	APP_PbTxEncodeEvenAIVADInfo	exact retained assertion symbol	0x004E39EA	0x004E3B6A	384	c6ed61e0de4cccabc9c5ae25ba2518498fff8fc45ad8b7d5cae9cfa181871baf	0x004E3432	encodes command 2/tag 4 VAD response
7	APP_PbNotifyEncodeEvenAIVADInfo	exact retained assertion symbol	0x004E3B80	0x004E3D02	386	82c51e1f943665542d02e89f5e7761d8a0a2c9b3e16e47bef64da1b121e53fb5	0x0049830A	encodes command 2/tag 4 VAD notification
8	PB_RxEvenAIAskInfo	exact retained assertion symbol	0x004E3D34	0x004E3E86	338	beabf2282dadf7d9f05f8f5595ce87f01ec75110b8c836667e8ff5f8aa83a57d	0x004E3440	validates status, stream-enable, and text-mode fields
9	APP_PbTxEncodeEvenAIAskInfo	exact retained assertion symbol	0x004E3EA4	0x004E402A	390	57a5147f89d1d51069a8ef8696f9f96a37341ad2b84bcfce06310c5ea99c82e3	0x004E344E	encodes command 3/tag 5 ask response
10	PB_RxEvenAIAnalyseInfo	exact retained assertion symbol	0x004E403C	0x004E4106	202	f66f01b3c6ae0160e28c410179be76c1227f45594a1dc56b1c7e1a32e38efd41	0x004E345C	validates and relays analysis data
11	APP_PbTxEncodeEvenAIAnalyseInfo	exact retained assertion symbol	0x004E412C	0x004E42B4	392	3251144219ea1681411ba716494bbe1fc8473dbdbf4308b406765279a75ecaeb	0x004E346A	encodes command 4/tag 6 analysis response
12	PB_RxEvenAIReplyInfo	exact retained assertion symbol	0x004E42B4	0x004E4386	210	bb36c807b56cf779c0749a2fb4181fde5ac4a099f04e41cb0f56b7331d1fc547	0x004E3478	validates and relays reply command count/data
13	APP_PbTxEncodeEvenAIReplyInfo	exact retained assertion symbol	0x004E43A0	0x004E4534	404	329f092646fdc668246369b26c44efca352eaf0becc7927c7c0cecdeb158ce13	0x004E3486	encodes command 5/tag 7 reply response
14	PB_RxEvenAISkillInfo	exact retained assertion symbol	0x004E4538	0x004E45FE	198	f9f75a74e9c77fb91560aa85bced6ddc85a26c59c7ecb36b563e6ba5cb77819d	0x004E3494	validates and relays skill ID
15	APP_PbTxEncodeEvenAISkillInfo	exact retained assertion symbol	0x004E4608	0x004E478A	386	e73171b547998f7758b8bf79e90c3bcdc05532487c0eae734fb4d6e05ccb77d6	0x004E34A2	encodes command 6/tag 8 skill response
16	PB_RxEvenAIPromptInfo	exact retained assertion symbol	0x004E47A0	0x004E4864	196	a32ec91f19812ce5d6c3882c2183c2bd0a875019d64011b7346214755e0d7cca	0x004E34B0	validates and relays prompt type
17	APP_PbTxEncodeEvenAIPromptInfo	exact retained assertion symbol	0x004E4888	0x004E4A0C	388	1c5dbb53d07836432e8e2b4d8fdb4c8f51f5abdbb9e4ae1f066e76663743e782	0x004E34BE	encodes command 7/tag 9 prompt response
18	PB_RxEvenAIEvent	exact retained assertion symbol	0x004E4A34	0x004E4B04	208	073b1b40acfc5b8d3cf897de601e3a701c68b824ae4a9e1ebabd1d6d5602f035	0x004E34CC	validates and relays event byte
19	APP_PbTxEncodeEvenAIEvent	exact retained assertion symbol	0x004E4B20	0x004E4CB0	400	c60ce2b91c1f4aa401aad89ac3a8e3df9fcd33af2a404cef0d3a9bf81b8b36e2	0x004E34DA	encodes command 8/tag 10 event response
20	APP_PbNotifyEncodeEvenAIEvent	exact retained assertion symbol	0x004E4CB8	0x004E4E4A	402	2635fc7af0d11c44183628ea44713b542994b6ebeb692059be567fde068d7113	0x00498328	encodes command 8/tag 10 event notification
21	PB_RxEvenAIHeartbeat	exact retained assertion symbol	0x004E4E5C	0x004E4F20	196	bd5cb993db8424092c5a4b7ecdf1bb679c74da1d14f980bc1e7ddefcff4070b9	0x004E34E8	validates and relays heartbeat count
22	APP_PbTxEncodeEvenAIHeartbeat	exact retained assertion symbol	0x004E4F30	0x004E50C8	408	c6f4bb432d16f771dec028a6069621674251f904c52d372580f9d938ed93dbbd	0x004E34F6	encodes command 9/tag 11 heartbeat response
23	PB_RxEvenAIConfig	exact retained assertion symbol	0x004E50D8	0x004E51AC	212	daa6904707a9347f5d51e0acc3e18bc11fcd5a97f65ec6df6f80ae497dabd635	0x004E3504	validates voice, speed, and duplex configuration
24	APP_PbTxEncodeEvenAIConfig	exact retained assertion symbol	0x004E51C0	0x004E5330	368	dd53dd8b39c9cb414dea3d4cd10af5d19f8ebadaec8404e4e335661ab54fc672	0x004E3512	encodes command 10/tag 13 configuration response
25	APP_PbTxEncodeEvenAICommResp	exact retained diagnostic symbol	0x004E5338	0x004E543A	258	708e25e4deea751393b925eb0fd9356c5000cb63037c445c8caf995d16f743ef	0x004E3372,0x004E352A	encodes command 0xA1/tag 12 one-byte command response
