# label	source_path	git_blob	sha256	size
adc	libs/adc/lib_adc.a	2fa36563062f35de071ac2469e7bc2b152637bf6	a56ccf1b754940c81d15520227a82ea25df9332fdae7a3baf1d3742536159777	103882
aoad	libs/aoad/lib_aoad.a	b31df41c47bdda9ab095d056a3da452b87c7a7bf	e429d2d2ed15699bd5eccef8c6b71153e4bd518d98780e336ab96b227704d682	90178
dma	libs/dma/lib_dma.a	23a376fd4c524624218935dee3d38688ec542a7a	5e75306ff9f8db04648ae7274201ae2e57242eb8016e96fd3957300e18002fc9	42882
em_hw_api_di03	libs/em_hw_api/lib_em_hw_api_di03.a	a5464508dffcd0640afc063b2b1de104fb145e0f	01ca9ea4016ea70185a1448c2abd0b9a4628426b15afada0bc8aa83aae418102	293274
em_system_di03	libs/em_system/lib_em_system_di03.a	ea9991a66e6df4dd1b4fbcd4051c5739217a76bc	ee2072352dde35173f978de1bd767093b08d7bd5d96873d79eeaa3f5c41f0e61	1499992
em_system_di04	libs/em_system/lib_em_system_di04.a	e37d4f321d85f5ff6d7bb114a5a795a495168c94	4376c640692341529f004535096c24a8675469e9afb82d65bf4b2ca5e75d2b4e	779866
em_system_emcore	libs/em_system/lib_em_system_emcore.a	f0f8354a7eda5458a5138b8756fb46ee3bd2c452	0bed16fb4eb5ac049248faa4fe04410972faeb60518672d308dacdc1c0c13a64	755466
firmware_update_core	libs/firmware_update_core/lib_firmware_update_core.a	d998e2e7f45b3cced1347aedee29b47dc201062c	c9ed23f0724dc96cedd3d8799504640ffac6ebef4c03cbe01790ede57d9369b3	82874
firmware_update_crypto	libs/firmware_update_crypto/lib_firmware_update_crypto.a	b35e307f3fd2a15c4bf1b336211d78ce3f6598cf	166729788a8b476fa916701a8cdce1cbedfb7ae55ff59af6d4e3deed91a7eed8	40920
gpio	libs/gpio/lib_gpio.a	63ae84faec4eed9a2162fc2de0129985eff57822	bbace208c955431a0e48152e29d4508c9b104a67687930f20fe433d14e43cae3	81004
i2c	libs/i2c/lib_i2c.a	6430cd3003aa02d0833e3bc86528257fddd99ca8	b363e7c87656c5e4244841cfbcbe80301f02d10f83c7754fb5faf32f46cc8233	132626
i2s	libs/i2s/lib_i2s.a	0e3f4e6435f00f41d65cc017f4fcea7b01fdb4d1	deb9591791c89e74acd4a5ad3c92456891856bdcaa8e47ab36ce7248f1dc9c8a	203110
nvm_op_sched	libs/nvm_operation_scheduler/lib_nvm_op_sched.a	c6bd6d79c2a019315bfb4b12bbacf46a0958f834	3fc472decd87f5cefdfe72bbb332d83a7ae16e1b2490268b1aa9eee41ae75e0e	42250
pml_di03	libs/pml/lib_pml_di03.a	8637c90e3851846347e6b14135a6779999c570cc	227d3b5395f36802781c0cff3e7a21f641da74579342d7ccfc76a74b18e51570	268172
qdec	libs/qdec/lib_qdec.a	7cc6e3ecfe7226852d3cc4fe4d8ee633b1865c25	1b26cd3fb91314e63861a9de754f1e14a790f904fe915ad4afd6cd73a7c916d0	91748
hw_security	libs/security/lib_hw_security.a	6844fb0d42bd31161257386d895fa0e7a588e9d2	9d443e09236b4f8c23e71ef44e4873019cd64cdd818c3f62ef2cc15d0301aadd	101434
spi_master	libs/spi_master/lib_spi_master.a	9cf82cb5d4c7cc0716a56ebc472f3240162cfb91	1ba0ac17c614aa8ca3142442fb5d07a76349d1f6525f9b2e95c8933ac7c7be57	122594
spi_slave	libs/spi_slave/lib_spi_slave.a	a9f54a26987e80888f7fc4eec61bf73e8a6fe383	9a08cb2d4b51a26b301830404d3dc997494c6f319637c03107662b1894c0b84d	128712
spi_slave_dma	libs/spi_slave/lib_spi_slave_dma.a	a04d104428ecf23aa4d5af20f2062f4abbcd6860	38c83993b2d4499979d6924837232d4680052970e3c2d4a2c36b00d7399c7e32	129856
temperature_indicator	libs/temperature_indicator/lib_temperature_indicator.a	f0056a98c7b4ace1e35ae2a36bfc16b93f0fb03a	fbeb9e7d1ffa8acf84052bbd3d020fbd14a92de21feabbc7f236de642e68b64c	79186
emb_audio	libs/third_party/emb/lib_emb_audio.a	3bc38f0dfb1432e7cf37bce38355a7629597d676	ef755495290c82bfd4121a5199b8286f21dc0f1f5582ae2eb1869509cac87bf2	23528238
emb_central	libs/third_party/emb/lib_emb_central.a	82b8b52b7022943a109ea6552d1472e986dc4fec	b708d2e88e5f97aef72dd7c02ff75513df2ebf2efa5c46c4fc906345a7d87f84	19281156
