recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered	entry_evidence	qualification
1	input_tick_read	semantic behavior label	0x00512C84	0x00512CA6	34	90a0f4fb3426e57e8c981b736909191008fcab7e88e522108b0c982f28a082f2	no	no	external BL at 0x00574918	reads the bounded first-party tick provider into the caller record
2	thread_input_state_enter	semantic behavior label	0x00512CA8	0x00512CB2	10	6c403260c493ac04bcedf56ae08282ddbc6ca16944ef523f24509117ce38e326	no	no	internal BL at 0x00512F0C	marks input thread lifecycle state active through the closed thread-manager provider
3	thread_input_state_exit	semantic behavior label	0x00512CB2	0x00512CBC	10	faa1e59f3bec1b2c509b7e61f2fa87e4559b0d15becb927fce307c78d81f9fb3	no	no	internal BL at 0x00512F2C	marks input thread lifecycle state idle through the closed thread-manager provider
4	INP_ThreadInit	exact retained diagnostic symbol	0x00512CBC	0x00512D66	170	f682fb7d487aa0af826446933538c25e0c9474e10344a59b952443276c3b05ef	no	no	stored Thumb pointer at 0x007940E8	creates the input CMSIS thread with entry INP_ThreadHandler and logs via thread.input
5	INP_ResourceInit	exact retained diagnostic symbol	0x00512D66	0x00512E0C	166	0c3159435ead07ee91cd8018e4ed4ad0ac99135fa702c0ff1faa32d1cb811f90	yes	yes	internal BL at 0x00512F14	creates the input message queue and input resources with failure logging
6	INP_HardwareInit	exact retained diagnostic symbol	0x00512E0C	0x00512ED6	202	b8b2740f7dca378b7f88aa8a5709f7d6ce6875b559aa84294c89df01e75239bc	yes	yes	internal BL at 0x00512F10	initializes touch hardware and applies touch gesture configuration after startup DFU
7	thread_input_terminate	semantic behavior label	0x00512ED6	0x00512EEE	24	2bc6db75aa4fd3cab97cbb253cf2d06df9f03c70f62ff9ed5af8a09f98e838fe	no	no	authenticated source-order prologue	terminates and clears the retained CMSIS thread handle when present; no live static ingress
8	INP_ThreadHandler	exact retained diagnostic symbol	0x00512EF0	0x00512F92	162	891575b7ab433c99e5bbc6bdc2a9bd19d4c472ea122ec8fb0969ea40a5ea8f89	yes	yes	PC-relative thread entry passed to osThreadNew at 0x00512CC8	runs init sequence then waits forever on thread flags and dispatches queue, drain, and exit bits
9	INP_MessageProcesser	exact retained diagnostic symbol	0x00512F92	0x0051301C	138	acef79c6caf38dba5edfb405782fd1d9bc1386d50dfb12e5106c00b5b57f434e	yes	yes	internal BL at 0x005133EC	dispatches message IDs through the bounded five-entry runtime handler table
10	input_msg_send_record	semantic behavior label	0x0051301C	0x00513056	58	4b95a57ba502ef5deb39b9a3cbebb619532b07d5870c5f8522f831e074ea0e69	no	no	internal BLs from the five message senders	puts an input record on the queue and sets the thread notify flag with bounded failure logging
11	input_msg_send_touch	semantic behavior label	0x00513056	0x00513070	26	520166e9e32d60aa2ebe38a13525da6338373186d9c719a862e0a43fc001162d	no	no	external BL at 0x0055BA68	builds a touch-sourced empty record and sends it to the input task
12	input_msg_send_id1	semantic behavior label	0x00513070	0x0051308A	26	3e7da1e910cc2063477b6e54da8afe427e5c6cce935a17349667b3ed450f676b	no	no	external BL at 0x005029FE	builds a message-ID-1 record and sends it to the input task
13	input_msg_send_id2	semantic behavior label	0x0051308A	0x005130A6	28	aa28d1de7c0a1541cd4b7fa0cb521b5b22cb3217975deff62f8dd7c47ba302a5	no	no	external BL at 0x00502BF2	builds a message-ID-2 record and sends it to the input task
14	input_msg_send_id3	semantic behavior label	0x005130A6	0x005130C0	26	277537a483b2dd908c537d139265994e56c0f7cb72fdbc1ebb3b4a06dbec6cff	no	no	external BLs at 0x004ACA30 and 0x00577B70	builds a message-ID-3 record and sends it to the input task
15	input_msg_send_id4	semantic behavior label	0x005130C0	0x005130DC	28	9f76ae43e2996b2ac5189ee2eb267a86d3a48981016a17fef92ef3f1a18d6b5d	no	no	external BL at 0x005E895E	builds a message-ID-4 record and sends it to the input task
16	INP_BoxDetectInCase	exact retained diagnostic symbol	0x005130DC	0x00513136	90	88da28f8ab9c1b7398ab1d5b95992dd9af53da23f23c0c0db2b8e63438ed478d	no	no	runtime-registered handler behind the blx table dispatch at 0x00512FC6	resets touch and saves the proximity baseline when the box is detected in case
17	input_touch_gesture_apply	semantic behavior label	0x00513136	0x0051313E	8	a209cc99aff43171712a802a4704f2030aebe6d084f42ea097db859204c786dd	no	no	runtime-registered handler behind the blx table dispatch at 0x00512FC6	applies the touch gesture configuration through the closed gesture processor
18	input_buzzer_start	semantic behavior label	0x0051313E	0x00513148	10	70e30621e426dc289166baebcfe811ab142000cc5e6647f485d68f5560c35a7f	no	no	runtime-registered handler behind the blx table dispatch at 0x00512FC6	starts the bounded buzzer effect through the closed buzzer driver
19	input_buzzer_stop	semantic behavior label	0x00513148	0x00513150	8	e3782126736bcce11bab929b6d123cb29ca1d715e36481872d44148c908c46fb	no	no	runtime-registered handler behind the blx table dispatch at 0x00512FC6	stops the buzzer effect through the closed buzzer driver
20	INP_SetTerminalMode	exact retained diagnostic symbol	0x00513150	0x005133DA	650	af94025e7f31b1ba7d3157e639be76e564308da66c315529bb7c39b0e36cbcda	no	no	runtime-registered handler behind the blx table dispatch at 0x00512FC6	reads, verifies, and writes touch gesture thresholds per terminal mode with readback validation
21	input_queue_drain	semantic behavior label	0x005133DA	0x00513404	42	bec05bc42d66eae0b5b1c23973ba441609e49217800726b66ea1d170531c9039	no	no	internal BL at 0x0051340C	drains the input queue and dispatches each record until empty
22	input_flags_dispatch	semantic behavior label	0x00513404	0x0051341A	22	64179b4965fe23e38d96356b366a2bb5eb33b3aa1ab069b4e68d8bfe269835dd	no	no	internal BL at 0x00512F32	tests thread flag bits and runs queue drain or thread exit
23	INP_ThreadExit	exact retained diagnostic symbol	0x0051341A	0x005134B2	152	efc713c69f8e8e2107adf84053d9cd7623db033b02bddfd5ff680f5d5da53d9d	yes	yes	internal BL at 0x00513414	marks lifecycle exit, deletes the queue, logs, and blocks forever in osDelay
