ordinal	function	stock_start	stock_end_exclusive	interval_bytes	interval_sha256	source_path_anchor	provenance	behavior
1	navigation_send_type_1_allocating	0x00586448	0x00586584	316	808c0b01fa450173366a8ff9dc2deda6ab0278a3a215d2edbfe03a2e3f00e821	yes	Ghidra-discovered	allocates and transmits navigation message type 1
2	navigation_send_type_13_allocating	0x00586584	0x005866C0	316	970a7fd0508a87382c74e0be49de521acceba064e15294eb2bbcbef900c784c4	yes	Ghidra-discovered	allocates and transmits navigation message type 13
3	navigation_send_type_17_allocating	0x005866C0	0x005867FC	316	9771f4a562a1a37045f093d2f0c1d80ee4f7b1f76beb1a4b45eaad8c0a82018e	yes	Ghidra-discovered	allocates and transmits navigation message type 17
4	navigation_send_type_16_allocating	0x005867FC	0x00586938	316	70f8ca9e94dc74aac20d2e2353e4eeeaa234eb031fdef838a46df34abb4a17b2	yes	Ghidra-discovered	allocates and transmits navigation message type 16
5	navigation_send_type_0_shared	0x00586938	0x005869B4	124	cc3951156287638e2f32e85bd75f0e8b2cce764a3445f2a24277eb0272fbb1eb	no	Ghidra-discovered	encodes navigation message type 0 through shared scratch storage
6	navigation_send_type_5_shared	0x005869B4	0x00586A30	124	cc2f88167cc99da747d647cfdd31607ac3383a7f7792e6e5871bb086cde8982c	no	Ghidra-discovered	encodes navigation message type 5 through shared scratch storage
7	navigation_send_type_6_shared	0x00586A30	0x00586AAC	124	a5c717d677859cc0a5f1d06f75e3840077bf1e623914239ccf2f018f11a787e3	no	Ghidra-discovered	encodes navigation message type 6 through shared scratch storage
8	navigation_send_type_10_shared	0x00586AAC	0x00586B28	124	65f3983d4474ca0b1aef8d972a85a6dc05cb530b9f5d9ac3e761ab372cfce6c0	no	Ghidra-discovered	encodes navigation message type 10 through shared scratch storage
9	navigation_send_type_11_shared	0x00586B28	0x00586BA4	124	416d26ffd87de1124d9fd265146274c289dbcb39dfac02acda2febaaef5b30f3	no	Ghidra-discovered	encodes navigation message type 11 through shared scratch storage
10	navigation_send_type_12_shared	0x00586BA4	0x00586C20	124	eee7aaa4b597a72c34b466552025c1a1e460e213fee070d29a5b0253403e2350	no	Ghidra-discovered	encodes navigation message type 12 through shared scratch storage
11	navigation_send_type_7_shared	0x00586C20	0x00586C9E	126	ee0295439afae6fe0ce16f227db5c62d67a5a2c62e275dcec7e754cd9f26e8cd	no	Ghidra-discovered	encodes navigation message type 7 through shared scratch storage
12	navigation_send_type_8_shared	0x00586C9E	0x00586D64	198	bf6844dc9cabaacd38b59010d21bb1d51ffb73ea223a8f54ea3970bc611fe2d7	no	Ghidra-discovered	encodes the extended navigation message type 8 record
13	navigation_send_type_4_allocating	0x00586D64	0x00586F04	416	da8bea56bf1e1c6564fc0b480c8336ab0e38459699d80141db4712044c6e9bf6	yes	Ghidra-discovered	allocates copies and transmits navigation message type 4
14	navigation_send_type_14_allocating	0x00586F14	0x0058704C	312	30614495574d1e43c508bd5cf98574c51ec66ae1667a9bb658b04a47946da56d	yes	Ghidra-discovered	allocates and transmits navigation message type 14
15	navigation_send_type_15_allocating	0x0058705C	0x00587186	298	9f8cf095153747e9fc42ce5753f43f9c69ed0a02a29717f9efb0b8ce25b83d1b	yes	Ghidra-discovered	allocates and transmits navigation message type 15
16	navigation_send_type_9_shared	0x00587186	0x00587238	178	f2fe3e43f6cdd93ec55662c209765df7fbf20817ffa71326e5c0ee587fb6ea5e	no	Ghidra-discovered	encodes the extended navigation message type 9 record
17	navigation_send_type_1_shared	0x00587240	0x005872B8	120	40e1216852ccdef872e4f3f1b2be32c7df27949ccdb15ec28bbcde73b10e89eb	no	Ghidra-discovered	encodes navigation message type 1 through shared scratch storage
18	navigation_data_dispatch	0x005872F4	0x005882E6	4082	dc248ab01bf509cc19b6a079d40462c07686534ad8a13d1d7b19761f2696ea39	no	restored CFG entry	dispatches navigation records and role-sensitive notifications; contains two pinned inline literal pools
19	navigation_icon_name_for_code	0x00588388	0x00588486	254	5d7f69d0d0aa28ecb7b6a33a5461d8f674403c92cecd5e6340194a32aa78728e	no	Ghidra-discovered	maps navigation code 0 through 35 to a resource name
20	navigation_record_second_field_lookup	0x00588514	0x00588550	60	bd200d2a67061a766171c9cb0493a490d62e9bc17b41262602fd9fc896721030	no	Ghidra-discovered	looks up the second field in the 89-entry named-resource table
21	navigation_record_third_field_lookup	0x00588550	0x0058858C	60	0a9e80667c0f5e39086e4e7501e84f7597ff8ff9413b41b457d33f82e0c98670	no	Ghidra-discovered	looks up the third field in the 89-entry named-resource table
22	navigation_apply_named_resource	0x00588598	0x005885B4	28	f11a992efa828ca090b0d2e5a81c4b10f25b24dda6beb08d83ca4ad16d0e5c7d	no	Ghidra-discovered	resolves and applies a named navigation resource
