recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	am_devices_mspi_a6ng_term	descriptive high confidence	0x005BBD48	0x005BBD70	40	518341dafe38195d63d90cfa6543977b35bf3fbcd902c4cfabfa5da8ae4cc9ba	external ULED operations table entry at 0x0070AFE4	tears down the published Hongshi MSPI handle
2	am_devices_mspi_a6ng_init	descriptive high confidence	0x005BBD70	0x005BBDA4	52	45e84ed22c2eacd4ebce10aee5da76ca2789c19b8aba77402373b19761ecc0e8	external ULED operations table entry at 0x0070AFEC	publishes caller state, invokes common MSPI initialization, then enters panel initialization
3	am_devices_mspi_hongshi_init	historical semantic label	0x005BBDA4	0x005BBDF0	76	55882a3a6afe7a367e6caafc257b5c142b843cf5d342282f326ec8eb16468fc0	external ULED operations table entry at 0x0070AFF0	power/configure/chip-ID/clear startup sequence
4	driver_a6ng_write_register	historical semantic label	0x005BBDF0	0x005BBE3E	78	6d01619e92f47f58d799cfcc8c7aba95cf324e3172f6c9962632f7f59da6024d	many intra-object BL sites	builds a 3-byte register command and calls the common blocking writer
5	driver_a6ng_read_register	historical semantic label	0x005BBE3E	0x005BBE80	66	81bca7ce8ce27adcbd30fb55f91551f08dd954983973e6054fa8be310f19120a	many intra-object BL sites	builds the register request and calls the common blocking reader
6	am_devices_mspi_hongshi_read_bank	exact retained function string	0x005BBE80	0x005BBFF2	370	81fbd1e96e7f6896086f6b8e38895b4585bd53347801339e4fb1075b65c956da	many intra-object BL sites	retries a banked register read up to three times with diagnostics
7	am_devices_mspi_hongshi_configure	exact retained function string	0x005BBFF2	0x005BC4C0	1230	36a051e7d2039f485c39d7b2dd407a01582fe49ab0fb4d8503dc6d94ec388f91	BL from panel init and recovery	interprets the exact 50-byte configuration stream and verifies panel state
8	am_devices_hongshi_set_display_offset	exact retained function string	0x005BC4C0	0x005BC690	464	891d926dd98010aaa106782cb084e343c671d7c622e48a79fe79df7cc2ea3b63	BL from configure and external table entry 0x0070B008	clamps X/Y offsets and read-modify-writes EF/F0 followed by D9 latches
9	driver_a6ng_set_gpio_output	historical semantic label	0x005BC690	0x005BC6AE	30	4b9ed118dbcbec9de3e7d570a8b6bc93f07b8d768eb4a4c6ac750b49eff09440	intra-object power-sequence calls	programs the panel GPIO output state
10	am_devices_mspi_hongshi_setBrightness	exact retained function string	0x005BC6AE	0x005BC76E	192	bd957289c305d604a69c390be1e8820d24e4584cad6d6d28c96e6ef07458d61c	external ULED operations table entry at 0x0070AFFC	maps user brightness to panel current and writes register E2
11	am_devices_mspi_hongshi_read_chipId	exact retained function string	0x005BC76E	0x005BC87A	268	0d48cde6a855adb8bca9bca7e2586280d2062701de430b7189c3f1120da832c6	external ULED operations table entry at 0x0070AFE8	checks bank-zero register 06 for chip ID 01 and then reads serial data
12	am_device_mspi_hongshi_read_sn	exact retained function string	0x005BC8B4	0x005BCB24	624	12fae155218f248acf5aaee78a512d3b1d2d15e19ec2c8334e7ccf451eb23386	external ULED operations table entry at 0x0070B01C	selects serial banks and reads/logs registers 6C through 6F
13	driver_a6ng_clear_framebuffer	historical semantic label	0x005BCB28	0x005BCB64	60	a59c81ba88f60249ce6234ec75e857feba480836def5859b010f6e61921d83e4	external ULED operations table entry at 0x0070B000	invokes the optional clear callback then submits an asynchronous 640x480 refresh
14	hongshi_power_on_sequence	historical semantic label	0x005BCB6C	0x005BCBB0	68	1101f7a960daec12e175daeb5373f63aa240a28f9f96039017e711a8f786412e	external ULED operations table entry at 0x0070AFF4	sequences regulator/GPIO/MSPI startup with delays
15	hongshi_power_off_sequence	historical semantic label	0x005BCBB4	0x005BCBFE	74	0ee81b69b91a621899bf3bd2ae2b5d4a290320c45ff1d485c69ec77e2e6d1a82	external ULED operations table entry at 0x0070AFF8	sequences MSPI/GPIO/regulator shutdown with delays
16	hongshi_set_current_6bit	descriptive high confidence	0x005BCC10	0x005BCC18	8	291fa833e5a088194f5fe79f04316ed9729d2131fa0244663115db26c739954d	external ULED operations table entry at 0x0070B004	masks the input to six bits and returns zero without hardware side effects
17	am_devices_hongshi_QSPI_PartialReflash	exact retained function string	0x005BCC18	0x005BCD2A	274	83af55acc092d90c8c61f92b26e8e983a83eaae2fbe53c1c480ad020a050b8b4	external ULED operations table entry at 0x0070B010	bounds a 640x480 rectangle and submits packed 4-bit framebuffer rows
18	am_devices_hongshi_QSPI_PartialReflash_async	exact retained function string	0x005BCD44	0x005BCDDE	154	b1698c101ffa37a593988016a91de9f9479e4577258bc2ae61b24dfdea6e7434	external ULED operations table entry at 0x0070B00C	builds and submits the asynchronous QSPI framebuffer request
19	am_devices_hongshi_status_recovery	exact retained function string	0x005BCE00	0x005BCF28	296	ac7b7bd8517a0d5407215739f0cb03b8bde72e1a7ad3e8df42d695f6919e8c08	BL from status-check wrapper	power-cycles, reinitializes, redraws, and reapplies brightness
20	hongshi_read_panel_mirror	descriptive high confidence	0x005BCF68	0x005BD014	172	cb2fbe52c9fb1c2f349cb90eecd49ce1b8f4ff86c38202a6bdd0f5a87caec57b	BL from status-check wrapper	programs the mirror-read sequence and returns register D8
21	am_devices_hongshi_status_check_and_recovery	exact retained function string	0x005BD014	0x005BD2B8	676	dd81a4a619125ac6b44119bcbad0f8f8a87464e4d0c0e2af1ee08658d6fb7c9e	external ULED operations table entry at 0x0070B014	validates BE/62/D8 state and invokes recovery on mismatch
22	am_devices_hongshi_set_mode	descriptive high confidence	0x005BD39C	0x005BD3A0	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	external ULED operations table entry at 0x0070B018	intentional no-op mode stub returning zero
