index	name	identity	entry	end_exclusive	size	sha256	path_anchor	direct_entry_callers
1	semantic_OtaSelectFlashOps	semantic	0x004448F4	0x00444932	62	6b5c6421caa3020e4be0c6711f06ce94720939407a106ce94342f4c8222f189b	false	5
2	semantic_OtaFileSize	semantic	0x0044494C	0x00444996	74	bb7f33b9856668b278c1afd411af9cec24b41de42fb3cd09598f2ccd7f1f273d	false	2
3	semantic_OtaEraseRange	semantic	0x00444996	0x004449C4	46	22956ce4b53d9fb97397b588f7947f610bdb12816a187f1165abdcb2ee8bc272	false	1
4	_evenOtaSetFwAddr	exact	0x004449C4	0x00444BE6	546	c9c8869db64d8a351d59d464641471c3469d54b60526dd43e2d0d2772b4c9ce1	true	3
5	_verifyFlashContent	exact	0x00444BE6	0x00444C96	176	f1e076ecd0231814f0ea6dc10963e3ded399caf621ce5f2561a309d5a0e7d0bb	true	1
6	semantic_OtaBufferedFlashWrite	semantic	0x00444C9C	0x00444DE6	330	a067abcffafb6e1633664a0f5d93bca0cf519ff6aa341561039ec7679d9a26e0	false	2
7	semantic_OtaCommitDescriptor	semantic	0x00444DF0	0x00444E06	22	bea2843e54227704710a38f42c5bdef98af9155b5337424cbf785a4033c0eb55	false	1
8	_evenOtaReplyToAPP	exact	0x00444E08	0x00444E90	136	c14ba36c0c104f46e3aaf80b1944db898e360f5acd2bfef027b2483406a46af3	true	41
9	_RPC_SystemOtaStatusSync	exact	0x00444E90	0x00444F26	150	e8910eb27cf7d00e66c670a116881dafca9d9585c9263e800c03c79d4ceff20d	true	3
10	semantic_OtaParseHexAddress	semantic	0x00444F26	0x00444F60	58	07451187027d15c0fd078843b300e863925e34540f24cd62338c7f2162b17e2a	false	1
11	_evenOtaBootloaderWriteFile2MRAM	exact	0x00444F60	0x00445106	422	5f5f517cfcdafdb245ef0eb09b958bd8e076acf3eac5c0709e391e80f7864542	true	1
12	_otaFsHealthProbe	exact	0x00445110	0x00445422	786	1306e83137abb3ab03ef813b1287bfd1e026f5883358652da0fdc30a53dff3a7	true	2
13	_otaFsHealthCheckAndHeal	exact	0x0044545C	0x0044557A	286	e2b48f975f209494fff32c557612e2fdfb2d91d58da5c37f188e2a118e487376	true	1
14	_fileCmdParse	exact	0x00445660	0x00446C5E	5630	9d903b801bcfc7e2430fc333d07b1645e91ba1039cc71a429378772b95492860	true	1
15	_fileRawDataParse	exact	0x00446D40	0x00447A1A	3290	04abac79405b45a872babcdd1fd782961b4431c3183733585551287b471ccfa1	true	1
16	_fileCaculateCRC	exact	0x00447A60	0x00447E94	1076	bd68eeebed52aeaa928a4f8cc8304d48804b58df2e5aeb4b6df4af0ca066e7d1	true	1
17	_exportFileParse	exact	0x00447F00	0x00448660	1888	1482bc8b1aefb70ce37adef8141f63a41bc358eb4c20ba782555d63098010b49	true	1
18	semantic_OtaFrameDispatch	semantic	0x00448670	0x004486BC	76	b931d2cd861d3217b718118f72c2501d967ca26fbbbc750d04ec7405965cb55f	false	6
19	semantic_OtaResetExportState	semantic	0x004486BC	0x004486E0	36	a3bffb3437c76896b1e6504983ce6129fd6a36528e337b8ff5eb40ead56bc745	false	1
20	semantic_OtaNotifyStatus4	semantic	0x004486EC	0x0044871A	46	35e8476d44a27061d092f4302c514a63a7bea10afb2aa0a46a35ef7096506623	false	1
21	semantic_OtaNotifyStatus3	semantic	0x0044871A	0x00448748	46	3fc8fec8ed1202330280d46edf8ad15842e9bb3b9f5945fbabfe11ae6c58f210	false	4
22	semantic_OtaNotifyStatus5	semantic	0x0044874C	0x0044877A	46	d3b7f90283e547df3516b1a9e30ad40867b302a9fe04f3d921bcbd4ada1462a8	false	1
23	semantic_OtaCancelExport	semantic	0x00448784	0x004487A4	32	8144deb47973e87d29e8400101eab165032f5a2657b6d9bbb6795adfebf21bf8	false	1
24	semantic_OtaTransferActive	semantic	0x004487AC	0x004487D2	38	feaa21788e40a2d848e9e19ffda3f0523250456c74a08227bcf7edf917a5276d	false	24
25	OTA_SetInterface	exact	0x004487E4	0x00448844	96	2ce14b6cafa8780ab47adc5a65c4cc7024b2bc7673372b20852a1282b7b45f1d	true	1
