source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	semantic_oracle	oracle_lines	oracle_body_sha256	ingress
1	error_check	linked	0x004B47AE	0x004B47CC	30	90dfb756d81ef335ad6ffea89f39b66bda2c8f47822bed5ca163e0c8c5771722	R2.5.1 Apollo3	286-310	df3c1de49ebdaa2cae560cfb561f25deda444c8282569fc5081c27abf1fa280b	direct_bl_scan
2	HciDrvRadioBoot	linked	0x004B48A6	0x004B49CE	296	6521b6ef083e2d005e890c922bcd93b2271e7d256b0543e2471f5e797cda09bd	R3.1.1 Apollo3	330-554		stock configuration differs; direct_bl_scan
3	HciDrvRadioShutdown	linked	0x004B49CE	0x004B4A02	52	8dd1286b093dcbe9b7049d56a221024568bc5c91d61545b60ba66c0516a44a9c	R2.5.1 Apollo3	561-577	9557944c33f62db1668585d45afec0f1f2f3ce668a5d613b5f1bd56cb3edf4af	direct_bl_scan
4	hciDrvWrite	linked	0x004B4A02	0x004B4A7C	122	85aaeebe20a3b63e8a9e364eb388d8bbea7033527be32438ee85890a1a978b69	R2.5.1/R3.1.1 Apollo3	621-684	f97e7e35b86bcb59198e1c1b5021156010ce2e0dbd7802fba957319a98667a40	direct_bl_scan
5	HciDrvHandlerInit	linked	0x004B4A7C	0x004B4A98	28	bf48e7e49fa879179ba8fba858ab918d2966384cae9b3cdf511f9189dd7a0cb1	R2.5.1/R3.1.1 Apollo3	698-708	7e8211809a7c47c15fa3617bec724d7414b5b8b025e0f710402f2842c4abbdfb	direct_bl_scan
6	HciDrvIntService	linked	0x004B4A98	0x004B4AB2	26	8aaad9561f503147d8dab516f5dcbed5b36fdef2ad0dc7965c8e1dc2a136ca28	R2.5.1/R3.1.1 Apollo3	721-813	30dcfc0da4f2d9300c7e8b3be3a88cc8116e0580809e9c348818bece79948740	retained unrooted body; full OTA has no direct caller or stored/vector pointer
7	HciDrvHandler	linked	0x004B4AB2	0x004B4C8A	472	8e6ad4d42ab83ca5dd515233fcce4e557247b10510a6ee851a6a797440516f8f	R3.1.1 Apollo3 blocking path	1032-1259	ffb886128b6d63c47851a2101197eccdbc0742ba57af0d93a4af80289a12e243	stored Thumb pointer 0x004B8798
8	HciDrvErrorHandlerSet	source_only			0		R2.5.1/R3.1.1 Apollo3	1259-1263	7ebca1e14cf4da9892bf9b07eba15a5a8d40c0a98ad5f71ce977a5fb02ecdb8c	no body caller or pointer
9	HciVscUpdateNvdsParam	linked	0x004B4C8A	0x004B4CB2	40	db6ec37887401e6aa5d37c1308fccca367048a6306546127f427a3cf75898ec8	R4.4.1 Cooper semantic oracle	1008-1011	8b0e0f5bff343dfa16fbb810592e94a35444490d3dddbfaae196ac9814f2d0ed	direct_bl_scan; product-local runtime initializer
10	HciVscSetRfPowerLevelEx	linked	0x004B4CB2	0x004B4CD2	32	dbe8d6a2cd8af983a0122bc2f2bb4958c958527809236f1fff7432501cfbbff2	R4.4.1 Cooper semantic oracle	677-689	a30b7dfd9bdf167e7750e334416eaca676bb41ebd8e96e28441f54b751bc8d2c	direct_bl_scan
11	HciVscConstantTransmission	source_only			0		R2.5.1/R3.1.1 Apollo3	1305-1309	e1c708ea608b55bf93b5d5dcf257a51b515b925b3f072c228a6888c61056a3b0	no body caller or pointer
12	HciVscSetCustom_BDAddr	linked	0x004B4CD2	0x004B4D08	54	ba4d54528dae307def83e0d82fcb5898406e352b3d4555e5d989130d01e9a8f4	R2.5.1 through R4.4.1 invariant	1322-1333	f58cc2f20a53f2e038b4d94f5e3ee27fb716ceda89f65f71fe19b2b1e901707e	direct_bl_scan
13	HciVscUpdateBDAddress	linked	0x004B4D08	0x004B4D18	16	6a56105f432d3b93a24bb70d1512bf4d6e7ae24f9bb7300a02e66a83f451a59a	R4.4.1 Cooper semantic oracle	993-996	570699b49e0b4cf334cc8b71f637da93f96deb4782ac4ac5a53eff6b7c70baf3	direct_bl_scan
14	HciVscCarrierWaveMode	source_only			0		R2.5.1/R3.1.1 Apollo3	1351-1355	ec86c2381deb95d3420bf19481bb570ad5248caa617d92726925ba10f8e587aa	no body caller or pointer
15	HciDrvBleSleepSet	source_only			0		R2.5.1/R3.1.1 Apollo3	1368-1372	6be694f1fe8135b0aae5b5e033a1dcc440e57d8cd9498b5de0f29e112fde7bb1	no body caller or pointer
16	HciDrvEmptyWriteQueue	linked	0x004B4D18	0x004B4D2C	20	8905c85e5438948a6267cb5dcc6436e68055d9581da5388d219640923defb595	R2.5.1/R3.1.1 Apollo3	1379-1383	0c67488448cd2ff47ca67b14d7d96ca208d6f37ad917b40479808f4f7bc7bbac	direct_bl_scan
