recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	entry_evidence	qualification
1	ui_onboarding_stock_sub_0050CA24	Ghidra-discovered address label	0x0050CA24	0x0050CA56	50	efd0051f35237cdac29ea79ad1756c52ae0cea3adde27b84fc94aaa292a465ae	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
2	ui_onboarding_stock_sub_0050CA56	Ghidra-discovered address label	0x0050CA56	0x0050CB28	210	3b156430ca59fac895dd590175648f4ccbcc08facecda58cd7cd431ffc942678	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
3	ui_onboarding_stock_sub_0050CB28	Ghidra-discovered address label	0x0050CB28	0x0050CB30	8	7f2bbfd788b87da6611c9766478277b26820e8ba92e08d92da128a59304d9e5d	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
4	ui_onboarding_stock_sub_0050CB30	Ghidra-discovered address label	0x0050CB30	0x0050D35A	2090	ba59436882835fe5a23a7453f4c6318ce642a63f0633914961b67df11c98ed96	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
5	ui_onboarding_stock_sub_0050D35A	Ghidra-discovered address label	0x0050D35A	0x0050D532	472	dd291929a7005e52ed98617697d2ba93f43c0f4f271d0966ef22d7fc0328e699	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
6	ui_onboarding_stock_sub_0050D532	Ghidra-discovered address label	0x0050D532	0x0050D542	16	b58421d793346531cff885dbb702f0d3e9f9f0fb03419fcab9135d740169c1b7	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
7	ui_onboarding_stock_sub_0050D578	Ghidra-discovered address label	0x0050D578	0x0050D868	752	6ee83af14c927cd1860f0865ab58200aa12d85d0824c6a14827a9cc26bbfb246	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
8	ui_onboarding_stock_sub_0050D894	Ghidra-discovered address label	0x0050D894	0x0050DAA2	526	0831394f0a60712cc653327fe18c0f90a627fb234fdc5b0b94a3e65cb75b3877	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
9	ui_onboarding_stock_sub_0050DAB8	Ghidra-discovered address label	0x0050DAB8	0x0050DB1C	100	407016eeb3acbdc4788a02c70c08eef7356860c410ef74ed74b75aeaecb5ba3e	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
10	ui_onboarding_stock_sub_0050DB34	Ghidra-discovered address label	0x0050DB34	0x0050DC4C	280	a0ccbcd1e0c2e8d78a35f6211e66163d6f378fe187a1e507c00c3591854f6d0a	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
11	ui_onboarding_stock_sub_0050DCBC	Ghidra-discovered address label	0x0050DCBC	0x0050E44E	1938	5099271677e056ad65f75f4733639f48faafdb428d4220a6f8fed6b7eaf864fe	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
12	ui_onboarding_stock_sub_0050E468	Ghidra-discovered address label	0x0050E468	0x0050E48A	34	1506096ed1ccd40b6d034d2db388d0d3c61d785ce2a0fdd1c56b9c8e20fcaabd	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
13	ui_onboarding_stock_sub_0050E48A	Ghidra-discovered address label	0x0050E48A	0x0050E516	140	2975a1acc243d85301533ccafe89b36db9429b5bedc21e406889eb30bc0fc21a	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
14	ui_onboarding_stock_sub_0050E534	Ghidra-discovered address label	0x0050E534	0x0050E71A	486	a03e250a660be8981568d066b749e196979f77eb6cb8412229f5f5fada417aa8	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
15	ui_onboarding_stock_sub_0050E728	Ghidra-discovered address label	0x0050E728	0x0050E7DE	182	8f5c1f29fb6cc2beffd6b8c00a3f752ac14bb84aca9b59fbaa5b2d4a30e03b27	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
16	ui_onboarding_stock_sub_0050E7F0	Ghidra-discovered address label	0x0050E7F0	0x0050E85C	108	abfdeeb3609b070f5be8b5b80ac2dcafe44cd3cf401beb0490589009ed2e5a69	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
17	ui_onboarding_stock_sub_0050E870	Ghidra-discovered address label	0x0050E870	0x0050E8DC	108	57d8ccc519b4dddb26ba608a9c3b7ee8f2e5fabba55e3eb828e53675a26b0a15	yes	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic stock-page behavior is bounded by aggregate protocol and provider assertions
