stock_start	stock_end_exclusive	stock_bytes	stock_sha256	path_reference_sites	reachable_instructions
0x57e898	0x57e920	136	72717b305e0cfb2b0a7883c9077dc7bb4c078e3ccff3ba1b525c6d96dbbf999d	0	56
0x57e920	0x57ea0a	234	f67ac2ff98c707fd50c06c8390f6413713b3975c2d5aa8c2449af0942d0581f9	0	97
0x57ea0a	0x57eaa8	158	6f38bad57a72a9b7201504d552a78724530e7f22c31d2fba4b41a5447501fe51	0	61
0x57eaa8	0x57eb84	220	8f3eea08961aa1195973785842b3d9fa0c0e0e8611e4276980472fd07a8a7b82	0	91
0x57eb94	0x57ec7c	232	050584dd12627deee4b575618f139f7d100f4f16aae63a46be23b1f8589d0c01	0	89
0x57ec7c	0x57ed26	170	48c6583ba57209d4524ee755184d8e847293fd35bfff239004aa4c0a0d1c51e3	0	65
0x57ed26	0x57ede2	188	bb4e1f8ee290ff8fb58d8e8c82af196789036dc2aa829afefeaa03fb6464d803	0	72
0x57ede2	0x57ee02	32	49b3a9dd8fe038f3ec607509445982f020229dbb40ea589aa6eb17bae7d30a61	0	12
0x57ee0c	0x57f26a	1118	2e62caeb232a6772c5a50cc5cb1351b045c7684e5ec308578d69705c5e6e829f	5	421
0x57f274	0x57f3be	330	b574bd91b5910989aa935b2dcbb491aca637296a40bfcc377ed420b676f4f9f8	0	129
0x57f3cc	0x57f52a	350	e914a5c82d985041ef1fde70a9b8f6a87f556c0e25c6693daba50762830fa3cc	1	120
0x57f530	0x57f550	32	83ddbe3ccd98fe6dfa7bddcec0d4f953af68b60585232e0181bc7904586f9b74	0	16
