recovery_order	function	owner	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	bleSubsystemInit	product app_ble.c	inferred semantic name	0x004B7478	0x004B748C	20	b529b3076887949ac84df08976923e9d53df48b66764981aa23f67f24c82cace	direct BL at 0x004B7EBC	initializes four product application/profile managers
2	bleDmCback	product app_ble.c	inferred from registered callback ABI	0x004B748C	0x004B74F0	100	c42104d9fbd403f96a82c1e9f9b06567474c3f5f95a45d7abcacc8b6d4734b48	stored Thumb pointer 0x004B8734	copies variable-sized DM event and posts it to product WSF handler
3	bleAttCback	product app_ble.c	inferred from registered callback ABI	0x004B74F0	0x004B7532	66	eea170364368727843c726dac5496fa6df1f525b7cca74734b7409ae112f3b64	stored Thumb pointer 0x004B8738	copies ATT event and value payload and posts it to product WSF handler
4	bleCccCback	product app_ble.c	inferred from registered callback ABI	0x004B7532	0x004B758A	88	dec2c7a12b6b88b99305d465897833e214e6e9d0cf5e741c8ba0500725645ddc	stored Thumb pointer 0x004B8740	updates product connection state then posts ten-byte CCC event
5	bleDelayedStartCback	product app_ble.c	inferred from timer callback ABI	0x004B758A	0x004B75CE	68	46b02a8b71ff48612cfb06ac374699765f76bd268c35c342e3f2276a55cfed0a	stored Thumb pointers 0x004B7F60 and 0x004B87A0	posts product event 0xBC and rearms timer at 10 or 20 seconds
6	bleProcMsg	product app_ble.c	inferred semantic name	0x004B75CE	0x004B7D32	1892	290c49050b08712613a10833f5324507a57545cf3e0e353210d0adb0a41d1580	direct BL at 0x004B7E58	product DM/ATT/profile message state machine
7	_bleCommHandler	product app_ble.c	exact retained symbol string	0x004B7D32	0x004B7E74	322	e96438d98f7a3156379eff4a0754c7bdb412e5d1daf23b0e0e99355c6dc260df	stored Thumb pointer 0x004B8794	retained app_ble.c path; retained function name; DM/ATT/profile dispatch; lines 651 and 666 diagnostics
8	bleCommHandlerInit	product app_ble.c	inferred semantic name	0x004B7E74	0x004B7EC2	78	a88d973c00cd747ae07c0b1a69183efa88d11236ad10033bd971ed30007f722b	direct BL at 0x004B80AA	stores handler ID and runtime config pointers; initializes product application frameworks
9	bleStackRegister	product app_ble.c	inferred semantic name	0x004B7EC2	0x004B7F5E	156	8144beef1f6329ae2b67117d2ce3ecc81e09a9764a7770fa7b5f8a19e3896c0d	direct BL at 0x004B810A	registers DM/connection/ATT/CCC/application callbacks and product service groups
10	_bleExactleStackInit	product app_ble.c	exact retained symbol string	0x004B7F64	0x004B80BE	346	74c187e6005693748a5b71bea5ec6f2e53a5e10d11a6eb01c3b880a8f384e5de	direct BL at 0x004B8106	retained app_ble.c path; retained function name; line 781 diagnostic; 49 direct provider calls
11	GPIO0_607F_IRQHandler	Apollo510 vector/HAL	semantic name from vector index and CMSIS IRQ enum	0x004B80BE	0x004B80EA	44	853386f3b04b6575390704f2a8a5defabe043bcf472e4dc6487b83ca973ae685	vector cell 0x0043812C = 0x004B80BF	vector index 75 / external IRQ 59; GPIO status-get clear and service calls
12	APP_BleAddressGet	product app_ble.c	inferred semantic name	0x004B80EA	0x004B80F0	6	e0d2205ad9c05970be9337ba53e6c455f19c88ae85c20cbfae1d5a4188d83fbd	BL at 0x0057E766; 0x00581152; 0x005A576E	returns 0x200737BF; six-byte BLE-address formatter consumes result
13	appBleStart	product app_ble.c	inferred semantic name	0x004B80F0	0x004B8122	50	ece886f3aa5074e050e6949a234dd80215ebf46126d5ef5d78690e6fc19d8faa	BL at 0x004D0A6A	radio shutdown/delay/boot; stack and product registration; DmDevReset; delayed callback
