source_order	function	r20_r44_lines	r20_r44_body_sha256	stock_status	stock_address
1	eattsGetFreeSlot	81-106	240e12f3987b7bce5b7f2a39e79426f1e77e237f09397aeab339d03ba35878bf	dead_stripped	-
2	eattsL2cCocDataInd	117-223	406356a6aefd06d09b074d70fb223c7474f80ba4b3080bba45460065056561af	dead_stripped	-
3	eattsL2cCocDataCnf	234-251	b1e6d4991b8c4bf67a48e8fdaaa421464260578ea4fc4d421e8881d6f63c0f54	dead_stripped	-
4	eattsConnCback	263-269	a68a3232c5af5588573344000ae1c4455e8ea10e2c639df8a0852ea5fe8156b2	dead_stripped	-
5	eattMultiNtfLen	281-292	b7be7303dfa082d9b46e01a23c3d609d43a68a8358d68a1601cefff530fc8948	dead_stripped	-
6	EattsMultiValueNtf	306-376	0c73c988515652c99d76d386ca84c6e09e6caf9742fd22221f5b09257dca3aa4	dead_stripped	-
7	EattsHandleValueInd	391-396	1b21989ed97a82b5c3a773a8a8c2fad0e51179ac42e75a001d19df6a944844fc	dead_stripped	-
8	EattsHandleValueNtf	411-416	9a350ab150fb1e12ff1b863cb81b98379147bddb4592798aeeb540be8642c82d	dead_stripped	-
9	EattsHandleValueIndZeroCpy	434-439	3a856844e4c674a95e61f16906abea59587b246736c6ea5da9e28c5a5693179b	dead_stripped	-
10	EattsHandleValueNtfZeroCpy	457-462	1eac3c209fd153f075f36a37fdadab991b839d1f602229d2869065939637f91e	dead_stripped	-
11	EattsContinueWriteReq	480-513	56a50b6298779f438ce89bad2e86b09c7c1970ee30fd3b94f60f1b06023e202b	dead_stripped	-
12	EattsInit	522-526	87aed6986aea3b2e9e00787cc724b660a60e6fa19ae47e85a93521d96c3c2c84	dead_stripped	-
