stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_oracle_name	r20_start_line	r20_end_line	r20_span_bytes	r20_span_sha256	direct_bl_callers	classification
attsCsfSetHashUpdateStatus	0x0052C6C0	0x0052C914	596	3e82cdcf8bf6da52ceffe46b07aa79953cdfa886b77e41ba9d438319f4601298	attsCsfSetHashUpdateStatus	51	97	1611	85c3d10d83f46cce7e60438546d066c15d0e10ae2f89358803d031046c3ad43e	0x004B76FE,0x00534DBE,0x005353DE	r20 public behavior plus vendor validation/diagnostics
attsCsfGetHashUpdateStatus	0x0052C914	0x0052C91C	8	e5832fa04a4f4191d1bcdeac73ab1e4f2dde3554c5cbef9774abbbcc1a279e53	attsCsfGetHashUpdateStatus	106	109	80	461fd0ef9b982206ac49d332cfa8be0380502d01a607757933c23ffee0596101	0x004B7C20,0x0056DED8	exact source-order leaf semantics
attsCsfIsClientChangeAware	0x0052C928	0x0052CA9C	372	b00ee5a3ddb20016ee5b8aed9bd359b34b9e159a6ffafc9787a78ffc81b00670	attsCsfIsClientChangeAware	121	131	317	089f536085404631a01446ac9ffcfdb2112536bd916e7c529978c1ebcbe3f991	0x00533CDA	r20 public behavior plus connId-zero validation/diagnostics
attsCsfActClientState	0x0052CAA8	0x0052D06E	1478	849c162055eda43262db91479bdb8fa0fc871067b878c845a936875d34509f59	attsCsfActClientState	144	242	3268	14544ba40db4067a04a02f55d7596fca9c0bd4eb057720da6d2e8ac1438166d1	0x00534A1E	r20 public behavior plus vendor diagnostics
AttsCsfSetClientsChangeAwarenessState	0x0052D090	0x0052D35A	714	00d960d49cac61b86ac49c890005a97aca98f4fa0bcc8fcbe1fb606794a2e287	AttsCsfSetClientChangeAwareState	258	280	618	a72d004301d8eece7ffd5827171ce69a52dbe6e3012c78cbd916aa7ebfb7a5f8	0x00533E16,0x0053471A	r20 semantics with Ambiq-era exported spelling and vendor diagnostics
AttsCsfConnOpen	0x0052D370	0x0052D4E0	368	7e588c21c9d085103a9dd83eb3cd4d574d197a5d7e075bad359f5b4b1d05cb31	AttsCsfConnOpen	294	306	409	aaaed5067291a249785fdb62b2279820d0a3c3afcc0870216c84ecd6de1790b3	0x004B3826,0x004B39B8,0x005345D6,0x00534614	r20 public behavior plus connId-zero validation/diagnostics
AttsCsfRegister	0x0052D4E0	0x0052D4E8	8	35fd5f87a5d1760d18de0d80da1d8305e8d922ef8d71e379085c77a016abe77b	AttsCsfRegister	317	320	94	0d4b7215a4222e502b8ea433421ddf5976b7e4c3e2cc11def26b41e371fce0d3	0x0053486A	exact source-order leaf semantics
AttsCsfInit			0		AttsCsfInit	329	333	94	f9372dc978ec24f3049e893d8d9595f4095ee73dd0068cd80ada90b425c1cff2		dead-stripped; BSS zero initialization supplies callback/hash defaults
AttsCsfWriteFeatures	0x0052D508	0x0052D7B6	686	94830e4b9c49ab72bc62f524a2ba7807d3dc7e96fea6303bd7479c55e0b03ca1	AttsCsfWriteFeatures	348	382	899	c9e85740a3fc8fa32f861c47ca575aebba76da2debdbbbc826f09496cafb6481	0x004B5B18	r20 discriminator: mask 0x07, reject old-nonzero to new-zero, OR new bits; vendor validation/diagnostics
AttsCsfGetFeatures	0x0052D7C4	0x0052D8EE	298	d8cfcde7d9789d6fec8d1b30906eedb59dc5a65ae8fd531ff0d9ae91b3a4d7ba	AttsCsfGetFeatures	395	401	200	74a6797b889f9b9e6003510071e939dacf5d432c5735de0cbebbdd8286a385b6	0x004B5AEC,0x00534692,0x0056C70C	r20 public behavior plus connId-zero validation/diagnostics
AttsCsfGetChangeAwareState	0x0052D8EE	0x0052DA0C	286	c4c1172ec2756d26686491c8e0f2a2683c347d212ea0bec4550ab0a9394ef6ea	AttsCsfGetClientChangeAwareState	412	415	126	409c46987c04d2dc7f18b8640894299b79541124eb88e5e96a21f240c9ccd4e9	0x00533E08,0x0053469A	r20 semantics with Ambiq-era exported spelling and connId-zero validation/diagnostics
