source_order	function	identification	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	provider_role	behavior
1	even_ai_style_apply	semantic LVGL setter wrapper	0x004E54C8	0x004E54FA	50	e1c7adb091de0f31c80f027f262c1ff5faae7d42f1bdd5ce294436cb3b02ec29	no	EvenAI UI policy	applies four generated LVGL style properties
2	even_ai_tick_get	semantic tick wrapper	0x004E54FA	0x004E5502	8	fb83dd50e1ff24899119f4d5f9115472d7c11fe119809d9f55106c11445f9d01	no	EvenAI timing	returns osKernelGetTickCount
3	even_ai_layout_refresh	semantic wrapper	0x004E5502	0x004E550A	8	d83702445223db00c08ed9b0b8cdeb0290f41e2acb61baa310d553c4f05793c3	no	EvenAI UI policy	forwards to the recovered dialog relayout routine
4	even_ai_stream_interval_get	semantic accessor	0x004E550A	0x004E551E	20	6a1dbb23ad2e0e2598d86b2f3b0fca9485888770b7ad296ed5def777a66a82c7	no	EvenAI stream policy	returns configured interval or the default value 25
5	even_ai_init_text_stream_service	exact retained diagnostic symbol	0x004E551E	0x004E557C	94	0e39b6fdfa2dd87e1036edfc03667ba94b9dfd6829a5bd8a297bf81813af01bb	no	EvenAI stream adapter	lazily creates the already closed text-stream service
6	even_ai_stop_current_streaming	exact retained diagnostic symbol	0x004E557C	0x004E55F8	124	8acd519440d95102fe3a39fa4ee163332668cb92e937fca4781e6e9182f9bcf1	no	EvenAI stream adapter	stops or resets streaming state for a phase transition
7	even_ai_deinit_text_stream_service	exact retained diagnostic symbol	0x004E55F8	0x004E5672	122	e68c9fa7f26f8ceda0f11c0d1ee3cc38fb5695d1430939f93e7a83fc96e334e5	no	EvenAI stream adapter	destroys the service and clears local stream state
8	even_ai_text_stream_service_get	semantic accessor	0x004E5672	0x004E5678	6	577bfc4532a3d55837998aec59e98a6b984c285e70d157213350215ca750a9a6	no	EvenAI stream adapter	returns the text-stream service pointer
9	even_ai_stream_init_from_service	exact retained diagnostic symbol and path anchor	0x004E5678	0x004E571A	162	6a39d642943f06a3afc10dd9fb9df6a26e794711bab90a871b84168639dd0696	yes	EvenAI stream adapter	initializes a 32-byte display-stream state from current and pending service lengths
10	even_ai_stream_on_auto_reflash	exact retained diagnostic symbol	0x004E571A	0x004E5A0E	756	ac057a06cc882bf73724cf2f837216fbc8c9330c45ca8d1983773ac3606d6f87	no	EvenAI stream adapter	advances streaming text, timeouts, animation, and completion notifications
11	even_ai_stream_phase_update	semantic behavior label	0x004E5A0E	0x004E5B48	314	08f3584876c2c7b16db34fec1c0734eb16ec59bb56694f69eb8157f016eb28b1	no	EvenAI stream adapter	updates byte position, scroll placement, completion state, and timestamps
12	even_ai_stream_event_forward	semantic protocol label	0x004E5B48	0x004E5C1C	212	6b62b49d9dbe356dfcab3b8df294ee77fd6cd8a4eb100cec907d5d5443438871	no	EvenAI protocol adapter	forwards four recognized UI events as fixed six-byte service messages
13	EvenAI_InputEventWarp	exact retained diagnostic symbol and path anchor	0x004E5C1C	0x004E5CD4	184	30d96df2020339d73320268a50324357326c6795630e77fbd92472acea888a33	yes	EvenAI input adapter	validates and dispatches recognized input event records
14	even_ai_input_event_adapter	semantic callback wrapper	0x004E5CD4	0x004E5D16	66	cf1674fdf1c4f28a73343ed5d39c2a44b14ec72abfbff7361e1c8d29cd7928a9	no	EvenAI input adapter	copies and normalizes an input event before dispatch
15	even_ai_input_event_callback	stored callback entry	0x004E5D16	0x004E5D3E	40	6d625251e8376784abeb12635e2f472e6985877d39cf94edc6cde0c85585d7d7	no	EvenAI input adapter	stored callback that derives an event and invokes the adapter
16	even_ai_scroll_to	semantic LVGL wrapper	0x004E5D3E	0x004E5D54	22	4459dbf1c27448941f3f93d442c088c0364ad2d6801985fde83d6f028b77ae2e	no	EvenAI UI policy	scrolls with animation selected from the caller flag
17	even_ai_scroll_needed	semantic predicate	0x004E5D54	0x004E5D94	64	e0bc74d3e2715355f59914b4b36e326b03619cfa78c4871fb6c0b7d80f84093d	no	EvenAI UI policy	decides whether active content still requires scrolling
18	even_ai_dialog_height_exceeds_window	semantic layout predicate	0x004E5D94	0x004E5E12	126	d596ee70f923b84187c5321e55ac7578af6bbd5cb0d1c2d8d574bfd50e1b73ac	no	EvenAI UI policy	walks dialog labels and tests the cumulative height against 200 pixels
19	even_ai_scroll_by_delta	semantic layout action	0x004E5E12	0x004E5E92	128	0a61cf36a4d561307273f50ef2d0d94406717a318419443f969748772baeef42	no	EvenAI UI policy	stops active animation and applies a bounded signed scroll delta
20	even_ai_layout_cache_changed	semantic cache predicate	0x004E5E92	0x004E5F20	142	bde69b90527b9de79e73b6ac56079bdbfecbba6ee5260f35c4ec1295bb569f89	no	EvenAI UI policy	compares cached label existence and heights with the active tail node
21	even_ai_layout_cache_update	semantic cache action	0x004E5F20	0x004E5F84	100	e6cf6e3934d67a93d2860a136e8d36e9fb5d946dcf8d32cdd59fd350766bac03	no	EvenAI UI policy	updates cached tail-label flags and heights
22	even_ai_layout_cache_invalidate	semantic accessor	0x004E5F84	0x004E5F8E	10	34e4c12278afb8cfd7c33171c0293e301b44ff92c47068b0bc034577b5bdaea8	no	EvenAI UI policy	clears the layout-cache valid flag
