recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	entry_evidence	qualification
1	ui_onboarding_main_sub_004A8560	Ghidra-discovered address label	0x004A8560	0x004A856C	12	9ffe1303638ca0fb8ab3c3133bf50f353a01098a71d69cd84f3479db9e90105e	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
2	ui_onboarding_main_sub_004A856C	Ghidra-discovered address label	0x004A856C	0x004A859E	50	f43879eae7f3f47a397e0ac3c3168ac0744cb5c4bdfcb20082bacaa40b67a1d4	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
3	ui_onboarding_main_sub_004A859E	Ghidra-discovered address label	0x004A859E	0x004A8610	114	17fe67a3cc30c602b3022f8cde7f4005e61669405f020d3f2681622bc2ff1a6d	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
4	ui_onboarding_main_sub_004A8610	Ghidra-discovered address label	0x004A8610	0x004A865E	78	0066bbcbc6ce1ce6d92768c5e5f8d85c6a34c2d259e75200428ce56f580be0da	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
5	ui_onboarding_main_sub_004A865E	source-order restored address label	0x004A865E	0x004A8668	10	f06c7aef1ceea6e9e56552aa5795dd0607869e5133ea78dec641c42eb6212620	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
6	ui_onboarding_main_sub_004A8668	source-order restored address label	0x004A8668	0x004A8670	8	f83fb31ab9245efb8b0a6e3231888c65950253fd1ad810116accde5019c8c53a	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
7	ui_onboarding_main_sub_004A8670	Ghidra-discovered address label	0x004A8670	0x004A86C6	86	e910c7c46a45e20e4d4e4e9a37be92a875af971492258c0dce5ced5af7fa4c6d	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
8	ui_onboarding_main_sub_004A86C6	source-order restored address label	0x004A86C6	0x004A86D2	12	60705f8941d23420f37f4819eb5f4f1fb6dcc1e6ea33c1e66baf28678ab0c6f0	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
9	ui_onboarding_main_sub_004A86D2	Ghidra-discovered address label	0x004A86D2	0x004A8720	78	fbfcddff3a07265315b86a9d49c4e0f2ea5c91c9831455d10b8ff20389c1bec9	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
10	ui_onboarding_main_sub_004A8720	source-order restored address label	0x004A8720	0x004A872C	12	b3af77e454ae059c5d7210dfe92c0baff6b7413e0046e99083883dcfe7e92d4d	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
11	ui_onboarding_main_sub_004A872C	source-order restored address label	0x004A872C	0x004A874C	32	a07f1da78bff645af521f43d902cc15670765800f87ea203f4feebb2551d3e61	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
12	ui_onboarding_main_sub_004A874C	source-order restored address label	0x004A874C	0x004A87D0	132	f834e442a428fb9f3a29fa1c49f540d9dcd6d6486d0b5e01ee97b2eb94a025ac	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
13	ui_onboarding_main_sub_004A87D0	source-order restored address label	0x004A87D0	0x004A87D8	8	3b1d5baaf63aae97f3844769a20b27938efe223839cb8bb5d96709db89829a69	no	raw source-order and stored/direct ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
14	ui_onboarding_main_sub_004A87D8	Ghidra-discovered address label	0x004A87D8	0x004A8826	78	f408fe55e89e87a8f62ba59c4e061dfff8dd79566a3c9b80bf224026ad18967d	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
15	ui_onboarding_main_sub_004A8826	Ghidra-discovered address label	0x004A8826	0x004A88AA	132	6747a77db8d7ef11ab4284379e5bf50d24459b0793145f5695f864ffaedd7f39	no	authenticated Ghidra body and whole-image ingress closure	complete reachable body; semantic UI behavior is bounded by aggregate protocol and provider assertions
