# SPDX-License-Identifier: MIT
entry	symbol	kind	status	license	source	direct_callees	call_closure	resident_table_dependency	shipped_immediate_literal	product_semantics_asserted	instruction_bytes	instruction_sha256	canonical_body_sha256	evidence
0x16D4	open_cfw_touch_state_16d4_copy8	conditional_copy8	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c	0x772C	same_batch_or_established_mit_or_exact_runtime_behavior	false		false	18	ed87531e7414a254e0b1f489b3906154e2c4217a2142de821812545f95ab257a	7082073da8f5e1241d05b0d66d94470cf2b85ee7ac41773385b7e42f830495dd	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x16E6	open_cfw_touch_state_16e6_blend_pair	conditional_pair_blend	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c	0x1CDE	same_batch_or_established_mit_or_exact_runtime_behavior	false		false	68	8b50573446b065196b3fde09b622f91d1694af4cda40b71054fa058b1009770d	5998466885abe37f1de4114cc27a940fabffb909559fbf419bb41ebfc842e73f	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x172A	open_cfw_touch_state_172a_sync_records	record_sync	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c	0x16D4,0x16E6	same_batch_or_established_mit_or_exact_runtime_behavior	false		false	148	bd6e8773c2a58500ba327f2e8bc86c3beef1ed58beb754437299e0418295c39d	99d0f50b145f60c6658b71e190cf9dcdb86e9f799d04bffab0e84031bfb0bb9a	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x1EBC	open_cfw_touch_state_1ebc_pack	argument_graph_pack	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c		same_batch_or_established_mit_or_exact_runtime_behavior	false	0x1FB8=0x0FFF0000	false	250	dedd254ba8ce7ac1cf14c17a51f978d7121cea1c6cb43226c6a5c7932dd798f6	13ce51aa14d28d2a43f0bb8b82d4b6f91f8ccba329d1cb6d4564a1d4fc50ae02	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x2568	open_cfw_touch_state_2568_reset_object	object_state_reset	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c	0x76D4	same_batch_or_established_mit_or_exact_runtime_behavior	false		false	142	5db067a40536214e4993ae02c221a81fcbc184ff0fde6747109386bb18739cf1	1b74071e6f08612f608f68cdfb63dede9e843f84d45939950ae8ee2f8c0e6e2c	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x270A	open_cfw_touch_state_270a_update_lanes	lane_counter_update	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c		same_batch_or_established_mit_or_exact_runtime_behavior	false		false	138	6d0f279ce8067065d6f08184ea9b871f89f29eb0ee0095896f454181fb426208	38b7885b8d0b4178627bfa4f207b0ebdcb01b0c57480c79b2fccd47753be09c9	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x28C0	open_cfw_touch_state_28c0_cap_object	object_value_cap	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c		same_batch_or_established_mit_or_exact_runtime_behavior	false		false	66	579982044fd40866091ff3fb450aa68b35570ecf15f471a2ff588c03de9cb0a7	306400ef9d6971797cba4d9ebd94ed5bf6a5eb04f079cc3730f892ab6a310456	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x2902	open_cfw_touch_state_2902_cap_enabled_object	enabled_object_value_cap	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c	0x28C0	same_batch_or_established_mit_or_exact_runtime_behavior	false		false	28	3bc5ecfd4603fc037688ec466e5bbdff4ed365058d58ea1e6aeec6536c2552ab	cd23e5e8ee766e4aa2e24001e2f894ca3f25fd30d0451123ae2f98cb97ad2dd6	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x291E	open_cfw_touch_state_291e_cap_record	single_record_value_cap	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c		same_batch_or_established_mit_or_exact_runtime_behavior	false		false	56	126f969a8e8081fcd3c50ce1a79199a64f1691488c9fbd65172ae1133264bb9c	772b83cd5411d54e8b7fa2a733de52e74d8c42764a981e03e59ed99bc6ef2d3f	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x2956	open_cfw_touch_state_2956_cap_enabled_record	enabled_record_value_cap	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c	0x291E	same_batch_or_established_mit_or_exact_runtime_behavior	false		false	28	bf3b2e7e2107a00105fe08681502e160870253262eb82e49eafb99f1b22ad350	c4b717d36351e90c96f6bb22bc02bf655a99da23d90738c965fde4d632831ee0	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
0x298E	open_cfw_touch_state_298e_status80	nested_status_bit80	clean_room_argument_relative_application_state_source	MIT	runtime_touch_application_state_pipeline.c		same_batch_or_established_mit_or_exact_runtime_behavior	false		false	10	278d60a0d7df2f88cd8ef90bc8fae8dc33c5c281caffccd59b08a67e57529e1a	d3dc41ca2a590a92d76f76f84487e6cab818d0d4dac056e37a544bf9a49e3bec	complete target control/data flow over argument-relative buffers; no MMIO, resident table or vendor body admitted
