# G2 IAR DLIB formatted-I/O bounded audit; regenerated by tools/analyze_g2_iar_dlib_format_io.py
unit	role	stock_start	stock_end_exclusive	stock_bytes	code_bytes	data_bytes	stock_sha256	instructions	blx_sites	ingress_bl	ingress_bw	ingress_sha256	string_refs	provider_decision
bounded_printf_wrapper_a	vsnprintf-family bounded output wrapper (four-word state)	0x0044B728	0x0044B766	62	62	0	0b3f0ee4463f8a2560eb9a1ac68060b39fb797c0c44f5a85daa923fe5bcf14fd	29	0	156	0	ab1139cffffffff657054f83b4db6756acbda99a68845119055dc5168a6c1676	-	clean-room-recreate
bounded_printf_wrapper_b	vsnprintf-family bounded output wrapper (three-word state)	0x0044B76C	0x0044B7A2	54	54	0	6370164665446b0f6232e3883ca06fe954ee4aa335dc433328232bbf5e90ee12	26	0	3	0	a24a266bcd2d7e1127033e2a8f1ee88eeecd342ddadf7a93757f38af977ce9ac	-	clean-room-recreate
string_scanf_wrapper	vsscanf-family string-input wrapper	0x00475FC0	0x00475FE2	34	34	0	6b77d50c936d0f4f33f769721b862cdbb3522883c9904dcc5673b0a2f7b1f81a	15	0	7	0	2ef5fe1939e344d3cf8be8ce4e0935c4952a333b3b39217b533cb124f0e93b73	-	recreated-production
printf_core	DLIB printf formatter core (callback + state engine)	0x00481836	0x004824EE	3256	3256	0	0ace800002b34fa464fd3a816691e77df43a7919b2747ef608d0b89213786fb0	1270	4	4	0	5c4d0623883e5b1aa07f186af492a362080dc229d0556e25b3bd1e70c982bf31	printf_bad_n_argument=8|printf_s_bad_s_argument=1|printf_s_n_disallowed=1	licensed-retention
unbounded_printf_wrapper	vsprintf-family unbounded output wrapper	0x004B4728	0x004B4762	58	58	0	bb81bae4ec7909074b049262b5da647de77fda198db92fca072b1fb3383cd8a6	27	0	75	0	d414f74f35b83ddc4efac33c70b720b3fa151da7ce0518ba6a9ca6be055cf066	-	clean-room-recreate
scanf_core	DLIB scanf scanner core (reader callback + state engine)	0x004D1638	0x004D2112	2778	2756	22	54dcd834ea6fcf74db400e38df7635f5b0686f4253db1a9fe6b05af7c2a3a120	1154	16	1	0	0fa20932fec5a04c1a5ee9b32ca5c745911600bb59558bf5ee8733b119b2816e	scanf_s_bad_float_argument=3|scanf_s_bad_integer_argument=1|scanf_s_bad_n_argument=4	licensed-retention
scanset_matcher	%[...] scanset membership matcher with a-b range support	0x004D2112	0x004D2158	70	70	0	154d24d2cf8f15fed12b16d091a734a70d216ceda6fabb0978cadb522139a2c2	32	0	2	0	4bc62cc68aaeb4d058e18d464045e2cf7a537ad04392e8aacf961bbd1f69320b	-	clean-room-recreate
scanf_string_helper	Annex-K aware %s/%c/%[ string-conversion helper	0x004D2158	0x004D22FC	420	420	0	0e089f2af1c9e9d36403cea97bef7aba808a2cddd67a8da9678cf33d632051b1	176	1	1	0	9d1bd2883ec668326de0d779c50c76721ee86f46488302d99c04eb0d9871024a	scanf_s_bad_argument=1|scanf_s_bad_size_argument=1	clean-room-recreate
constraint_dispatcher	Annex-K constraint-handler dispatcher	0x004D40A0	0x004D40BC	28	28	0	9e0e60f5fcfdbba0e2b7efde09ad1bee23ce431af97f99806a21f2634baca18a	13	1	3	0	941d53f77fec97d5e68ba672ec0e0ba460f4fecc75499f2f50c84cb0f7377b45	constraint_bad_message=1	clean-room-recreate
strtod_engine	strtod-family binary64 parse engine	0x00542C20	0x00542D0C	236	236	0	4b72a352e4440bba5c1c96f26e7cfe43b0504577116ae7b7d9b242f10ac865d9	87	0	1	0	277ec4201bd1d0ebfee4ef0108a4b904898a906e3a7578a503c8a13b06720207	-	licensed-retention
hexfloat_scanner	hexadecimal mantissa/exponent scanner (%a, strtod hex path)	0x00585410	0x005855E2	466	466	0	4a25c7b2418cbb186d7f30a2a2971fd2bfd49b1fea0bd485e089561dccc8aa5a	186	0	2	0	0a26e5b23d1dd2ba621a9af63ddc9873b7fa45581a5fe724fcafd14bc183dcfa	hex_digit_table=3	clean-room-recreate
default_output_printf_wrapper	vprintf-family default-output wrapper	0x00595A34	0x00595A56	34	34	0	73780de586940ab94f4af62a556a91c9ae0c74550afbd756f5c1bba53dc2fad0	15	0	2	0	669078334e308968d041c2c40fc6411cff951a1696dd32e7b515418a6bb008a8	-	clean-room-recreate
