stock_start	stock_end_exclusive	path_anchored	ghidra_discovered
0x0046018E	0x004601EA	yes	yes
0x004601EA	0x00460242	yes	yes
0x00460242	0x004602B6	no	no
0x004602B6	0x004602CA	no	yes
0x004602CA	0x00460344	no	yes
0x00460344	0x0046036A	no	yes
0x0046036A	0x00460374	no	yes
0x00460374	0x00460424	yes	yes
0x00460424	0x00460450	no	yes
0x00460450	0x004604C2	no	yes
0x004604C2	0x00460580	yes	yes
0x00460580	0x0046061A	yes	yes
0x00460638	0x00460D5C	yes	yes
0x00460D6C	0x00460E00	yes	yes
0x00460E24	0x00460FAC	yes	yes
0x00460FB4	0x00460FBE	no	no
0x00460FBE	0x00460FC6	no	no
0x00460FC6	0x00461026	no	yes
0x00461044	0x004611B0	no	no
0x004611D4	0x004611D6	no	no
0x004611D6	0x004612F0	yes	yes
0x004612F8	0x00461348	no	yes
0x00461374	0x0046137C	no	no
0x0046137C	0x0046155A	yes	yes
0x00461620	0x00462548	yes	yes
0x00462594	0x00462878	yes	yes
0x004628C4	0x00462A28	yes	yes
0x00462A7C	0x00462DA6	yes	yes
0x00462DB4	0x00462DB6	no	yes
0x00462DB6	0x00462E94	no	yes
0x00462EA8	0x00462F20	no	no
0x00462F38	0x0046300E	no	yes
0x0046302C	0x004631AA	no	no
0x0046327E	0x00463B8E	no	no
