source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_lines	r20_body_sha256
1	attcPendWriteCmd	linked	0x00530D74	0x00530DBE	74	59572b30cf5c6653b76fcc50cc6af798c075462a9618814b7ef755343b0695a3	118-145	0b11db40a0e52eb4e19e9a8c3e7a9d51c91258cb29e0a2d058fa3239fcefb23a
2	attcSetPendWriteCmd	linked	0x00530DBE	0x00530DE6	40	f0602a9499e4027f0cfe33a77438f7aff9759bcb97a17e2d4f58f2e6000bb621	156-170	da9f1e1ed8f1f60c722a5366916769811a232bf47bf2dc489b9c992e7185ac53
3	attcWriteCmdCallback	linked	0x00530DE6	0x00530E30	74	c5cb6b41b96f482e2af1bb838f6aed7034a4a998b1de97d5a252fa661bedbaf5	183-197	27ca219b274d203ef0a9aa0514157523ee1c292992af91c4338733e5cc1ee085
4	attcSendSimpleReq	linked	0x00530E30	0x00530E64	52	7129d69bb916056d1ea3f55d3768ba6b63521518b25b3d0c6e99128a826f51ae	208-224	ea9e97d80e5cb35b5405c292eb268a7ab7fa6227df7c8934f60a2dac4aba91fd
5	attcSendContinuingReq	linked	0x00530E64	0x00530F08	164	2c38e38f1fd83f324ed577fe3774c1e1768509a0e5139e5851caca658aab234b	235-291	9c3fbf109e490c5bc3360d04ba0a948c2c5d6fa473b3c0815c8b5fbe6641032a
6	attcSendMtuReq	linked	0x00530F08	0x00531054	332	0fba23e924795526db3a8a4e9b6b50e923f17af9e44f8376acf96768c2ca05a2	302-323	c40b6c4905e70e47a9febd1dd8882eb90e6cbb972af4179fa36c0cd6bdc23e97
7	attcSendWriteCmd	linked	0x00531054	0x00531088	52	a05e31744e8bcf2ab56763b1072293f804ca65c4125bad9f8fd4165d44e35a1e	334-353	e617605320160e32afe090766bbdd526b76aaf70c6bfb60c5b708e98728653f3
8	attcSendPrepWriteReq	linked	0x00531088	0x00531144	188	1d313aae55a199a3bfe230044b2c4620f325954bb1158bd013a5820a844ed391	364-431	9c2cf37963797f8e4208fadfd0574469735a8bd0039b6d5069daceff0cc8b1e5
9	attcSendReq	linked	0x00531144	0x00531154	16	986e6617066d67e93db3c32bc033d7581c887fc6054c59b5d2213b443b4db4ad	442-445	302df44850045002e26a362a25d64f4b069f89624002ed2e4b0ff6ba693add46
10	attcSetupReq	linked	0x00531160	0x0053119C	60	e3017a0b9dfe0e40462b34e1525e7e3ca55ab3040c558f3c22673f715080f3b3	457-474	a9f64c699304ed11488c0085d9a2474fbd1fd502666dc011b9ed176597eb756b
11	attcDataCback	linked	0x0053119C	0x00531326	394	33d24bfc51d9b269689cff12f8637f0112639eac486e409a8bea0acd44a25d84	487-520	c525432b36714dbd963ae1eff717ae9ad04bc4a3b2c01787bb4d5c1d39bdd092
12	attcCtrlCback	linked	0x00531330	0x0053135A	42	18679cb4808960f334a6f5fe2dcc3dc8cba1dcda4e25b49408853d206c30709f	531-546	f50b2e37e7f97e95243345ea1e43caa2760cc71584fb1040b8847e05a989e6cf
13	attcConnCback	linked	0x0053135A	0x005315A8	590	0be5a8b6b9870b7bb45a368df69f9ae72e193ac0efeb7392e3e65ba24e74c239	558-625	a075ff2d070d7a70d156e4ce45482a01d03d298419d6ebfcaabbb5b47d63ca5b
14	attcMsgCback	linked	0x005315B4	0x00531816	610	cc7406baf51476759eb0a1110ff6cd93297d5499a4b9032123fabad318427fb1	636-724	634590b9b9b29e9ffe06de7fdd84454b85e7c4dbcfcc1a8534ae980457b34a73
15	attcCcbByConnId	linked	0x00531820	0x00531A7C	604	5ef3c69df784208784ff8f7bf117a03a82b2656b434194d959ba547b4040cd8f	735-746	5f07af638d61c5de7538d0bcbc4b64575bbae5e83b95a8ce3b28eacd9bba1711
16	attcCcbByHandle	linked	0x00531A7C	0x00531AAA	46	55134b5c333d696ab4bc5c708f71b2c26bfde4f7cc1f934a926d68a516e3f75a	757-767	7e127431ec90ccb1880444a498193f54154da2d60fb981d0b3f9969fb4f083cb
17	attcFreePkt	linked	0x00531AC0	0x00531AD6	22	739d07bf0a8969eb5c7edab38f91d349eb9a4666961d867f9e979bc21a0ba34d	778-785	0a12162b20ccf1f9e448c2ee065be9c365f4d94ec953c538925dd8c16936dcd3
18	attcExecCallback	linked	0x00531AD6	0x00531AF2	28	06c153e3beb2d442d957478c3f03fb1dfc9e5df2edf01b757c2b286c5654b5d3	799-805	94714c37675f95baeadb89fee5f0b9cd29cd98780847736a389b35d50fa3aaa6
19	attcReqClear	linked	0x00531AF2	0x00531B16	36	835968c1b0ae04e6456240c9cd246ec4be6d647e04081f6711989e6e52bd4973	818-823	fd5b62c72a4e12b9837b09616495aefef88aae86e01395b216fa516401eeff7d
20	AttcSetAutoConfirm	source_only			0		834-837	61c3fead28ee4929342782bed510a244b10ccedea3280f2b70508ed25d245436
21	AttcInit	linked	0x00531B1C	0x00531B90	116	c1be6b3ada20c1c70cb53db7b6ae8600f68c4c936d9f21f81f1817c92fc1ca48	846-876	c118df2ef657143f8b57a784f2841cfaf2b2cec2f56932980f9418f3c97494ac
