stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_start_line	r20_end_line	r20_span_bytes	r20_span_sha256	direct_bl_callers	classification
smpDbStartServiceTimer	0x00541E34	0x00541E50	28	cfda2c7f20e17faf4edec629bc74e4006fc417227acc9f51bba221a972660f6e	80	86	159	8bd9b77f778677f5ac451767c60dce39cac2c719717273ebf0523915c762ad32	0x00542822,0x005429B2	exact source semantics; one-shot 1000-ms service timer
smpDbRecordInUse	0x00541E50	0x00541E72	34	59c1b23356e3a794b34b59d680fa15bf83a5f8b21a71ed6de528dc889cebe6fb	97	116	331	3dbec33c827ca0adfb655e80c53454fe8d97d558aedf96500fff718c4a527cfa	0x00541F92,0x00542140,0x005429AA,0x005429C4	exact source-order helper semantics
smpDbAddDevice	0x00541E72	0x00541FB8	326	9b0fb1de560cbdf00cdd0743dfc9c49ef0098913149edc9bedad75e011bac94a	128	149	487	31abbbc509d7585bc9af2dbd08c754729136d56591088b9f1b2686877d6b6f20	0x00542168	exact source definition plus stock diagnostics; scans records 1..9
smpDbGetRecord	0x00541FB8	0x00542284	716	c30bfc998d2d154018f99bf4abdd603e631d8c87c1056a184532cb4a3fcb166f	160	189	808	bc4663ed27747e4e57862ebb59e828623accd60abbc9899054cfda098f96ae0b	0x005422CE,0x00542422,0x00542586,0x005426C8,0x00542840	exact source definition plus stock diagnostics and product record count
SmpDbInit	0x00542288	0x005422C0	56	0c5fae6586c0694d46e588a99da1d80ecb0c61fc49815b0d5fdc5bc391c225f4	198	212	362	643c554474ed1a31d5e0c7322971a504514a07d3d266d62e81ae1748197f1ae2	0x004D2546,0x00537CBC	clears 0x100-byte product control block; timer event 0x20 selects r20 header ABI
SmpDbGetPairingDisabledTime	0x005422C4	0x00542418	340	78150cb326603fd44f1abc62b94d872836d47be33cb7ed861dd3d2305fd635ae	223	231	281	ea6b27dc53c98f83ec74399a08be38dd2267731e4d3cd5bd098bf1930579145d	0x005374AE	exact definition plus stock diagnostics
SmpDbSetFailureCount	0x00542418	0x00542570	344	9bf8baf9e6f7f22579d9573254cfb3b002272b3cb40e2251e2f45e595c6cde69	243	255	302	237f1736e68f71fb4b2ce7cc319567bbedc65c7dc22e1fed6148dfb1f66d7e6f	0x00537590	exact definition plus stock diagnostics
SmpDbGetFailureCount	0x0054257C	0x005426C0	324	103da856edd34946a156321579273b3edba3b1baa4761978bc6a64e824bd9de8	266	273	218	12d6a856aab9e7df8792c8b4f98a21c188cf468039d3c19c75690123085d04cb	0x00537556	exact definition plus stock diagnostics
SmpDbMaxAttemptReached	0x005426C0	0x0054282A	362	8044e0eb9c12b829b3971389513601525c606146d4174ec22449c8206e565b19	284	318	871	c3c93081d85386d57a168198869352f43275f8e9aeb6b2f5065522a0c10134e7	0x0056EDBC	exact exponential-backoff definition plus stock diagnostics
SmpDbPairingFailed	0x00542838	0x0054294C	276	5fbbc65f4efd1c3410a19038221f6eae68a0dbe281573c6bfc52f1c275df19b7	329	337	251	4392c380f08671fd83b0134544e74163e8f598148d670e9e3edebd991b482c48	0x0056D2D8,0x005E32C0,0x005E3876,0x005E3B86,0x005E41DC	exact definition plus stock diagnostics
SmpDbService	0x00542960	0x005429F2	146	a44bd312af6978a1232f7a5a26a46578c0c60844a24505a87291dd8cff62ac5d	346	386	987	89083aeba42d5555aa82ab85e916cfb27194489eeb6511b41772110cf64182dc	0x00537D1E	exact saturating timer-service definition over ten product records
SmpDbRemoveAllDevices			0		395	405	238	3dccdde60b6d90042c85b20961212cd999e5d7745959f4a936436fc976514846		dead-stripped; no stock body/caller/pointer
SmpDbRemoveDevice			0		417	433	455	edb509b73fb6ba687281e355b08818768572e4365b81c1ce9aff6a9c35c7ae50		dead-stripped; no stock body/caller/pointer
