source_order	symbol	source_line	source_line_sha256	uuid16	stock_status	stock_address	stock_reference_count
1	attGapSvcUuid	34	30a8d2cc9e891c7b95dc6ad533c66ee841b155b6d25e4f36ef67f285987d0998	0x1800	source_only		0
2	attGattSvcUuid	35	99a266ff6132b92112218a01486ee3e79837a7a61a11e4eb7a10580b4a4d5708	0x1801	linked	0x0078F53A	1
3	attIasSvcUuid	36	ffb6f6ac513ed63f03c0b20034e3c1a8885f2dc2df2b71635b794004fc95a63b	0x1802	source_only		0
4	attLlsSvcUuid	37	a2e779d2fa07fd6e034872f8d45545d11fce1d8a36a8f4b9bfe0b13ef416fb52	0x1803	source_only		0
5	attTpsSvcUuid	38	96e8604944b9890fcde36ac6e1e509cc0bab39bc47b1705327e1568f8cc84f10	0x1804	source_only		0
6	attCtsSvcUuid	39	d6441db4d7e4172d38439821692f665be9f12dc1d4e787ad5d78b2c29b95f0b4	0x1805	source_only		0
7	attRtusSvcUuid	40	0dc32ff960b404ae71fb7c7d51cd997e1a8003d45730424c6138a41c021c1219	0x1806	source_only		0
8	attNdcsSvcUuid	41	f25af3293d2cbff594456e758f6a55d81564b66792b17193769930f927527ee4	0x1807	source_only		0
9	attGlsSvcUuid	42	91155adac0675f9a0e7ea47b22fceec4b95a4d68e0d192b28d721ec15f52f4c5	0x1808	source_only		0
10	attHtsSvcUuid	43	b16062d4d14a81b6d2e89f8d1ec7703785d21826393f68b65cc04f508b5a31e6	0x1809	source_only		0
11	attDisSvcUuid	44	283d06e1b0d9b227284f9a99ed3a9ecb87c1f0b654f67ec7be9f41b93c50fcf6	0x180A	source_only		0
12	attNwaSvcUuid	45	13fb8047ea203a0ffaeb13bb65e01d46a6cd114ef69530c21f4a6a7669efd756	0x180B	source_only		0
13	attWdsSvcUuid	46	aa543a8de3ab892753fa56c4d0b7d106656fdc65883598ce893937d1c34e01a7	0x180C	source_only		0
14	attHrsSvcUuid	47	a0981b9240fc45084acaae9fa15bc70715a01fb6d798dff561d981279efdaa20	0x180D	source_only		0
15	attPassSvcUuid	48	0fe54cd3411b662830c77aa2fda81026d6e2e29cc5ea038d6af228908c7b85c7	0x180E	source_only		0
16	attBasSvcUuid	49	9eb2546474f44d42b86def08e1c62c0c4381e1566ec784178f469be0f87f894c	0x180F	source_only		0
17	attBpsSvcUuid	50	ea2c66e4b3d008e010de2fe6927179aa665097a22bacba01fbca34350ce1c795	0x1810	source_only		0
18	attAnsSvcUuid	51	ebf9f7c43393117ac451332b32a6fb140f1f2ae28629da7f4cd86cd5602b64a4	0x1811	source_only		0
19	attHidSvcUuid	52	ac4db047650b4c9c703e6672e1a57a7e2e8f744560df81b7013127163520bc50	0x1812	source_only		0
20	attSpsSvcUuid	53	a2b0f5b0c04a3d074dedd83b5b9ff7c22b9cd3a838d23ee554eda9bea67b30d3	0x1813	source_only		0
21	attPlxsSvcUuid	54	6880e022bca8a80ee36df0250eb821c6c031874d4dc98fa637c9979bc0d8a6b9	0x1822	source_only		0
22	attUdsSvcUuid	55	f6aa03a855e8d26627c05253e788f172dcaac63b96cf98116bc297e7d4666e63	0x181C	source_only		0
23	attMprvSvcUuid	56	e4fa772157c200739141efc218402599e6b1ad7f5bf2cb7220a1164dea06651d	0x1827	source_only		0
24	attMprxSvcUuid	57	394c8b2aa8cb9ed666868ceb30a4645213501404f96a5f3dfa4b85e2d3c16549	0x1828	source_only		0
25	attWssSvcUuid	58	9a2f429168a27383a344ef04b7ea7541b0a79dae7c7d29c94e817bfa8d27f653	0x181D	source_only		0
26	attCteSvcUuid	59	c3653579209c689b0dd01c01ebe53193a21e238f50f6e9a0c55d9839effc5451	0x7F7F	source_only		0
27	attPrimSvcUuid	62	b4fa472f9d2355896bd6c0219dcc2571e7f55d412f8b43aebb034773793eba0c	0x2800	linked	0x0078F53C	8
28	attSecSvcUuid	63	da96d83ee10ba5c9b6a9216ce88dbfaa46d497b6c18428e001ad3b0affa16e66	0x2801	source_only		0
29	attIncUuid	64	bc527344b09f1d9f5743ec5ed6e04870e3f1c624e054210af3617109cb3027d6	0x2802	source_only		0
30	attChUuid	65	18acfbab6d0f942683ea60a933114eae7acdac23c2e8df4a7d39c774477cf980	0x2803	linked	0x0078F53E	23
31	attChExtUuid	68	f14cfeb50b1714c4fc6f21490d18d20da693d474cb530b705b03f4d2164f877e	0x2900	source_only		0
32	attChUserDescUuid	69	7721aa53294cee563a53511f949af4247648607d9aed3b19c0d784799622e6a9	0x2901	source_only		0
33	attCliChCfgUuid	70	0c3fb798db87672dfd6ddeeca34640458b3eb506f8d0bcad8365b08812189e7e	0x2902	linked	0x0078F540	10
