stock_name	start	end	candidate_symbol
wsfTimerRemove	0x0052a3fc	0x0052a424	open_cfw_cordio_wsf_timer_remove_candidate
wsfTimerInsert	0x0052a424	0x0052a468	open_cfw_cordio_wsf_timer_insert_candidate
WsfTimer_handler	0x0052a468	0x0052a474	open_cfw_cordio_wsf_timer_callback_candidate
WsfTimerInit	0x0052a474	0x0052a4b8	open_cfw_cordio_wsf_timer_init_candidate
WsfTimerStartSec	0x0052a4b8	0x0052a4c4	open_cfw_cordio_wsf_timer_start_sec_candidate
WsfTimerStartMs	0x0052a4c4	0x0052a4d2	open_cfw_cordio_wsf_timer_start_ms_candidate
WsfTimerStop	0x0052a4d2	0x0052a4e6	open_cfw_cordio_wsf_timer_stop_candidate
WsfTimerUpdate	0x0052a4e6	0x0052a51a	open_cfw_cordio_wsf_timer_update_candidate
WsfTimerNextExpiration	0x0052a51a	0x0052a542	open_cfw_cordio_wsf_timer_next_expiration_candidate
WsfTimerServiceExpired	0x0052a542	0x0052a574	open_cfw_cordio_wsf_timer_service_expired_candidate
WsfTimerUpdateTicks	0x0052a574	0x0052a614	open_cfw_cordio_wsf_timer_update_ticks_candidate
