r1_entry,r1_name,rank,reference_entry,reference_name,similarity,significance,r1_self_significance,reference_self_significance
0x00027218,"FUN_00027218",1,0x000f846c,"app_util_critical_region_enter",0.315052465,7.043143726,31.803584663,47.491178901
0x00027218,"FUN_00027218",2,0x000f9b90,"jump_to_addr",0.360403779,4.851959553,31.803584663,18.701983586
0x00027218,"FUN_00027218",3,0x000f9bdc,"nrf_bootloader_app_start_final",0.229538600,2.269077636,31.803584663,84.043515900
0x00027218,"FUN_00027218",4,0x000f9102,"bsp_board_init",0.178328065,2.011761488,31.803584663,31.481840290
0x00027218,"FUN_00027218",5,0x000f84b4,"app_util_critical_region_exit",0.165555361,1.206416871,31.803584663,39.553937952
0x00027218,"FUN_00027218",6,0x000fbea8,"nrf_dfu_validation_init_cmd_create",0.081973618,0.007558765,31.803584663,25.968053209
0x00027218,"FUN_00027218",7,0x000f9094,"bsp_board_led_on",0.080885987,0.007558765,31.803584663,26.508397982
0x00027218,"FUN_00027218",8,0x000f90bc,"bsp_board_led_off",0.080885987,0.007558765,31.803584663,26.508397982
0x00027218,"FUN_00027218",9,0x000fbed8,"nrf_dfu_validation_init_cmd_append",0.077496395,0.007558765,31.803584663,28.340777790
0x00027218,"FUN_00027218",10,0x000faa84,"dfu_observer",0.099036702,-0.048554079,31.803584663,24.346816371
0x00027218,"FUN_00027218",11,0x000fb92c,"nrf_dfu_settings_adv_name_write",0.075089077,-0.209564042,31.803584663,29.795569392
0x00027218,"FUN_00027218",12,0x000f82f8,"app_sched_init",0.071358046,-0.209564042,31.803584663,32.347923690
0x00027238,"FUN_00027238",1,0x000f846c,"app_util_critical_region_enter",0.211506683,1.567704758,117.578171184,47.491178901
0x00027238,"FUN_00027238",2,0x000f9bdc,"nrf_bootloader_app_start_final",0.210946568,0.056382115,117.578171184,84.043515900
0x00027238,"FUN_00027238",3,0x000f9b90,"jump_to_addr",0.173291124,-2.625251558,117.578171184,18.701983586
0x00027238,"FUN_00027238",4,0x000f9930,"SVC_Handler",0.126398960,-4.792257317,117.578171184,25.112414450
0x00027238,"FUN_00027238",5,0x000f9518,"nrf_nvmc_write_word",0.080230257,-7.312143570,117.578171184,19.455287611
0x00027238,"FUN_00027238",6,0x000f8b04,"nrf_fstorage_sdh_state_handler",0.082605173,-7.379430280,117.578171184,19.529411617
0x00027238,"FUN_00027238",7,0x000f84b4,"app_util_critical_region_exit",0.105000481,-7.462808198,117.578171184,39.553937952
0x00027238,"FUN_00027238",8,0x000f94e8,"nrf_nvmc_page_erase",0.076311313,-7.608394874,117.578171184,20.871725082
