# LOW-confidence lib module function upgrades
# Format: address	old_name	new_name	module	confidence	evidence
#
# === C STANDARD LIBRARY ===
0x0046cc5c	lib_callee_cc5c	am_util_string_strlen	lib.string	HIGH	null-check + while(*s++) count loop; classic strlen
0x0046cc74	lib_callee_cc74	am_util_string_memset	lib.string	HIGH	fills buffer with byte value for N bytes; classic memset
0x0043c0ec	lib_callee_c0ec	am_util_string_memset_descending	lib.string	HIGH	reverse-direction memset with 16-byte unrolled loop; ARM-optimized
0x0046cb3c	lib_callee_cb3c	am_util_string_atoi	lib.string	HIGH	parses '-' sign + digit loop (*10 + digit); classic atoi with length output
#
# === NUMBER FORMATTING / PRINTING ===
0x0046ca24	lib_callee_ca24	uint64_div10	lib.string	HIGH	64-bit unsigned divide-by-10 via shift-add approximation (reciprocal multiply)
0x0046cae0	lib_callee_cae0	uint64_decimal_digit_count	lib.string	HIGH	counts decimal digits of 64-bit value by repeated div10; returns 1 for zero
0x0046cb04	lib_callee_cb04	int64_decimal_digit_count	lib.string	HIGH	negates if negative then calls uint64_decimal_digit_count
0x0046cb16	lib_callee_cb16	uint64_hex_digit_count	lib.string	HIGH	counts hex digits by shifting right 4 bits per iteration
0x0046cb80	lib_callee_cb80	uint64_to_decimal_str	lib.string	HIGH	converts uint64 to decimal string using div10 + remainder + reverse
0x0046cbe8	lib_callee_cbe8	uint64_to_hex_str	lib.string	HIGH	converts uint64 to hex string with upper/lower case flag (param_4)
#
# === SORT UTILITIES (qsort internals) ===
0x00538668	lib_callee_8668	qsort_mem_swap	lib.sort	HIGH	swaps N bytes between two pointers; small path byte-by-byte, large path uses 128B temp + memcpy
0x005386be	lib_callee_86be	qsort_mem_rotate3	lib.sort	HIGH	3-way rotate: a<-c<-b<-a using 128B temp + memcpy
0x0053872c	lib_callee_872c	qsort_mem_rotate_block	lib.sort	HIGH	rotates a block of memory within an array using memmove+memcpy
0x00538776	lib_callee_8776	qsort_sort3	lib.sort	HIGH	sorts 3 elements by comparator; calls mem_swap to order a,b,c
0x005387c6	lib_callee_87c6	qsort_sift_down	lib.sort	HIGH	heap sift-down for heapsort phase of introsort; uses mem_swap
#
# === TLSF ALLOCATOR ===
0x004c9688	lib_callee_9688	tlsf_fls	lib.tlsf	HIGH	find-last-set-bit: hierarchical test (16/8/4/2/1 shifts); classic CLZ-based FLS
0x004c96d6	lib_callee_96d6	tlsf_fls_wrapper	lib.tlsf	HIGH	wraps tlsf_fls, returns result-1
0x004c9f54	lib_callee_9f54	tlsf_block_to_ptr	lib.tlsf	HIGH	converts block header to payload via tlsf_to_payload_ptr + tlsf_block_size
0x004ca092	lib_callee_a092	tlsf_memalign	lib.tlsf	MEDIUM	called with pool+size from rtos_mem_alloc; TLSF aligned allocation wrapper
#
# === LITTLEFS ===
0x004c4068	lib_callee_4068	lfs_max	lib.lfs	HIGH	returns max(a,b); companion to lfs_min at 0x004c4070
0x004c471c	lib_callee_471c	lfs_fs_rawtraverse_check	lib.lfs	HIGH	calls lfs_fs_rawtraverse then checks if result byte != 0
0x004c495a	lib_callee_495a	lfs_pair_fromle32	lib.lfs	HIGH	calls lfs_fromle32 on two uint32s (pair); companion to lfs_superblock_fromle32
0x004c4970	lib_callee_4970	lfs_pair_tole32_alt	lib.lfs	HIGH	calls lfs_tole32 on two uint32s; companion to lfs_pair_fromle32
0x004c4a10	lib_callee_4a10	lfs_mlist_remove	lib.lfs	HIGH	walks linked list at offset+0x28, unlinks matching entry (classic list remove)
0x004c4a2c	lib_callee_4a2c	lfs_mlist_insert	lib.lfs	HIGH	inserts at head of list at offset+0x28 (classic list prepend)
0x004c6f74	module_callee_004C4A10	lfs_mlist_remove_wrapper	lib.lfs	HIGH	calls lfs_mlist_remove then returns; thin wrapper
#
# === FREETYPE 2 — TRIGONOMETRY ===
0x0051323c	lib_page_callee_323c	ft_trig_downscale	lvgl.lv_freetype	HIGH	CORDIC downscale: magic constant 0xDBD95B16 is FT's ft_trig_downscale multiplier
0x0051329c	lib_page_callee_329c	ft_trig_prenorm	lvgl.lv_freetype	HIGH	normalizes vector x,y to 30-bit range using CLZ; returns shift count
0x005132de	lib_page_callee_32de	ft_trig_pseudo_rotate	lvgl.lv_freetype	HIGH	CORDIC rotation mode: 23 iterations with arctan LUT at DAT_005135b4
0x00513368	lib_page_callee_3368	ft_trig_pseudo_polarize	lvgl.lv_freetype	HIGH	CORDIC vectoring mode: computes magnitude+angle from x,y
0x00513410	lib_page_callee_3410	FT_Cos	lvgl.lv_freetype	HIGH	calls FT_Vector_Unit then returns x component
0x0051341e	lib_page_callee_341e	FT_Sin	lvgl.lv_freetype	HIGH	calls FT_Vector_Unit then returns y component
0x00513462	lib_page_callee_3462	FT_Vector_Unit	lvgl.lv_freetype	HIGH	sets x=0x4000_0000 (CORDIC init), calls ft_trig_pseudo_rotate, rounds to 16.16
0x0051348a	lib_callee_348a	FT_Vector_Rotate	lvgl.lv_freetype	HIGH	prenorm + pseudo_rotate + downscale on both components
0x0051350a	lib_page_callee_350a	FT_Vector_Length	lvgl.lv_freetype	HIGH	prenorm + pseudo_polarize + shift back; returns fixed-point length
0x0051357e	lib_callee_357e	FT_Vector_Polarize	lvgl.lv_freetype	MEDIUM	stores x=magnitude, y=0, calls FT_Vector_Rotate
#
# === FREETYPE 2 — MEMORY MANAGEMENT ===
0x005136e6	lib_callee_36e6	ft_mem_dup	lvgl.lv_freetype	HIGH	alloc(size) + memcpy(dst,src,size); classic memory duplicate
0x0051371a	lib_callee_371a	ft_mem_strdup	lvgl.lv_freetype	HIGH	strlen(s)+1 then ft_mem_dup; classic strdup
0x00513740	lib_page_callee_3740	ft_strlcpy_thunk	lvgl.lv_freetype	HIGH	thunk to FUN_0051374c (ft_strlcpy)
0x0051374c	lib_page_callee_374c	ft_strlcpy	lvgl.lv_freetype	HIGH	copies up to n-1 chars, NUL-terminates, returns overflow flag
#
# === FREETYPE 2 — LINKED LIST (FT_List) ===
0x0051376a	lib_callee_376a	FT_List_Find	lvgl.lv_freetype	HIGH	walks list->head checking node->data == value; returns matching node
0x00513788	lib_callee_3788	FT_List_Add	lvgl.lv_freetype	HIGH	appends node to doubly-linked list tail; updates head/tail pointers
