# __FUNCTION__ string scan upgrades
# Format: address	old_name	new_name	module	confidence	evidence
0x00473fd8	FUN_00473fd8	AppDbResolveAndConnectByAddr	app	HIGH	__FUNCTION__ string @ 0x00711198 via literal pool
0x00496894	FUN_00496894	app_slave	app	HIGH	__FUNCTION__ string @ 0x007392a8 via literal pool
0x00497a3c	FUN_00497a3c	AppSlaveInit	ble	HIGH	__FUNCTION__ string @ 0x007346f0 via literal pool
0x00498e14	fun_00498e14	GattDiscover	ble	HIGH	__FUNCTION__ string @ 0x007372f0 via literal pool
0x004ce714	FUN_004ce714	IMAGE	lvgl	HIGH	__FUNCTION__ string @ 0x0073c6a4 via literal pool
0x004ce81c	FUN_004ce81c	IMAGE_HEADER	lvgl	HIGH	__FUNCTION__ string @ 0x007367b0 via literal pool
0x004e3ea4	FUN_004e3ea4	AppMasterSecurityReq	ble	HIGH	__FUNCTION__ string @ 0x00725fb4 via literal pool
0x004fadb0	FUN_004fadb0	Onboarding_StockWidget_MainPage_init	onboarding	HIGH	__FUNCTION__ string @ 0x007054f8 via literal pool
0x0051c2f4	FUN_0051c2f4	read_sector_info	lib.flashdb	HIGH	__FUNCTION__ string @ 0x0072f2d0 via literal pool
0x0051c720	fun_0051c720	format_sector	lib	HIGH	__FUNCTION__ string @ 0x007353a0 via literal pool
0x0052e854	FUN_0052e854	msg_notif_virtual_scroll_tileview	message_notify_list	HIGH	__FUNCTION__ string @ 0x0070fa20 via literal pool
0x005385ac	FUN_005385ac	FT_Stream_Open	lvgl	HIGH	__FUNCTION__ string @ 0x00734250 via literal pool
