# elog __FUNCTION__ corrections (single-name-per-function)
# address	current_name	elog_name	module	current_conf	elog_call_count
0x0043cdee	elog_init_check	elog_start	elog	HIGH	1
0x0043d1c8	elog_assert_trace	elog_output	elog	HIGH	1
0x0043d5d0	elog_get_fmt_enabled	get_fmt_enabled	elog	HIGH	1
0x004413fa	nus_on_disconnect	APP_BleNusHandlerInit	profile.nus	HIGH	1
0x00441456	nus_send_notification	APP_BleNusSendDataMsg	profile.nus	HIGH	2
0x0044164a	display_page_dispatch_command	call_ui_event_callback_by_id	display_thread	HIGH	2
0x0044182c	display_page_dispatch_input	find_ui_DataHandler_by_id	display_thread	HIGH	1
0x004418ae	display_page_table_init	init_ui_modules	display_thread	HIGH	1
0x00441956	display_page_switch_request	ReStartCommandDataHandler	display_thread	HIGH	8
0x00441e34	display_set_jbd_power_mode	getStartUpAppID	display_thread	HIGH	2
0x00441fea	system_init_params	inputEventDataHandler	system	HIGH	13
0x004426b8	get_timestamp_pair	getRunningAppID	system	HIGH	4
0x00442994	display_thread_main_loop	ui_display_thread_handler	display_thread	HIGH	14
0x0044319c	display_queue_open_page	display_startup	display_thread	HIGH	1
0x00443280	display_queue_update_page	display_refresh	display_thread	HIGH	1
0x00443358	display_queue_close_page	display_close	display_thread	HIGH	1
0x00443894	ota_service_prepare_flash_target	_evenOtaSetFwAddr	ota.service	HIGH	4
0x00443ab2	ota_service_write_flash_chunked	_verifyFlashContent	ota.service	HIGH	1
0x00443ca0	ota_service_send_status_response	_evenOtaReplyToAPP	ota.service	HIGH	1
0x00443ddc	ota_service_open_flash_file	_evenOtaBootloaderWriteFile2MRAM	ota.service	HIGH	3
0x00445688	ota_service_handle_file_data	_fileRawDataParse	ota.service	HIGH	21
0x0044622c	ota_service_read_existing_file	_fileCaculateCRC	ota.service	HIGH	10
0x004466cc	ota_service_handle_result_check	_exportFileParse	ota.service	HIGH	13
0x0044894e	srv_time_set_and_broadcast	SVC_SystemTimeSync	srv.time	HIGH	1
0x00448a02	srv_time_sync_periodic	RPC_SystemTimeSync	srv.time	HIGH	1
0x00454bfc	dmConnSmFindPending	dmConnCmplStates	ble.dm	HIGH	4
0x004559c2	dmConnSmActConnClosed	dmConnSmActConnFailed	ble.dm_conn	HIGH	1
0x00455a6e	dmConnSmActConnFailed	dmConnSmActConnClosed	ble.dm_conn	HIGH	1
0x004566c0	dmConnGetSecCb	DmConnPeerRpa	ble.dm	HIGH	4
0x004568a4	dmConnGetSecLevel	DmConnLocalRpa	ble.dm	HIGH	4
0x00456aa8	dmConnSetSecFlags	DmConnSetIdle	ble.dm	HIGH	1
0x00456d90	am_util_string_memset_wrapper_00456d90	thread_ble_production	hal	HIGH	1
0x004574ce	task_ble_production_handler	Thread_SendMsgToBleProductionTask	task.ble.production	HIGH	2
0x00457a28	fw_evt_loop_push_delayed	fw_evt_loop_timer_callback	evtloop	HIGH	3
0x00457bfe	fw_evt_loop_remove_delayed	fw_evt_loop_push_delayed	evtloop	HIGH	2
0x00457d4e	fw_evt_loop_task	fw_evt_loop_remove_delayed	evtloop	HIGH	1
0x00457f3c	appAdvStart	_bleAdvInit	ble.slave	HIGH	2
0x0045804c	appAdvSetData	_blePsnIntoADV	ble.slave	HIGH	1
0x0045817c	appSlaveAdvStart	_bleAdvNameSet	ble.slave	HIGH	2
0x00458316	_blePsnIntoADV	_bleSlaveRequestMtuExchange	ble.slave	HIGH	1
0x004583ba	appAdvStop	_bleSlaveSecReq	ble.slave	HIGH	1
0x004584c8	AppSlaveProcDmMsg	_bleSlaveProcMsg	ble.slave	HIGH	24
0x00458fdc	ble_slave_get_adv_handle	APP_BleNameGet	ble.slave	HIGH	1
0x004592a4	slave_get_sync_state	APP_SlaveStartSecurityRequestEvent	app.slave	HIGH	1
0x004597e8	task_ble_wsf_timer_op	thread_ble_wsf_wait_tx_ready	task.ble.wsf	HIGH	1
0x004598ba	task_ble_wsf_log_handler	thread_ble_wsf_tx_complete_notify	task.ble.wsf	HIGH	2
0x00459a28	elog_callee_9a28	page_anim_ready_cb	elog	HIGH	1
