address	old_name	new_name	module	confidence	evidence
# ══════════════════════════════════════════════════════════════════════════════
# LVGL Style Getters — call lv_obj_get_style_prop (0x0044a2aa) with property ID
# Property IDs are hex constants from Ghidra, mapped to LVGL v9.3 lv_style_prop_t enum
# ══════════════════════════════════════════════════════════════════════════════
0x0043d9da	lvgl_helper_0043d9da	lv_obj_get_style_bg_color	lvgl.lv_obj_style	HIGH	calls lv_obj_get_style_prop(obj,part,0x10); 0x10=16=LV_STYLE_BG_COLOR
0x00449d90	lvgl_helper_00449d90	lv_obj_get_style_anim	lvgl.lv_obj_style	HIGH	calls lv_obj_get_style_prop(obj,part,0x78); 0x78=120=LV_STYLE_ANIM
0x00449d9e	lvgl_helper_00449d9e	lv_obj_get_style_anim_duration	lvgl.lv_obj_style	HIGH	calls lv_obj_get_style_prop(obj,part,0x79); 0x79=121=LV_STYLE_ANIM_DURATION; returns byte
0x0048483e	lvgl_helper_0048483e	lv_obj_get_style_pad_top	lvgl.lv_obj_style	HIGH	calls lv_obj_get_style_prop(obj,part,0x18); 0x18=24=LV_STYLE_PAD_TOP
# ══════════════════════════════════════════════════════════════════════════════
# LVGL Style Setters — call lv_obj_set_local_style_prop (0x0044a30c) with property ID
# ══════════════════════════════════════════════════════════════════════════════
# (These were already HIGH in previous sessions — no new setter upgrades found)
# ══════════════════════════════════════════════════════════════════════════════
# LVGL Linked List (lv_ll) — struct: [node_size:4, head:4, tail:4], node: [prev:0, next:+4]
# Cross-validated against lv_ll.h from LVGL v9.3 tag on GitHub
# ══════════════════════════════════════════════════════════════════════════════
0x0047b9bc	lvgl_page_callee_b9bc	lv_ll_init	lvgl.lv_ll	HIGH	sets head=0,tail=0,node_size=align4(param); matches lv_ll_init(ll,node_size)
0x0047b9ce	lvgl_page_callee_b9ce	lv_ll_ins_head	lvgl.lv_ll	HIGH	allocs node, links as new head, sets prev=0; matches lv_ll_ins_head(ll)
0x0047baca	lvgl_page_callee_baca	lv_ll_remove	lvgl.lv_ll	HIGH	unlinks node from head/tail/middle, updates prev/next pointers; matches lv_ll_remove(ll,node)
0x0047bb94	lvgl_page_callee_bb94	lv_ll_get_head	lvgl.lv_ll	HIGH	returns *(param_1+4) with null check; matches lv_ll_get_head(ll)
