address	old_name	new_name	module	confidence	evidence
0x0043d9da	lvgl_propagated_004fe372_wrapper	lv_obj_get_style_pad_top	lvgl	HIGH	calls lv_obj_get_style_prop with prop=0x10 (LV_STYLE_PAD_TOP in LVGL v9.3)
0x004fe390	lvgl_neighbor_004fe3b8_wrapper_wrapper	nema_reg_write_priority	lvgl	MEDIUM	writes value shifted left by 4 to hardware register base; priority nibble pattern
0x004ff176	lvgl_helper_004fec34_wrapper	nema_cl_submit	lvgl	MEDIUM	sets flag byte to 1 then calls nema_cl_process (FUN_004fec34); NemaGFX command list submit
0x00449c74	lvgl_neighbor_00449c80_wrapper_wrapper	lv_style_prop_mark_set	lvgl	MEDIUM	sets byte from 0 to 1; style property initialization marker in lv_style context
0x004ce042	lvgl_page_callee_e042	nema_multi_write_wrapper	lvgl	MEDIUM	calls lv_multi_param_handler_16 (FUN_004cdfce) with DAT + params; NemaGFX multi-register write
0x004ce052	lvgl_page_callee_e052	nema_invalidate_all	lvgl	MEDIUM	calls lv_cache_invalidate_2 (FUN_004cdf44); invalidates entire GPU cache
0x004ce05c	lvgl_page_callee_e05c	nema_set_cache_mode	lvgl	MEDIUM	checks init flag, calls lv_cache_invalidate (FUN_004cdf24) with encoded mode bits
0x004ce07c	lvgl_page_callee_e07c	nema_set_cache_regions	lvgl	MEDIUM	iterates region array, validates indices (max 7), calls lv_cache_line_write per region
0x004ce106	lvgl_page_callee_e106	nema_set_cache_entries	lvgl	MEDIUM	validates count < 0x11, packs entry fields, calls nema_multi_write_wrapper (FUN_004ce042)
0x004ce1c0	lvgl_page_callee_e1c0	lv_freertos_thread_delete	lvgl	MEDIUM	calls FUN_00452d3a (vTaskDelete) on thread handle at param+8
0x004ce294	lvgl_page_callee_e294	lv_freertos_thread_join	lvgl	MEDIUM	calls lv_freertos_mutex_ensure_init, reads/clears thread handle, calls FUN_00453ed4 (task notify)
0x004ce2cc	lvgl_page_callee_e2cc	lv_freertos_cond_init	lvgl	MEDIUM	zeroes 2-field struct; condition variable initialization
0x004ce2d8	lvgl_page_callee_e2d8	lv_freertos_cond_signal	lvgl	MEDIUM	calls function pointer [0] with param [1], then vTaskDelete(0); condition signal+cleanup
0x004ce33c	lvgl_page_callee_e33c	lv_freertos_mutex_ensure_init	lvgl	MEDIUM	double-checked locking: enter critical, check *param==0, call prvMutexInit if needed
0x004ce35c	lvgl_page_callee_e35c	lv_freertos_once_init	lvgl	MEDIUM	sets 3-field struct to {1, 0, 0}; once-initialization structure
0x004ce36a	lvgl_page_callee_e36a	lv_freertos_once_ensure_init	lvgl	MEDIUM	double-checked locking: enter critical, check *param==0, call lv_freertos_once_init if needed
0x004ce694	lvgl_page_callee_e694	lv_image_cache_has_data	lvgl	MEDIUM	calls lv_cache_entry_has_data (FUN_004cec74) on global image cache pointer at offset 0x134
0x004ce6a2	lvgl_page_callee_e6a2	lv_image_cache_entry_compare	lvgl	MEDIUM	comparator: checks type byte equality first, then compares by type (0=uint, 1=string via FUN_00452a4a)
0x004ce704	lvgl_page_callee_e704	lv_image_cache_entry_compare_wrapper	lvgl	MEDIUM	dereferences two struct pointers and calls lv_image_cache_entry_compare (FUN_004ce6a2)
0x004ce714	lvgl_page_callee_e714	lv_image_cache_entry_free	lvgl	MEDIUM	checks flag byte=0x10 via FUN_004845f8, calls FUN_004840d2; if type==1, frees string via lv_free
0x004ce7aa	lvgl_page_callee_e7aa	lv_image_decoder_cache_entry_compare	lvgl	MEDIUM	identical comparator logic to FUN_004ce6a2; used for image decoder cache (at offset 0x138)
0x004ce80c	lvgl_page_callee_e80c	lv_image_decoder_cache_entry_compare_wrapper	lvgl	MEDIUM	dereferences two struct pointers and calls FUN_004ce7aa; wrapper for decoder cache comparator
