symbol	provider	base_Os	base_O1	hybrid_Os	hybrid_O1	stubbed
BdaIsZeros	WSF BDA utility	yes	yes	yes	yes	yes
Calc128Cpy64	WSF 128-bit utility	yes	yes	yes	yes	yes
DmConnIdByHandle	DM connection API	yes	yes	yes	yes	yes
DmConnLocalAddr	DM connection API	yes	yes	yes	yes	yes
DmConnLocalAddrType	DM connection API	yes	yes	yes	yes	yes
DmConnLocalRpa	DM connection API	yes	yes	yes	yes	yes
DmConnPeerAddr	DM connection API	yes	yes	yes	yes	yes
DmConnPeerAddrType	DM connection API	yes	yes	yes	yes	yes
DmConnPeerRpa	DM connection API	yes	yes	yes	yes	yes
DmConnRegister	DM connection API	yes	yes	yes	yes	yes
DmConnRole	DM connection API	yes	yes	yes	yes	yes
DmSmpCbackExec	DM SMP callback	yes	yes	yes	yes	yes
L2cDataReq	L2CAP API	yes	yes	yes	yes	yes
L2cRegister	L2CAP API	yes	yes	yes	yes	yes
SecAes	security AES provider	yes	yes	yes	yes	yes
SecRand	security RNG provider	yes	yes	yes	yes	yes
SmpDbGetFailureCount	SMP database	yes	yes	yes	yes	yes
SmpDbGetPairingDisabledTime	SMP database	yes	yes	yes	yes	yes
SmpDbInit	SMP database	yes	yes	yes	yes	yes
SmpDbService	SMP database	yes	yes	yes	yes	yes
SmpDbSetFailureCount	SMP database	yes	yes	yes	yes	yes
WsfBufFree	WSF buffer provider	yes	yes	yes	yes	yes
WsfMsgDataAlloc	WSF message provider	yes	yes	yes	yes	yes
WsfMsgDeq	WSF message queue provider	no	no	yes	yes	yes
WsfMsgFree	WSF message provider	yes	yes	yes	yes	yes
WsfMsgSend	WSF message provider	yes	yes	yes	yes	yes
WsfTimerStartMs	WSF timer	yes	yes	yes	yes	yes
WsfTrace	WSF trace provider	yes	yes	yes	yes	yes
memcpy	freestanding C runtime or SDK	yes	yes	yes	yes	yes
memset	freestanding C runtime or SDK	yes	yes	yes	yes	yes
secCb	security control block	no	no	yes	yes	yes
smpSmExecute	SMP state machine	yes	yes	yes	yes	yes
