# Every Ghidra range omission inside a selected official envelope, byte-pinned and already included in official envelope bytes
owner	start	end_exclusive	size	bytes_hex	sha256	classification	wave13_additional_function_bytes
0x00438924	0x004389E0	0x004389E4	4	02162a3c	e31e5fa4a6c2956245935afa3bd6aa8cd6e9b151a30cff450acc9bd0eb18f6ed	decompiler-omitted-executable-bytes-role-unresolved	0
0x00438924	0x00438A0A	0x00438A0C	2	00bf	b35429818002e6e8ced180b98b8273bd2fc11f8ed0b0ff54eade7a5920a15ed4	thumb-nop	0
0x00438924	0x00438A32	0x00438A34	2	00bf	b35429818002e6e8ced180b98b8273bd2fc11f8ed0b0ff54eade7a5920a15ed4	thumb-nop	0
0x00438924	0x00438A56	0x00438A58	2	00bf	b35429818002e6e8ced180b98b8273bd2fc11f8ed0b0ff54eade7a5920a15ed4	thumb-nop	0
0x00438924	0x00438B24	0x00438B28	4	0216283a	55c523dbb5031915c58b1f61890749af56499837152c62c77f619ebeab7adc70	decompiler-omitted-executable-bytes-role-unresolved	0
0x00438924	0x00438B4E	0x00438B50	2	00bf	b35429818002e6e8ced180b98b8273bd2fc11f8ed0b0ff54eade7a5920a15ed4	thumb-nop	0
0x00438924	0x00438B72	0x00438B74	2	00bf	b35429818002e6e8ced180b98b8273bd2fc11f8ed0b0ff54eade7a5920a15ed4	thumb-nop	0
0x00438924	0x00438B96	0x00438B98	2	00bf	b35429818002e6e8ced180b98b8273bd2fc11f8ed0b0ff54eade7a5920a15ed4	thumb-nop	0
0x00438FB8	0x0043934E	0x00439360	18	00bf0000000030ae7e3f3fe8a8bb605c7d3f	3587e396c132a9a50bcf79d21d8a00c8137bfc73295b8b3d13b34aa424d0c42f	thumb-nop-plus-four-float-literal-pool	0
0x00438FB8	0x004394EA	0x004394EC	2	00bf	b35429818002e6e8ced180b98b8273bd2fc11f8ed0b0ff54eade7a5920a15ed4	thumb-nop	0
0x00438FB8	0x00439612	0x00439618	6	00bf9a99593f	639bf7ea0e1fa85dca162b06d84bcd2a6dfd903f3f8706d08fc1f89bc376b8aa	thumb-nop-plus-0.85f-literal	0
