address,name,namespace,type,source,primary,dynamic,external_entry
0x00000000,"MasterStackPointer","Global","Label","IMPORTED",true,false,false
0x00000004,"Reset","Global","Label","IMPORTED",true,false,true
0x00000008,"NMI","Global","Label","IMPORTED",true,false,true
0x0000000c,"HardFault","Global","Label","IMPORTED",true,false,true
0x00000010,"MemManage","Global","Label","IMPORTED",true,false,true
0x00000014,"BusFault","Global","Label","IMPORTED",true,false,true
0x00000018,"UsageFault","Global","Label","IMPORTED",true,false,true
0x0000001c,"Reserved1","Global","Label","IMPORTED",true,false,true
0x00000020,"Reserved2","Global","Label","IMPORTED",true,false,true
0x00000024,"Reserved3","Global","Label","IMPORTED",true,false,true
0x00000028,"Reserved4","Global","Label","IMPORTED",true,false,true
0x0000002c,"SVCall","Global","Label","IMPORTED",true,false,true
0x00000030,"Reserved5","Global","Label","IMPORTED",true,false,true
0x00000034,"Reserved6","Global","Label","IMPORTED",true,false,true
0x00000038,"PendSV","Global","Label","IMPORTED",true,false,true
0x0000003c,"SysTick","Global","Label","IMPORTED",true,false,true
0x00000040,"IRQ","Global","Label","IMPORTED",true,false,true
0x000001e0,"DAT_000001e0","Global","Label","DEFAULT",true,true,false
0x00000ff8,"DAT_00000ff8","Global","Label","DEFAULT",true,true,false
0x00027000,"DAT_00027000","Global","Label","DEFAULT",true,true,false
0x00027200,"LAB_00027200","Global","Label","DEFAULT",true,true,false
0x00027208,"thunk_FUN_00075f64","Global","Function","DEFAULT",true,false,false
0x0002720c,"DAT_0002720c","Global","Label","DEFAULT",true,true,false
0x00027214,"DAT_00027214","Global","Label","DEFAULT",true,true,false
0x00027218,"FUN_00027218","Global","Function","DEFAULT",true,false,true
0x00027238,"FUN_00027238","Global","Function","DEFAULT",true,false,false
0x00027258,"LAB_00027258","Global","Label","DEFAULT",true,true,false
0x0002725c,"FUN_0002725c","Global","Function","DEFAULT",true,false,true
0x0002725d,"FUN_0002725c+1","Global","Label","DEFAULT",true,true,false
0x000272b4,"DAT_000272b4","Global","Label","DEFAULT",true,true,false
0x000272b8,"FUN_000272b8","Global","Function","DEFAULT",true,false,false
0x000272ba,"LAB_000272ba","Global","Label","DEFAULT",true,true,false
0x000272ea,"LAB_000272ea","Global","Label","DEFAULT",true,true,false
0x000272f0,"FUN_000272f0","Global","Function","DEFAULT",true,false,false
0x00027302,"FUN_00027302","Global","Function","DEFAULT",true,false,false
0x00027304,"LAB_00027304","Global","Label","DEFAULT",true,true,false
