entry,end,size,name,namespace,calling_convention,parameters,return_type,thunk,no_return,external
0x00027208,0x0002720b,4,"thunk_FUN_00075f64","Global","unknown",0,"undefined",true,false,false
0x00027218,0x00027233,28,"FUN_00027218","Global","unknown",0,"undefined",false,false,false
0x00027238,0x0002725b,36,"FUN_00027238","Global","unknown",0,"undefined",false,false,false
0x0002725c,0x000272b3,88,"FUN_0002725c","Global","unknown",0,"undefined",false,false,false
0x000272b8,0x000272ef,56,"FUN_000272b8","Global","unknown",0,"undefined",false,false,false
0x000272f0,0x00027301,18,"FUN_000272f0","Global","unknown",0,"undefined",false,false,false
0x00027302,0x0002733b,58,"FUN_00027302","Global","unknown",0,"undefined",false,false,false
0x0002733c,0x0002734d,18,"FUN_0002733c","Global","unknown",0,"undefined",false,false,false
0x0002734e,0x0002737f,50,"FUN_0002734e","Global","unknown",0,"undefined",false,false,false
0x00027380,0x00027397,24,"FUN_00027380","Global","unknown",0,"undefined",false,false,false
0x00027398,0x000273b1,26,"FUN_00027398","Global","unknown",0,"undefined",false,false,false
0x000273b2,0x000273cb,26,"FUN_000273b2","Global","unknown",0,"undefined",false,false,false
0x000273cc,0x000273e5,26,"FUN_000273cc","Global","unknown",0,"undefined",false,false,false
0x000273e6,0x000273ff,26,"FUN_000273e6","Global","unknown",0,"undefined",false,false,false
0x00027400,0x00027419,26,"FUN_00027400","Global","unknown",0,"undefined",false,false,false
0x0002741a,0x00027443,42,"FUN_0002741a","Global","unknown",0,"undefined",false,false,false
0x00027444,0x00027461,30,"FUN_00027444","Global","unknown",0,"undefined",false,false,false
0x0002746a,0x0002746f,6,"FUN_0002746a","Global","unknown",0,"undefined",false,false,false
0x00027470,0x00027473,4,"FUN_00027470","Global","unknown",0,"undefined",false,false,false
0x00027484,0x00027487,4,"FUN_00027484","Global","unknown",0,"undefined",false,false,false
0x00027488,0x0002748f,8,"reset_handler","Global","unknown",0,"undefined",false,false,false
0x0002749c,0x0002749d,2,"FUN_0002749c","Global","unknown",0,"undefined",false,false,false
0x000274a2,0x000274a3,2,"FUN_000274a2","Global","unknown",0,"undefined",false,false,false
0x000274ac,0x000274b7,12,"FUN_000274ac","Global","unknown",0,"undefined",false,false,false
0x000274b8,0x000274c3,12,"FUN_000274b8","Global","unknown",0,"undefined",false,false,false
0x000274c4,0x000274cf,12,"FUN_000274c4","Global","unknown",0,"undefined",false,false,false
0x000274d0,0x000274db,12,"FUN_000274d0","Global","unknown",0,"undefined",false,false,false
0x000274dc,0x000274e7,12,"FUN_000274dc","Global","unknown",0,"undefined",false,false,false
0x000274e8,0x00027549,98,"FUN_000274e8","Global","unknown",0,"undefined",false,false,false
0x0002754a,0x000275ab,98,"FUN_0002754a","Global","unknown",0,"undefined",false,false,false
0x000275ac,0x000275c9,30,"FUN_000275ac","Global","unknown",0,"undefined",false,false,false
0x000275ca,0x000275e9,32,"FUN_000275ca","Global","unknown",0,"undefined",false,false,false
0x000275ec,0x000275ef,4,"FUN_000275ec","Global","unknown",0,"undefined",false,false,false
0x000275f4,0x00027605,18,"FUN_000275f4","Global","unknown",0,"undefined",false,false,false
0x00027606,0x000276a1,156,"FUN_00027606","Global","unknown",0,"undefined",false,false,false
0x000276a4,0x000276b7,20,"FUN_000276a4","Global","unknown",0,"undefined",false,false,false
0x000276b8,0x000276bd,6,"FUN_000276b8","Global","unknown",0,"undefined",false,false,false
0x000276c8,0x00027751,138,"FUN_000276c8","Global","unknown",0,"undefined",false,false,false
0x0002775c,0x0002779b,64,"FUN_0002775c","Global","unknown",0,"undefined",false,false,false
0x0002779c,0x000277a9,14,"FUN_0002779c","Global","unknown",0,"undefined",false,false,false
0x000277aa,0x000277ad,4,"FUN_000277aa","Global","unknown",0,"undefined",false,false,false
0x000277ae,0x000277bf,18,"FUN_000277ae","Global","unknown",0,"undefined",false,false,false
0x000277c0,0x000277d7,24,"FUN_000277c0","Global","unknown",0,"undefined",false,false,false
0x000277d8,0x000277ef,24,"FUN_000277d8","Global","unknown",0,"undefined",false,false,false
0x000277f0,0x000277fd,14,"FUN_000277f0","Global","unknown",0,"undefined",false,false,false
0x000277fe,0x00027819,28,"FUN_000277fe","Global","unknown",0,"undefined",false,false,false
0x0002781a,0x00027833,26,"FUN_0002781a","Global","unknown",0,"undefined",false,false,false
0x00027834,0x00027851,30,"FUN_00027834","Global","unknown",0,"undefined",false,false,false
0x00027854,0x00027891,62,"FUN_00027854","Global","unknown",0,"undefined",false,false,false
0x00027898,0x000278c7,48,"FUN_00027898","Global","unknown",0,"undefined",false,false,false
0x000278d0,0x00027a1b,332,"FUN_000278d0","Global","unknown",0,"undefined",false,false,false
0x00027a1c,0x00027afb,224,"FUN_00027a1c","Global","unknown",0,"undefined",false,false,false
0x00027afc,0x00027c3d,322,"FUN_00027afc","Global","unknown",0,"undefined",false,false,false
0x00027c3e,0x00027c43,6,"FUN_00027c3e","Global","unknown",0,"undefined",false,false,false
0x00027c44,0x00027c49,6,"FUN_00027c44","Global","unknown",0,"undefined",false,false,false
0x00027c4a,0x00027d2d,228,"FUN_00027c4a","Global","unknown",0,"undefined",false,false,false
0x00027d2e,0x00027e0b,222,"FUN_00027d2e","Global","unknown",0,"undefined",false,false,false
0x00027e0c,0x000280e5,136,"FUN_00027e0c","Global","unknown",0,"undefined",false,false,false
0x00027e38,0x00027e59,34,"FUN_00027e38","Global","unknown",0,"undefined",false,false,false
0x00027e5a,0x00027e73,26,"FUN_00027e5a","Global","unknown",0,"undefined",false,false,false
0x00027e74,0x00027eb1,62,"FUN_00027e74","Global","unknown",0,"undefined",false,false,false
0x00027eb2,0x00027ee3,50,"FUN_00027eb2","Global","unknown",0,"undefined",false,false,false
0x00027ee4,0x00027f09,38,"FUN_00027ee4","Global","unknown",0,"undefined",false,false,false
0x00027f0c,0x00027f3b,48,"FUN_00027f0c","Global","unknown",0,"undefined",false,false,false
0x00027f3c,0x00027f6b,48,"FUN_00027f3c","Global","unknown",0,"undefined",false,false,false
0x00027f6c,0x00027fa3,56,"FUN_00027f6c","Global","unknown",0,"undefined",false,false,false
0x00027fa4,0x00027fcf,44,"FUN_00027fa4","Global","unknown",0,"undefined",false,false,false
0x00027fd0,0x00027ff3,36,"FUN_00027fd0","Global","unknown",0,"undefined",false,false,false
0x00027ff4,0x0002800f,28,"FUN_00027ff4","Global","unknown",0,"undefined",false,false,false
0x0002801c,0x0002802f,20,"FUN_0002801c","Global","unknown",0,"undefined",false,false,false
0x00028078,0x00028089,18,"FUN_00028078","Global","unknown",0,"undefined",false,false,false
0x000280e6,0x00028121,60,"FUN_000280e6","Global","unknown",0,"undefined",false,false,false
0x00028122,0x0002813f,30,"FUN_00028122","Global","unknown",0,"undefined",false,false,false
0x00028140,0x000281db,156,"FUN_00028140","Global","unknown",0,"undefined",false,false,false
0x000281dc,0x00028209,46,"FUN_000281dc","Global","unknown",0,"undefined",false,false,false
0x0002820a,0x000282ab,162,"FUN_0002820a","Global","unknown",0,"undefined",false,false,false
0x000282ac,0x0002832f,132,"FUN_000282ac","Global","unknown",0,"undefined",false,false,false
0x00028334,0x00028363,48,"FUN_00028334","Global","unknown",0,"undefined",false,false,false
0x00028364,0x00028399,54,"FUN_00028364","Global","unknown",0,"undefined",false,false,false
0x0002839a,0x0002839d,4,"FUN_0002839a","Global","unknown",0,"undefined",false,false,false
0x000283a0,0x000286ed,846,"FUN_000283a0","Global","unknown",0,"undefined",false,false,false
0x000286f4,0x00028749,86,"FUN_000286f4","Global","unknown",0,"undefined",false,false,false
0x0002874c,0x00028ac7,892,"FUN_0002874c","Global","unknown",0,"undefined",false,false,false
