r1_entry,r1_name,rank,reference_entry,reference_name,similarity,significance,r1_self_significance,reference_self_significance
0x00027218,"FUN_00027218",1,0x00100138,"ReadRegWrap",0.089374707,-0.342502720,31.803584663,22.799443635
0x00027218,"FUN_00027218",2,0x00100300,"ST25DVxxKC_ReadUID",0.048430927,-1.248486116,31.803584663,25.053111358
0x00027218,"FUN_00027218",3,0x0010035a,"ST25DVxxKC_ReadDsfidRFProtection",0.047186249,-1.423516859,31.803584663,26.071009947
0x00027218,"FUN_00027218",4,0x00100384,"ST25DVxxKC_ReadAfiRFProtection",0.047186249,-1.423516859,31.803584663,26.071009947
0x00027218,"FUN_00027218",5,0x00101082,"ST25DVxxKC_GetFTM_MBWDG",0.047021582,-1.598547602,31.803584663,26.211762291
0x00027218,"FUN_00027218",6,0x0010113e,"ST25DVxxKC_GetMB_CTRL_DYN_HOSTPUTMSG",0.047021582,-1.598547602,31.803584663,26.211762291
0x00027218,"FUN_00027218",7,0x0010115a,"ST25DVxxKC_GetMB_CTRL_DYN_RFPUTMSG",0.047021582,-1.598547602,31.803584663,26.211762291
0x00027218,"FUN_00027218",8,0x00101176,"ST25DVxxKC_GetMB_CTRL_DYN_STRESERVED",0.047021582,-1.598547602,31.803584663,26.211762291
0x00027218,"FUN_00027218",9,0x00101192,"ST25DVxxKC_GetMB_CTRL_DYN_HOSTMISSMSG",0.047021582,-1.598547602,31.803584663,26.211762291
0x00027218,"FUN_00027218",10,0x001011ae,"ST25DVxxKC_GetMB_CTRL_DYN_RFMISSMSG",0.047021582,-1.598547602,31.803584663,26.211762291
0x00027218,"FUN_00027218",11,0x00101244,"ST25DVxxKC_GetI2CCFG_E0",0.047021582,-1.598547602,31.803584663,26.211762291
0x00027218,"FUN_00027218",12,0x0010129a,"ST25DVxxKC_GetI2CCFG_RFSWITCHOFF",0.047021582,-1.598547602,31.803584663,26.211762291
0x00027238,"FUN_00027238",1,0x00100138,"ReadRegWrap",0.098926156,-6.770382889,117.578171184,22.799443635
0x00027238,"FUN_00027238",2,0x00100ec8,"ST25DVxxKC_SetRFOff_Dyn",0.000000000,-9.490886878,117.578171184,10.133091162
0x00027238,"FUN_00027238",3,0x00100ece,"ST25DVxxKC_ResetRFOff_Dyn",0.000000000,-9.490886878,117.578171184,10.133091162
0x00027238,"FUN_00027238",4,0x00100f76,"ST25DVxxKC_GetICREF",0.000000000,-9.490886878,117.578171184,10.133091162
