profile	function	candidate_size	stock_size	absolute_size_delta	raw_match_possible_by_size	normalized_compare
Os	attsCsfSetHashUpdateStatus	80	596	-516	no	not_run_readiness_probe_only
O1	attsCsfSetHashUpdateStatus	96	596	-500	no	not_run_readiness_probe_only
Os	attsCsfGetHashUpdateStatus	12	8	4	no	not_run_readiness_probe_only
O1	attsCsfGetHashUpdateStatus	12	8	4	no	not_run_readiness_probe_only
Os	attsCsfIsClientChangeAware	44	372	-328	no	not_run_readiness_probe_only
O1	attsCsfIsClientChangeAware	44	372	-328	no	not_run_readiness_probe_only
Os	attsCsfActClientState	196	1478	-1282	no	not_run_readiness_probe_only
O1	attsCsfActClientState	228	1478	-1250	no	not_run_readiness_probe_only
Os	AttsCsfSetClientChangeAwareState	68	714	-646	no	not_run_readiness_probe_only
O1	AttsCsfSetClientChangeAwareState	80	714	-634	no	not_run_readiness_probe_only
Os	AttsCsfConnOpen	32	368	-336	no	not_run_readiness_probe_only
O1	AttsCsfConnOpen	48	368	-320	no	not_run_readiness_probe_only
Os	AttsCsfRegister	12	8	4	no	not_run_readiness_probe_only
O1	AttsCsfRegister	12	8	4	no	not_run_readiness_probe_only
Os	AttsCsfInit	16			not_applicable	not_run_readiness_probe_only
O1	AttsCsfInit	16			not_applicable	not_run_readiness_probe_only
Os	AttsCsfWriteFeatures	76	686	-610	no	not_run_readiness_probe_only
O1	AttsCsfWriteFeatures	80	686	-606	no	not_run_readiness_probe_only
Os	AttsCsfGetFeatures	28	298	-270	no	not_run_readiness_probe_only
O1	AttsCsfGetFeatures	32	298	-266	no	not_run_readiness_probe_only
Os	AttsCsfGetClientChangeAwareState	16	286	-270	no	not_run_readiness_probe_only
O1	AttsCsfGetClientChangeAwareState	16	286	-270	no	not_run_readiness_probe_only
