class	path	bytes	sha256
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_efs.c	19876	878125a6bb701d0875d58c05bfcb4ad770c9f95f8c09f69706959795bee7741a
cleanroom_shim	shim/string.h	217	3de902c63bdd0a9383ed5cc55fd72087a61e1335005e388e6151cf9eb8808b49
compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stddef.h		pinned by container identity
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_types.h	2118	69c8b5382a397284b9c9ac686e2345503a396f1c5eb305064720feb83bed91b1
compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stdint.h		pinned by container identity
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_efs.h	16408	b077c6e8890ea0611350b68e3b705d1d54cb2e3329a7ce4054be8cc072d659ac
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_assert.h	2862	d3518013f48697e0033a5d8488cb7ec5a7cb75e6961f129f66a0d562802dcbe4
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_trace.h	15307	41d28cd39d4e0fda71ba031ed766321c4df1d90888cb40c1f7d62cad1198d50f
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_cs.h	2847	8837e8880b96b40f78fabc59bd65f7d892f576b13af5b14f32a12a13d4e0e10f
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_os.h	7073	8ea50e3b084ea103ed505e5dd328c89d751df4958f45f447fd083e1bea8d20c9
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_os_int.h	4118	24d06d04a64f5d1b3f7efa0a1be74ce5bae24e1cfb695cb2c865ec03caa0b3a4
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_queue.h	5730	3657f2e5bc8c9e9c77ba766ddb5b9488947464fc8077eee0d89cd3f08d6025cd
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/util/bstream.h	7338	fe0c9740fce2887e9d5f78f4ba4610456d7f809d311c126ae42d1efb33ee88db
ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/util/bda.h	4843	67468c7aa1471a462e2b8959c8c0eab597610fe608a1e9dcafbf4b65f7062397
