marker	needle_hex	stock_hits	stock_file_offsets
source_basename_wsf_efs.c	7773665f6566732e63	0	
symbol_prefix_WsfEfs	577366456673	0	
symbol_prefix_wsfEfs	777366456673	0	
profile_source_wdxs	776478735f	0	
profile_text_WDXS	57445853	0	
wdx_uuid_2	65786163744c45b0d54ef22f02005f00	0	
wdx_uuid_3	65786163744c45b0d54ef22f03005f00	0	
wdx_uuid_4	65786163744c45b0d54ef22f04005f00	0	
wdx_uuid_5	65786163744c45b0d54ef22f05005f00	0	
fallback_Unknown_cstring_nonunique	556e6b6e6f776e00	6	0x3542ca,0x35440e,0x354a44,0x3551fc,0x3561ec,0x35674c
