source_order	function	linkage	stock_status
1	smpDbStartServiceTimer	static	not_bounded_in_probe
2	smpDbRecordInUse	static	not_bounded_in_probe
3	smpDbAddDevice	static	anchored_stock;inlined_by_both_gcc_profiles
4	smpDbGetRecord	static	anchored_stock
5	SmpDbInit	public	not_bounded_in_probe
6	SmpDbGetPairingDisabledTime	public	anchored_stock
7	SmpDbSetFailureCount	public	anchored_stock
8	SmpDbGetFailureCount	public	anchored_stock
9	SmpDbMaxAttemptReached	public	anchored_stock
10	SmpDbPairingFailed	public	anchored_stock
11	SmpDbService	public	not_bounded_in_probe
12	SmpDbRemoveAllDevices	public	not_bounded_in_probe
13	SmpDbRemoveDevice	public	not_bounded_in_probe
