# Every direct edge from the wave-5 root is already accounted outside the actionable residual
entry	call_count	closure_depth	accounting_state	owner	parent_official_opaque_bytes	wave5_new_opaque_bytes	evidence
0x004397A8	7	1	existing-source-recreated-zero-opaque	IAR-DLIB-sqrtf	0	0	IAR runtime analyzer source_recreated_redirected span
0x0051565C	3	1	prior-typed	apollo-opacity-wave2	16	0	wave-2 authenticated body and boundary
0x00516B34	14	1	prior-typed	apollo-opacity-wave2	170	0	wave-2 authenticated body and boundary
0x005177A4	8	1	prior-typed	apollo-opacity-wave3	172	0	wave-3 authenticated body and boundary
0x0051785C	8	1	prior-typed	apollo-opacity-wave3	372	0	wave-3 authenticated body and boundary
0x00522622	4	1	prior-typed	apollo-opacity-wave3	12	0	wave-3 authenticated body and boundary
0x0052266E	9	1	prior-typed	apollo-opacity-wave2	68	0	wave-2 authenticated body and boundary
0x005226B2	7	1	prior-typed	apollo-opacity-wave1	36	0	wave-1 authenticated body and boundary
0x00522F50	6	1	prior-typed	apollo-opacity-wave3	100	0	wave-3 authenticated body and boundary
0x00522FB4	2	1	prior-typed	apollo-opacity-wave3	716	0	wave-3 authenticated body and boundary
0x00523284	2	1	prior-typed	apollo-opacity-wave3	62	0	wave-3 authenticated body and boundary
0x00524218	2	1	prior-typed	apollo-opacity-wave3	64	0	wave-3 authenticated body and boundary
0x005639E8	2	1	prior-typed	apollo-opacity-wave2	1364	0	wave-2 authenticated body and boundary
