lane	config	functions	exact_size	aggregate_abs_size_delta	raw_matches	strict_normalized_matches
ambiq_exact__O0	O0	2	0	82	0	0
ambiq_exact__O1	O1	2	0	10	0	0
ambiq_exact__Og	Og	2	0	34	0	0
ambiq_exact__Og_nosibling	Og_nosibling	2	0	34	0	0
ambiq_exact__O2	O2	2	0	46	0	0
ambiq_exact__O2_noinline	O2_noinline	2	0	46	0	0
ambiq_exact__O3	O3	2	0	46	0	0
ambiq_exact__O3_noinline	O3_noinline	2	0	46	0	0
ambiq_exact__Os	Os	2	0	64	0	0
ambiq_exact__Os_noinline	Os_noinline	2	0	64	0	0
ambiq_exact__Os_nosibling	Os_nosibling	2	0	64	0	0
ambiq_exact__Oz	Oz	2	0	64	0	0
ambiq_exact__Oz_nosibling	Oz_nosibling	2	0	64	0	0
