lane	config	symbol	size	stock_bounded
ambiq_exact__O0	O0	WStrReverseCpy	84	yes
ambiq_exact__O0	O0	WStrReverse	116	yes
ambiq_exact__O0	O0	WstrnCpy	122	no
ambiq_exact__O1	O1	WStrReverseCpy	38	yes
ambiq_exact__O1	O1	WstrnCpy	44	no
ambiq_exact__O1	O1	WStrReverse	70	yes
ambiq_exact__Og	Og	WStrReverseCpy	38	yes
ambiq_exact__Og	Og	WStrReverse	46	yes
ambiq_exact__Og	Og	WstrnCpy	46	no
ambiq_exact__Og_nosibling	Og_nosibling	WStrReverseCpy	38	yes
ambiq_exact__Og_nosibling	Og_nosibling	WStrReverse	46	yes
ambiq_exact__Og_nosibling	Og_nosibling	WstrnCpy	46	no
ambiq_exact__O2	O2	WStrReverse	36	yes
ambiq_exact__O2	O2	WStrReverseCpy	36	yes
ambiq_exact__O2	O2	WstrnCpy	38	no
ambiq_exact__O2_noinline	O2_noinline	WStrReverse	36	yes
ambiq_exact__O2_noinline	O2_noinline	WStrReverseCpy	36	yes
ambiq_exact__O2_noinline	O2_noinline	WstrnCpy	38	no
ambiq_exact__O3	O3	WStrReverse	36	yes
ambiq_exact__O3	O3	WStrReverseCpy	36	yes
ambiq_exact__O3	O3	WstrnCpy	38	no
ambiq_exact__O3_noinline	O3_noinline	WStrReverse	36	yes
ambiq_exact__O3_noinline	O3_noinline	WStrReverseCpy	36	yes
ambiq_exact__O3_noinline	O3_noinline	WstrnCpy	38	no
ambiq_exact__Os	Os	WStrReverseCpy	26	yes
ambiq_exact__Os	Os	WStrReverse	28	yes
ambiq_exact__Os	Os	WstrnCpy	42	no
ambiq_exact__Os_noinline	Os_noinline	WStrReverseCpy	26	yes
ambiq_exact__Os_noinline	Os_noinline	WStrReverse	28	yes
ambiq_exact__Os_noinline	Os_noinline	WstrnCpy	42	no
ambiq_exact__Os_nosibling	Os_nosibling	WStrReverseCpy	26	yes
ambiq_exact__Os_nosibling	Os_nosibling	WStrReverse	28	yes
ambiq_exact__Os_nosibling	Os_nosibling	WstrnCpy	42	no
ambiq_exact__Oz	Oz	WStrReverseCpy	26	yes
ambiq_exact__Oz	Oz	WStrReverse	28	yes
ambiq_exact__Oz	Oz	WstrnCpy	42	no
ambiq_exact__Oz_nosibling	Oz_nosibling	WStrReverseCpy	26	yes
ambiq_exact__Oz_nosibling	Oz_nosibling	WStrReverse	28	yes
ambiq_exact__Oz_nosibling	Oz_nosibling	WstrnCpy	42	no
