address,name,type,source,primary
0x000f8000,"DAT_000f8000","Label","DEFAULT",true
0x000f8200,"LAB_000f8200","Label","DEFAULT",true
0x000f8208,"armcc_runtime_entry_veneer","Function","USER_DEFINED",true
0x000f820c,"DAT_000f820c","Label","DEFAULT",true
0x000f8214,"DAT_000f8214","Label","DEFAULT",true
0x000f8218,"nrf_atfifo_wspace_req","Function","USER_DEFINED",true
0x000f821a,"LAB_000f821a","Label","DEFAULT",true
0x000f824a,"LAB_000f824a","Label","DEFAULT",true
0x000f8250,"nrf_atfifo_wspace_close","Function","USER_DEFINED",true
0x000f8262,"nrf_atfifo_rspace_req","Function","USER_DEFINED",true
0x000f8264,"LAB_000f8264","Label","DEFAULT",true
0x000f8296,"LAB_000f8296","Label","DEFAULT",true
0x000f829c,"nrf_atfifo_rspace_close","Function","USER_DEFINED",true
0x000f82ae,"nrf_atfifo_space_clear","Function","USER_DEFINED",true
0x000f82b0,"LAB_000f82b0","Label","DEFAULT",true
0x000f82d6,"LAB_000f82d6","Label","DEFAULT",true
0x000f82e0,"nrf_atomic_internal_mov","Function","USER_DEFINED",true
0x000f82e4,"LAB_000f82e4","Label","DEFAULT",true
0x000f82f8,"nrf_atomic_internal_orr","Function","USER_DEFINED",true
0x000f82fc,"LAB_000f82fc","Label","DEFAULT",true
0x000f8312,"nrf_atomic_internal_and","Function","USER_DEFINED",true
0x000f8316,"LAB_000f8316","Label","DEFAULT",true
0x000f832c,"nrf_atomic_internal_eor","Function","USER_DEFINED",true
0x000f8330,"LAB_000f8330","Label","DEFAULT",true
0x000f8346,"nrf_atomic_internal_add","Function","USER_DEFINED",true
0x000f834a,"LAB_000f834a","Label","DEFAULT",true
0x000f8360,"nrf_atomic_internal_sub","Function","USER_DEFINED",true
0x000f8364,"LAB_000f8364","Label","DEFAULT",true
0x000f837a,"nrf_atomic_internal_cmp_exch","Function","USER_DEFINED",true
0x000f8382,"LAB_000f8382","Label","DEFAULT",true
0x000f83a4,"nrf_atomic_internal_sub_hs","Function","USER_DEFINED",true
0x000f83a8,"LAB_000f83a8","Label","DEFAULT",true
0x000f83c4,"SVC_Handler","Function","USER_DEFINED",true
0x000f83c5,"SVC_Handler+1","Label","DEFAULT",true
0x000f83d8,"Reset_Handler","Function","USER_DEFINED",true
0x000f83d9,"Reset_Handler+1","Label","DEFAULT",true
0x000f83e0,"NMI_Handler","Function","USER_DEFINED",true
0x000f83e1,"NMI_Handler+1","Label","DEFAULT",true
0x000f83e2,"HardFault_Handler","Function","USER_DEFINED",true
0x000f83e3,"HardFault_Handler+1","Label","DEFAULT",true
0x000f83e4,"MemoryManagement_Handler","Function","USER_DEFINED",true
0x000f83e5,"MemoryManagement_Handler+1","Label","DEFAULT",true
0x000f83e6,"BusFault_Handler","Function","USER_DEFINED",true
0x000f83e7,"BusFault_Handler+1","Label","DEFAULT",true
0x000f83e8,"UsageFault_Handler","Function","USER_DEFINED",true
0x000f83e9,"UsageFault_Handler+1","Label","DEFAULT",true
0x000f83ec,"DebugMon_Handler","Function","USER_DEFINED",true
0x000f83ed,"DebugMon_Handler+1","Label","DEFAULT",true
0x000f83ee,"PendSV_Handler","Function","USER_DEFINED",true
0x000f83ef,"PendSV_Handler+1","Label","DEFAULT",true
0x000f83f0,"SysTick_Handler","Function","USER_DEFINED",true
0x000f83f1,"SysTick_Handler+1","Label","DEFAULT",true
0x000f83f2,"Default_Handler","Function","USER_DEFINED",true
0x000f83f3,"Default_Handler+1","Label","DEFAULT",true
0x000f83f4,"DAT_000f83f4","Label","DEFAULT",true
0x000f83f8,"DAT_000f83f8","Label","DEFAULT",true
0x000f83fc,"armcc_runtime_lsl64","Function","USER_DEFINED",true
0x000f840a,"LAB_000f840a","Label","DEFAULT",true
0x000f841a,"memmove","Function","USER_DEFINED",true
0x000f842a,"LAB_000f842a","Label","DEFAULT",true
0x000f8432,"LAB_000f8432","Label","DEFAULT",true
0x000f8438,"LAB_000f8438","Label","DEFAULT",true
0x000f8442,"LAB_000f8442","Label","DEFAULT",true
0x000f8448,"LAB_000f8448","Label","DEFAULT",true
0x000f844e,"LAB_000f844e","Label","DEFAULT",true
0x000f8456,"LAB_000f8456","Label","DEFAULT",true
0x000f845c,"armcc_memset_core","Function","USER_DEFINED",true
0x000f8460,"LAB_000f8460","Label","DEFAULT",true
0x000f8464,"LAB_000f8464","Label","DEFAULT",true
0x000f846a,"armcc_memclr","Function","USER_DEFINED",true
0x000f846e,"memset","Function","USER_DEFINED",true
0x000f8480,"strlen","Function","USER_DEFINED",true
0x000f8482,"LAB_000f8482","Label","DEFAULT",true
0x000f848e,"memcmp","Function","USER_DEFINED",true
0x000f8498,"LAB_000f8498","Label","DEFAULT",true
0x000f849a,"LAB_000f849a","Label","DEFAULT",true
0x000f84a6,"LAB_000f84a6","Label","DEFAULT",true
0x000f84a8,"strncmp","Function","USER_DEFINED",true
0x000f84b2,"LAB_000f84b2","Label","DEFAULT",true
0x000f84b4,"LAB_000f84b4","Label","DEFAULT",true
0x000f84c4,"LAB_000f84c4","Label","DEFAULT",true
0x000f84c8,"armcc_scatterload","Function","USER_DEFINED",true
0x000f84ce,"LAB_000f84ce","Label","DEFAULT",true
0x000f84dc,"LAB_000f84dc","Label","DEFAULT",true
0x000f84e4,"LAB_000f84e4","Label","DEFAULT",true
0x000f84e8,"DAT_000f84e8","Label","DEFAULT",true
0x000f84ec,"CRYPTOCELL_IRQHandler","Function","USER_DEFINED",true
0x000f84ed,"CRYPTOCELL_IRQHandler+1","Label","DEFAULT",true
0x000f8504,"DAT_000f8504","Label","DEFAULT",true
0x000f8508,"DAT_000f8508","Label","DEFAULT",true
0x000f850c,"DAT_000f850c","Label","DEFAULT",true
0x000f8510,"CRYS_COMMON_ReverseMemcpy32","Function","USER_DEFINED",true
0x000f8516,"LAB_000f8516","Label","DEFAULT",true
0x000f851e,"LAB_000f851e","Label","DEFAULT",true
0x000f852c,"PkaAddAff","Function","USER_DEFINED",true
0x000f8532,"LAB_000f8532","Label","DEFAULT",true
0x000f8542,"LAB_000f8542","Label","DEFAULT",true
0x000f8550,"LAB_000f8550","Label","DEFAULT",true
0x000f855e,"LAB_000f855e","Label","DEFAULT",true
0x000f856c,"LAB_000f856c","Label","DEFAULT",true
0x000f857a,"LAB_000f857a","Label","DEFAULT",true
0x000f8588,"LAB_000f8588","Label","DEFAULT",true
0x000f8596,"LAB_000f8596","Label","DEFAULT",true
0x000f85a4,"LAB_000f85a4","Label","DEFAULT",true
0x000f85b2,"LAB_000f85b2","Label","DEFAULT",true
0x000f85c0,"LAB_000f85c0","Label","DEFAULT",true
0x000f85ce,"LAB_000f85ce","Label","DEFAULT",true
0x000f85da,"LAB_000f85da","Label","DEFAULT",true
0x000f85e8,"LAB_000f85e8","Label","DEFAULT",true
0x000f8604,"DAT_000f8604","Label","DEFAULT",true
0x000f8608,"DAT_000f8608","Label","DEFAULT",true
0x000f860c,"DAT_000f860c","Label","DEFAULT",true
0x000f8610,"DAT_000f8610","Label","DEFAULT",true
0x000f8614,"DAT_000f8614","Label","DEFAULT",true
0x000f8618,"DAT_000f8618","Label","DEFAULT",true
0x000f861c,"DAT_000f861c","Label","DEFAULT",true
0x000f8620,"DAT_000f8620","Label","DEFAULT",true
0x000f8624,"DAT_000f8624","Label","DEFAULT",true
0x000f8628,"DAT_000f8628","Label","DEFAULT",true
0x000f862c,"DAT_000f862c","Label","DEFAULT",true
0x000f8630,"DAT_000f8630","Label","DEFAULT",true
0x000f8634,"DAT_000f8634","Label","DEFAULT",true
0x000f8638,"DAT_000f8638","Label","DEFAULT",true
0x000f863c,"DAT_000f863c","Label","DEFAULT",true
0x000f8640,"PkaAddJcbAfn2Mdf","Function","USER_DEFINED",true
0x000f8648,"LAB_000f8648","Label","DEFAULT",true
0x000f8658,"LAB_000f8658","Label","DEFAULT",true
0x000f866c,"LAB_000f866c","Label","DEFAULT",true
0x000f8678,"LAB_000f8678","Label","DEFAULT",true
0x000f868e,"LAB_000f868e","Label","DEFAULT",true
0x000f869a,"LAB_000f869a","Label","DEFAULT",true
0x000f86a8,"LAB_000f86a8","Label","DEFAULT",true
0x000f86b6,"LAB_000f86b6","Label","DEFAULT",true
0x000f86c4,"LAB_000f86c4","Label","DEFAULT",true
0x000f86d2,"LAB_000f86d2","Label","DEFAULT",true
0x000f86e0,"LAB_000f86e0","Label","DEFAULT",true
0x000f86ee,"LAB_000f86ee","Label","DEFAULT",true
0x000f86fc,"LAB_000f86fc","Label","DEFAULT",true
0x000f870a,"LAB_000f870a","Label","DEFAULT",true
0x000f8718,"LAB_000f8718","Label","DEFAULT",true
0x000f8726,"LAB_000f8726","Label","DEFAULT",true
0x000f8736,"LAB_000f8736","Label","DEFAULT",true
0x000f8746,"LAB_000f8746","Label","DEFAULT",true
0x000f8754,"LAB_000f8754","Label","DEFAULT",true
0x000f8762,"LAB_000f8762","Label","DEFAULT",true
0x000f8770,"LAB_000f8770","Label","DEFAULT",true
0x000f8784,"DAT_000f8784","Label","DEFAULT",true
0x000f8788,"DAT_000f8788","Label","DEFAULT",true
0x000f878c,"DAT_000f878c","Label","DEFAULT",true
0x000f8790,"DAT_000f8790","Label","DEFAULT",true
0x000f8794,"DAT_000f8794","Label","DEFAULT",true
0x000f8798,"DAT_000f8798","Label","DEFAULT",true
