entry,previous_name,applied_name,name_kind,confidence,evidence
0x000f8208,"thunk_FUN_000fadc8","armcc_runtime_entry_veneer","recovered","high","ArmCC startup veneer loading the recovered Thumb main address and branching to it"
0x000f8218,"FUN_000f8218","nrf_atfifo_wspace_req","recovered","high","Nordic nrf_atfifo source behavior plus BSim family match"
0x000f8250,"FUN_000f8250","nrf_atfifo_wspace_close","recovered","high","Nordic nrf_atfifo source behavior plus BSim family match"
0x000f8262,"FUN_000f8262","nrf_atfifo_rspace_req","recovered","high","Nordic nrf_atfifo source behavior plus BSim family match"
0x000f829c,"FUN_000f829c","nrf_atfifo_rspace_close","recovered","high","Nordic nrf_atfifo source behavior plus BSim family match"
0x000f82ae,"FUN_000f82ae","nrf_atfifo_space_clear","recovered","high","Nordic nrf_atfifo source behavior plus BSim family match"
0x000f82e0,"FUN_000f82e0","nrf_atomic_internal_mov","recovered","high","instruction-identical __CC_ARM SDK assembly helper"
0x000f82f8,"FUN_000f82f8","nrf_atomic_internal_orr","recovered","high","instruction-identical __CC_ARM SDK assembly helper"
0x000f8312,"FUN_000f8312","nrf_atomic_internal_and","recovered","high","instruction-identical __CC_ARM SDK assembly helper"
0x000f832c,"FUN_000f832c","nrf_atomic_internal_eor","recovered","high","instruction-identical __CC_ARM SDK assembly helper"
0x000f8346,"FUN_000f8346","nrf_atomic_internal_add","recovered","high","instruction-identical __CC_ARM SDK assembly helper"
0x000f8360,"FUN_000f8360","nrf_atomic_internal_sub","recovered","high","instruction-identical __CC_ARM SDK assembly helper"
0x000f837a,"FUN_000f837a","nrf_atomic_internal_cmp_exch","recovered","high","instruction-identical __CC_ARM SDK assembly helper"
0x000f83a4,"FUN_000f83a4","nrf_atomic_internal_sub_hs","recovered","high","instruction-identical __CC_ARM SDK assembly helper"
0x000f83c4,"SVC_Handler","SVC_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83d8,"Reset_Handler","Reset_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83e0,"FUN_000f83e0","NMI_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83e2,"FUN_000f83e2","HardFault_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83e4,"FUN_000f83e4","MemoryManagement_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83e6,"FUN_000f83e6","BusFault_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83e8,"FUN_000f83e8","UsageFault_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83ec,"FUN_000f83ec","DebugMon_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83ee,"FUN_000f83ee","PendSV_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83f0,"FUN_000f83f0","SysTick_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83f2,"FUN_000f83f2","Default_Handler","recovered","high","nRF52840 vector slot and handler body"
0x000f83fc,"FUN_000f83fc","armcc_runtime_lsl64","recovered","medium","descriptive name from recovered 64-bit left-shift semantics"
0x000f841a,"FUN_000f841a","memmove","recovered","high","forward/backward overlap-aware copy semantics"
0x000f845c,"FUN_000f845c","armcc_memset_core","recovered","high","byte-fill semantics; __CC_ARM argument order"
0x000f846a,"FUN_000f846a","armcc_memclr","recovered","high","zero-fill tail wrapper over armcc_memset_core"
0x000f846e,"FUN_000f846e","memset","recovered","high","standard argument-order wrapper over armcc_memset_core"
0x000f8480,"FUN_000f8480","strlen","recovered","high","direct string-length semantics and BSim"
0x000f848e,"FUN_000f848e","memcmp","recovered","medium","bounded byte-comparison loop; return register obscured by decompiler"
0x000f84a8,"FUN_000f84a8","strncmp","recovered","medium","bounded NUL-terminated byte-comparison loop"
0x000f84c8,"FUN_000f84c8","armcc_scatterload","recovered","high","ArmCC scatter table walker over 16-byte records followed by the runtime-entry veneer"
0x000f84ec,"FUN_000f84ec","CRYPTOCELL_IRQHandler","recovered","high","nRF52840 vector slot and handler body"
0x000f8510,"FUN_000f8510","CRYS_COMMON_ReverseMemcpy32","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f852c,"FUN_000f852c","PkaAddAff","recovered","high","exact CC310 archive symbol order, affine-add control flow, and PkaJcb2Afn call topology"
0x000f8640,"FUN_000f8640","PkaAddJcbAfn2Mdf","recovered","high","exact CC310 archive symbol and PkaSum2ScalarMullt call-position correlation"
0x000f87d4,"FUN_000f87d4","PkaClearBlockOfRegs","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f8914,"FUN_000f8914","PkaCopyDataIntoPkaReg","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f89d0,"FUN_000f89d0","PkaDoubleMdf2Jcb","recovered","high","exact CC310 archive symbol and PkaSum2ScalarMullt call-position correlation"
0x000f8b48,"FUN_000f8b48","PkaDoubleMdf2Mdf","recovered","high","exact CC310 archive symbol and PkaSum2ScalarMullt call-position correlation"
0x000f8cf4,"FUN_000f8cf4","PkaEcdsaVerify","recovered","high","exact CC310 archive symbol, ECDSA verification caller, and PkaSum2ScalarMullt callee"
0x000f8f80,"FUN_000f8f80","PkaFinishAndMutexUnlock","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f8fa4,"FUN_000f8fa4","PkaGetNextMsBit","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9018,"FUN_000f9018","PkaGetRegEffectiveSizeInBits","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f90a8,"FUN_000f90a8","PkaInitPka","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9124,"FUN_000f9124","PkaJcb2Afn","recovered","medium","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f91d4,"FUN_000f91d4","PkaSetRegsMapTab","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f921c,"FUN_000f921c","PkaSetRegsSizesTab","recovered","medium","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9258,"FUN_000f9258","PkaSum2ScalarMullt","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f943c,"FUN_000f943c","SaSi_HalClearInterruptBit","recovered","high","exact CC310 HAL symbol order and recovered HOST_ICR register literal"
0x000f9448,"FUN_000f9448","SaSi_HalMaskInterrupt","recovered","high","exact CC310 HAL symbol order and recovered HOST_IMR register literal"
0x000f9454,"FUN_000f9454","SaSi_HalWaitInterrupt","recovered","medium","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9488,"memmove","SaSi_PalMemCopy","recovered","high","exact CC310 PAL wrapper slot and tail branch to the recovered overlap-safe copy runtime"
0x000f948c,"memset","SaSi_PalMemSet","recovered","high","exact CC310 PAL wrapper slot and tail branch to the recovered memset runtime"
0x000f9490,"FUN_000f9490","PkaInitAndMutexLock","recovered","medium","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f95fc,"FUN_000f95fc","nrf_cc310_bl_ecdsa_verify_init_secp256r1","recovered","medium","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9648,"FUN_000f9648","nrf_cc310_bl_ecdsa_verify_hash_secp256r1","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9670,"FUN_000f9670","nrf_cc310_bl_hash_sha256_finalize","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f96d0,"FUN_000f96d0","nrf_cc310_bl_hash_sha256_init","recovered","medium","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9704,"FUN_000f9704","nrf_cc310_bl_hash_sha256_update","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f97a8,"FUN_000f97a8","nrf_cc310_bl_hash_update_internal","recovered","high","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9898,"FUN_000f9898","nrf_cc310_bl_init","recovered","medium","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9958,"FUN_000f9958","verify_context_ecdsa_verify_secp256r1","recovered","medium","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9978,"FUN_000f9978","verify_context_hash_sha256","recovered","medium","CryptoCell/CC310 source corpus, call cluster, and BSim semantic match"
0x000f9998,"FUN_000f9998","RTC2_IRQHandler","recovered","high","nRF52840 vector slot and handler body"
0x000f9a0c,"thunk_FUN_000fc30c","SWI2_EGU2_IRQHandler_vector","recovered","high","nRF52840 vector slot and handler body"
0x000f9a10,"main","SystemInit","recovered","high","exact Nordic nRF52 system startup/errata and UICR initialization flow"
0x000f9c30,"FUN_000f9c30","SWI0_EGU0_IRQHandler","recovered","high","nRF52840 vector slot and handler body"
0x000f9c44,"thunk_FUN_000f9c4c","armcc_scatterload_copy","recovered","high","ArmCC scatter-copy entry branch into the recovered word-copy loop"
0x000f9c4c,"FUN_000f9c4c","armcc_scatterload_copy_loop","recovered","high","compiler-created overlapping local entry for the ArmCC scatter word-copy loop"
0x000f9c64,"FUN_000f9c64","__sd_nvic_app_accessible_irq","recovered","high","exact S140 nrf_nvic.h application-accessible IRQ predicate"
0x000f9c88,"FUN_000f9c88","addr_is_aligned32","recovered","high","exact Nordic fstorage 32-bit address-alignment predicate"
0x000f9c94,"FUN_000f9c94","addr_is_within_bounds","recovered","high","exact Nordic fstorage overflow-safe start/end bounds predicate"
0x000f9cac,"dfu_advertising_name_get","dfu_advertising_name_get","recovered","high","security-audit control/data-flow recovery"
0x000f9d44,"FUN_000f9d44","advertising_start","recovered","high","exact Nordic BLE DFU advertising parameter setup, initialization, stop, and start flow"
0x000f9d78,"nrf_bootloader_app_activate","nrf_bootloader_app_activate","recovered","high","security-audit activation dispatcher call target"
0x000f9dc4,"FUN_000f9dc4","app_error_handler_bare","recovered","high","exact Nordic error wrapper tail call to the recovered fault handler"
0x000f9dc8,"FUN_000f9dc8","app_sched_event_put","recovered","high","exact Nordic scheduler queue insertion and critical-region behavior"
0x000f9e68,"FUN_000f9e68","app_sched_execute","recovered","high","exact Nordic scheduler dequeue-and-dispatch loop"
0x000f9ea8,"FUN_000f9ea8","app_sched_init","recovered","high","exact Nordic scheduler queue geometry and initialization flow"
0x000f9ed4,"FUN_000f9ed4","app_util_critical_region_enter","recovered","high","BSim 0.688 plus interrupt-mask semantics"
0x000f9f1c,"FUN_000f9f1c","app_util_critical_region_exit","recovered","high","BSim 0.676 plus interrupt-mask semantics"
0x000f9f50,"nrf_bootloader_bl_activate","nrf_bootloader_bl_activate","recovered","high","security-audit bootloader activation path and SDK bl_activate"
0x000f9f9c,"FUN_000f9f9c","ble_dfu_init","recovered","high","exact Nordic BLE DFU service, vendor UUID, and control-point characteristic setup"
0x000fa060,"FUN_000fa060","ble_dfu_req_handler_callback","recovered","high","exact Nordic BLE DFU response construction, extended-error handling, and indication path"
0x000fa118,"FUN_000fa118","ble_dfu_transport_close","recovered","high","exact Nordic BLE DFU shutdown, disconnect delay, advertising stop, and SDH disable flow"
0x000fa178,"FUN_000fa178","ble_dfu_transport_init","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fa210,"FUN_000fa210","ble_evt_handler","recovered","high","exact Nordic BLE DFU event dispatcher across connection, write, authorization, and advertising events"
0x000fa3e8,"FUN_000fa3e8","ble_srv_is_notification_enabled","recovered","high","exact BSim match and CCCD-bit semantics"
0x000fa3f0,"FUN_000fa3f0","boot_validate","recovered","high","exact Nordic static CRC-skip gate and boot-validation dispatch"
0x000fa400,"FUN_000fa400","boot_validation_crc","recovered","high","exact Nordic settings boot-validation CRC range and seed"
0x000fa40c,"FUN_000fa40c","boot_validation_extract","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fa4a4,"FUN_000fa4a4","bootloader_reset","recovered","high","exact Nordic bootloader settings-backup and system-reset helper"
0x000fa4e4,"FUN_000fa4e4","cc310_backend_mutex_trylock","recovered","high","exact Nordic SDK CryptoCell mutex wrapper and all recovered CC310_BL callers"
0x000fa500,"FUN_000fa500","cc310_backend_mutex_unlock","recovered","high","exact Nordic SDK CryptoCell mutex wrapper and all recovered CC310_BL callers"
0x000fa510,"FUN_000fa510","cc310_bl_backend_disable","recovered","high","exact Nordic SDK interrupt-enabled CryptoCell disable path and all recovered callers"
0x000fa534,"FUN_000fa534","cc310_bl_backend_enable","recovered","high","exact Nordic SDK interrupt-enabled CryptoCell enable path and all recovered callers"
0x000fa54c,"FUN_000fa54c","cc310_bl_backend_hash_sha256_finalize","recovered","high","exact Nordic SDK CC310_BL source semantics and immutable SHA-256 provider table"
0x000fa594,"FUN_000fa594","cc310_bl_backend_hash_sha256_init","recovered","high","exact Nordic SDK CC310_BL source semantics and immutable SHA-256 provider table"
0x000fa5a4,"FUN_000fa5a4","cc310_bl_backend_hash_sha256_update","recovered","high","exact Nordic SDK CC310_BL source semantics and immutable SHA-256 provider table"
0x000fa608,"FUN_000fa608","cc310_bl_backend_init","recovered","high","exact Nordic SDK CC310_BL initialization semantics and immutable backend table"
0x000fa640,"FUN_000fa640","cc310_bl_backend_uninit","recovered","high","exact Nordic SDK CC310_BL uninitialization semantics and immutable backend table"
0x000fa64c,"FUN_000fa64c","cmd_response_offset_and_crc_set","recovered","high","exact Nordic command-response offset and CRC copy helper"
0x000fa65c,"FUN_000fa65c","crc32_compute","recovered","high","unique BSim match and 0xedb88320 reflected CRC polynomial literal"
0x000fa698,"FUN_000fa698","crc_ok","recovered","high","exact Nordic DFU settings stored-versus-computed CRC predicate"
0x000fa6b8,"FUN_000fa6b8","crypto_init","recovered","high","exact Nordic DFU validation one-time crypto and public-key initialization flow"
0x000fa776,"FUN_000fa776","nanopb_decode_field","recovered","high","BSim significance 121 and nanopb decoder call cluster"
0x000fa870,"nrf_bootloader_app_is_valid","nrf_bootloader_app_is_valid","recovered","high","security-audit boot-validation recovery"
0x000fa908,"FUN_000fa908","nrf_bootloader_dfu_observer","recovered","high","exact static dfu_observer from nrf_bootloader.c, qualified to avoid the SDK-local duplicate"
0x000fa950,"FUN_000fa950","nrf_dfu_observer","recovered","high","exact static dfu_observer from nrf_dfu.c, qualified to avoid the SDK-local duplicate"
0x000fa978,"FUN_000fa978","__NVIC_SystemReset","recovered","high","exact CMSIS Cortex-M4 AIRCR reset sequence from the pinned Nordic SDK"
0x000fa99c,"FUN_000fa99c","nrf_fstorage_nvmc_erase","recovered","high","exact Nordic fstorage backend semantics and immutable API-table order"
0x000fa9e4,"FUN_000fa9e4","nrf_fstorage_sd_erase","recovered","high","exact Nordic fstorage backend semantics and immutable API-table order"
0x000faa30,"FUN_000faa30","nrf_fstorage_nvmc_event_send","recovered","high","exact static event_send from nrf_fstorage_nvmc.c, qualified to avoid the SD-backend duplicate"
0x000faa66,"FUN_000faa66","event_send","recovered","high","BSim 0.922 and fstorage event-dispatch semantics"
0x000faaba,"FUN_000faaba","ext_err_code_handle","recovered","high","exact Nordic extended-error threshold, normalization, and setter dispatch"
0x000faac8,"FUN_000faac8","ext_error_get","recovered","high","exact Nordic read-and-clear extended-error helper"
0x000faad8,"FUN_000faad8","ext_error_set","recovered","high","exact Nordic extended-error store returning response code 0x0b"
0x000faafc,"FUN_000faafc","fw_hash_ok","recovered","high","exact Nordic validation wrapper tail-merging into the shared little-endian hash checker"
0x000fab04,"gap_params_init","gap_params_init","recovered","high","security-audit advertising-name data flow"
0x000fabf4,"FUN_000fabf4","hash_result_get","recovered","high","exact Nordic SDK CryptoCell SHA-256 error mapping and all recovered backend callers"
0x000fac3c,"FUN_000fac3c","image_copy","recovered","high","exact Nordic bootloader activation page-chunk copy and progress-persistence loop"
0x000facd4,"FUN_000facd4","nrf_fstorage_nvmc_init","recovered","high","exact Nordic fstorage backend semantics and immutable API-table order"
0x000face0,"FUN_000face0","nrf_fstorage_sd_init","recovered","high","exact Nordic fstorage backend semantics and immutable API-table order"
0x000fad18,"FUN_000fad18","nrf_fstorage_nvmc_is_busy","recovered","high","exact Nordic fstorage backend semantics and immutable API-table order"
0x000fad28,"FUN_000fad28","nrf_fstorage_sd_is_busy","recovered","high","exact Nordic fstorage backend semantics and immutable API-table order"
0x000fad38,"FUN_000fad38","is_major_softdevice_update","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fad98,"FUN_000fad98","iter_from_extension","recovered","high","exact nanopb extension iterator construction and pointer-field special case"
0x000fadc8,"FUN_000fadc8","main","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fadf8,"FUN_000fadf8","nrf_atfifo_clear","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fae08,"FUN_000fae08","nrf_atfifo_init","recovered","medium","BSim and atomic-FIFO initialization semantics"
0x000fae2e,"FUN_000fae2e","nrf_atfifo_item_alloc","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fae44,"FUN_000fae44","nrf_atfifo_item_free","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fae5a,"FUN_000fae5a","nrf_atfifo_item_get","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fae70,"FUN_000fae70","nrf_atfifo_item_put","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fae86,"FUN_000fae86","nrf_atomic_flag_clear","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fae8c,"FUN_000fae8c","nrf_atomic_u32_fetch_or","recovered","high","exact Nordic atomic API wrapper over recovered internal OR primitive"
0x000faea8,"FUN_000faea8","nrf_atomic_u32_fetch_store","recovered","high","exact Nordic atomic API wrapper over recovered internal MOV primitive"
0x000faeb2,"FUN_000faeb2","nrf_balloc_alloc","recovered","high","BSim plus balloc call cluster"
0x000faef6,"FUN_000faef6","nrf_balloc_free","recovered","high","BSim plus balloc call cluster"
0x000faf26,"FUN_000faf26","nrf_balloc_init","recovered","medium","BSim plus balloc structure setup"
0x000faf56,"nrf_bootloader_app_start_final","nrf_bootloader_app_start_final","recovered","high","BSim significance 46.9, ACL setup, MSP load, and reset-vector jump"
0x000fafdc,"FUN_000fafdc","nrf_bootloader_dfu_inactivity_timer_restart","recovered","high","exact Nordic timer-stop and optional timer-start control flow"
0x000fb004,"nrf_bootloader_acl_add","nrf_bootloader_acl_add","recovered","high","security-audit ACL register semantics"
0x000fb044,"nrf_bootloader_fw_activate","nrf_bootloader_fw_activate","recovered","high","security-audit bank-type activation dispatcher"
0x000fb0b8,"nrf_bootloader_init","nrf_bootloader_init","recovered","high","BSim plus Nordic bootloader initialization structure"
0x000fb168,"FUN_000fb168","nrf_bootloader_mbr_addrs_populate","recovered","high","BSim 0.910 and MBR address population semantics"
0x000fb198,"FUN_000fb198","nrf_bootloader_wdt_feed","recovered","high","exact Nordic bootloader watchdog started-check and feed call"
0x000fb1ac,"FUN_000fb1ac","nrf_bootloader_wdt_feed_timer_start","recovered","high","exact Nordic repeated-timeout assignment and timer-start wrapper"
0x000fb1c0,"FUN_000fb1c0","nrf_bootloader_wdt_init","recovered","high","exact Nordic one-time watchdog initialization and timeout-reduction policy"
0x000fb208,"FUN_000fb208","nrf_crypto_backend_secp256r1_public_key_from_raw","recovered","high","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb228,"FUN_000fb228","nrf_crypto_backend_secp256r1_verify","recovered","medium","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb298,"FUN_000fb298","nrf_crypto_ecc_public_key_from_raw","recovered","high","exact Nordic nrf_crypto parameter checks, backend dispatch, and init marker"
0x000fb2cc,"FUN_000fb2cc","nrf_crypto_ecdsa_verify","recovered","high","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb320,"FUN_000fb320","nrf_crypto_hash_finalize","recovered","medium","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb38c,"FUN_000fb38c","nrf_crypto_hash_init","recovered","high","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb3b8,"FUN_000fb3b8","nrf_crypto_hash_update","recovered","high","exact Nordic hash context/input checks and provider update dispatch"
0x000fb3e8,"FUN_000fb3e8","nrf_crypto_init","recovered","high","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb428,"FUN_000fb428","nrf_crypto_internal_double_swap_endian","recovered","high","exact Nordic two-part endian-copy wrapper"
0x000fb442,"FUN_000fb442","nrf_crypto_internal_double_swap_endian_in_place","recovered","medium","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb458,"FUN_000fb458","nrf_crypto_internal_ecc_key_input_check","recovered","high","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb470,"FUN_000fb470","nrf_crypto_internal_ecc_key_output_prepare","recovered","high","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb48a,"FUN_000fb48a","nrf_crypto_internal_ecc_raw_input_check","recovered","high","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb4a0,"FUN_000fb4a0","nrf_crypto_internal_swap_endian","recovered","high","exact Nordic reverse-order copy helper"
0x000fb4b6,"FUN_000fb4b6","nrf_crypto_internal_swap_endian_in_place","recovered","medium","Nordic nrf_crypto wrapper source and BSim/call-chain match"
0x000fb4d0,"FUN_000fb4d0","nrf_dfu_bank0_start_addr","recovered","high","exact Nordic SoftDevice-present bank-zero page alignment"
0x000fb4f8,"FUN_000fb4f8","nrf_dfu_bank1_start_addr","recovered","high","exact Nordic bank-zero plus image-size page alignment"
0x000fb518,"FUN_000fb518","nrf_dfu_bank_invalidate","recovered","high","exact Nordic bank-record clear and write-offset reset"
0x000fb52c,"FUN_000fb52c","nrf_dfu_cache_prepare","recovered","high","exact Nordic three-pass app/SoftDevice cache-fit policy"
0x000fb5c4,"FUN_000fb5c4","nrf_dfu_command_req","recovered","high","exact Nordic command-object opcode dispatcher and response mutation flow"
0x000fb658,"FUN_000fb658","nrf_dfu_data_req","recovered","high","exact Nordic data-object opcode dispatcher and deferred-execute response policy"
0x000fb6cc,"FUN_000fb6cc","nrf_dfu_flash_erase","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fb6dc,"FUN_000fb6dc","nrf_dfu_flash_init","recovered","medium","BSim plus settings-init caller semantics"
0x000fb6f8,"FUN_000fb6f8","nrf_dfu_flash_store","recovered","high","exact Nordic SDK 17.1.0 source/control-flow correlation and immutable body hash"
0x000fb710,"FUN_000fb710","nrf_dfu_init","recovered","high","exact Nordic DFU observer, transport, flash, and stored-init-command initialization flow"
0x000fb73c,"FUN_000fb73c","nrf_dfu_init_user","recovered","high","exact weak Nordic user-init default in its nrf_bootloader_init call-site slot"
0x000fb740,"nrf_dfu_mbr_copy_bl","nrf_dfu_mbr_copy_bl","recovered","high","security-audit recovered MBR COPY_BL wrapper"
0x000fb758,"FUN_000fb758","nrf_dfu_mbr_init_sd","recovered","high","exact Nordic SD_MBR_COMMAND_INIT_SD stack command and SVC wrapper"
0x000fb770,"FUN_000fb770","nrf_dfu_mbr_irq_forward_address_set","recovered","high","exact BSim and MBR command structure"
0x000fb7c0,"FUN_000fb7c0","nrf_dfu_req_handler_on_req","recovered","medium","BSim and DFU request-dispatch behavior"
0x000fb7d8,"FUN_000fb7d8","nrf_dfu_req_handler_req_process","recovered","high","exact Nordic request/response template, object dispatcher, callback, and failure observer flow"
0x000fb868,"FUN_000fb868","nrf_dfu_set_adv_name_handler","recovered","medium","BSim and advertising-name settings path"
0x000fb8e4,"FUN_000fb8e4","nrf_dfu_settings_additional_erase","recovered","high","exact Nordic settings SVCI peer/advertising CRC gate and direct NVMC page rewrite"
0x000fb918,"FUN_000fb918","nrf_dfu_settings_adv_name_copy","recovered","high","exact Nordic null-check, 28-byte advertising-name copy, and success return"
0x000fb930,"bootloader_adv_name_record_valid","bootloader_adv_name_record_valid","recovered","high","security-audit CRC and unchecked-length recovery"
