profile	function	candidate_size	stock_size	absolute_size_delta	raw_match_possible_by_size	normalized_compare
Os	dmAdvConfig	inlined_or_absent			not_applicable	not_run_readiness_probe_only
O1	dmAdvConfig	inlined_or_absent			not_applicable	not_run_readiness_probe_only
Os	dmAdvActConfig	124	602	-478	no	not_run_readiness_probe_only
O1	dmAdvActConfig	124	602	-478	no	not_run_readiness_probe_only
Os	dmAdvActSetData	72			not_applicable	not_run_readiness_probe_only
O1	dmAdvActSetData	72			not_applicable	not_run_readiness_probe_only
Os	dmAdvActStart	72			not_applicable	not_run_readiness_probe_only
O1	dmAdvActStart	68			not_applicable	not_run_readiness_probe_only
Os	dmAdvActStop	68			not_applicable	not_run_readiness_probe_only
O1	dmAdvActStop	64			not_applicable	not_run_readiness_probe_only
Os	dmAdvActRemoveSet	2			not_applicable	not_run_readiness_probe_only
O1	dmAdvActRemoveSet	2			not_applicable	not_run_readiness_probe_only
Os	dmAdvActClearSets	2			not_applicable	not_run_readiness_probe_only
O1	dmAdvActClearSets	2			not_applicable	not_run_readiness_probe_only
Os	dmAdvActSetRandAddr	2			not_applicable	not_run_readiness_probe_only
O1	dmAdvActSetRandAddr	2			not_applicable	not_run_readiness_probe_only
Os	dmAdvActTimeout	40			not_applicable	not_run_readiness_probe_only
O1	dmAdvActTimeout	40			not_applicable	not_run_readiness_probe_only
Os	dmAdvReset	60			not_applicable	not_run_readiness_probe_only
O1	dmAdvReset	72			not_applicable	not_run_readiness_probe_only
Os	dmAdvHciHandler	200			not_applicable	not_run_readiness_probe_only
O1	dmAdvHciHandler	220			not_applicable	not_run_readiness_probe_only
Os	dmAdvMsgHandler	20			not_applicable	not_run_readiness_probe_only
O1	dmAdvMsgHandler	24			not_applicable	not_run_readiness_probe_only
Os	dmAdvStartDirected	72	372	-300	no	not_run_readiness_probe_only
O1	dmAdvStartDirected	76	372	-296	no	not_run_readiness_probe_only
Os	dmAdvStopDirected	60	356	-296	no	not_run_readiness_probe_only
O1	dmAdvStopDirected	56	356	-300	no	not_run_readiness_probe_only
Os	dmAdvConnected	48	292	-244	no	not_run_readiness_probe_only
O1	dmAdvConnected	48	292	-244	no	not_run_readiness_probe_only
Os	dmAdvConnectFailed	48	292	-244	no	not_run_readiness_probe_only
O1	dmAdvConnectFailed	48	292	-244	no	not_run_readiness_probe_only
Os	DmAdvInit	48			not_applicable	not_run_readiness_probe_only
O1	DmAdvInit	44			not_applicable	not_run_readiness_probe_only
Os	DmAdvModeLeg	24			not_applicable	not_run_readiness_probe_only
O1	DmAdvModeLeg	24			not_applicable	not_run_readiness_probe_only
