symbol	kind	probe_provider
BdaCpy	function	zero-return authored stub
Calc128Cpy	function	zero-return authored stub
dmCb	object	4096-byte authored BSS provider
dmDevPassEvtToDevPriv	function	zero-return authored stub
dmEmptyHandler	function	zero-return authored stub
dmEmptyReset	function	zero-return authored stub
dmFcnIfTbl	object	1024-byte authored BSS provider
HciLeAddDeviceToResolvingListCmd	function	zero-return authored stub
HciLeClearResolvingList	function	zero-return authored stub
HciLeReadLocalResolvableAddr	function	zero-return authored stub
HciLeReadPeerResolvableAddr	function	zero-return authored stub
HciLeRemoveDeviceFromResolvingList	function	zero-return authored stub
HciLeSetAddrResolutionEnable	function	zero-return authored stub
HciLeSetPrivacyModeCmd	function	zero-return authored stub
HciLeSetResolvablePrivateAddrTimeout	function	zero-return authored stub
memcmp	function	zero-return authored stub
memcpy	function	zero-return authored stub
memset	function	zero-return authored stub
SecAes	function	zero-return authored stub
SecRand	function	zero-return authored stub
WsfMsgAlloc	function	zero-return authored stub
WsfMsgSend	function	zero-return authored stub
WsfTaskLock	function	zero-return authored stub
WsfTaskUnlock	function	zero-return authored stub
