image,inventory_source,entry,end,size,recovered_name,provider_family,source_disposition,upstream_symbol,confidence,evidence
application,ghidra_functions_csv,0x00027208,0x0002720b,4,thunk_FUN_00075f64,r1_product_specific,clean_room_behavior_only,r1_main_reset_trampoline,high,Accepted R1 decompilation/security-audit behavior address; no third-party implementation identified.
application,ghidra_functions_csv,0x00027218,0x00027233,28,FUN_00027218,freertos_10_5_1_nordic_nrf52_port,use_authenticated_upstream_snapshot_and_nordic_port,vPortSVCHandler,high,Exact FreeRTOS-Kernel 10.5.1 core or Nordic nRF52 port function-local control flow; compile external/freertos/portable/GCC/nrf52/port.c from the authenticated core or pinned SDK port. The product-owned seam is limited to FreeRTOSConfig tick/tickless and pre-sleep-hook selection.
application,ghidra_functions_csv,0x00027238,0x0002725b,36,FUN_00027238,freertos_10_5_1_nordic_nrf52_port,use_authenticated_upstream_snapshot_and_nordic_port,vPortStartFirstTask,high,Exact FreeRTOS-Kernel 10.5.1 core or Nordic nRF52 port function-local control flow; compile external/freertos/portable/GCC/nrf52/port.c from the authenticated core or pinned SDK port. The product-owned seam is limited to FreeRTOSConfig tick/tickless and pre-sleep-hook selection.
application,ghidra_functions_csv,0x0002725c,0x000272b3,88,FUN_0002725c,freertos_10_5_1_nordic_nrf52_port,use_authenticated_upstream_snapshot_and_nordic_port,xPortPendSVHandler,high,Exact FreeRTOS-Kernel 10.5.1 core or Nordic nRF52 port function-local control flow; compile external/freertos/portable/GCC/nrf52/port.c from the authenticated core or pinned SDK port. The product-owned seam is limited to FreeRTOSConfig tick/tickless and pre-sleep-hook selection.
application,ghidra_functions_csv,0x000272b8,0x000272ef,56,FUN_000272b8,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atfifo_wspace_req,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic_fifo/nrf_atfifo_internal.h::nrf_atfifo_wspace_req.
application,ghidra_functions_csv,0x000272f0,0x00027301,18,FUN_000272f0,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atfifo_wspace_close,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic_fifo/nrf_atfifo_internal.h::nrf_atfifo_wspace_close.
application,ghidra_functions_csv,0x00027302,0x0002733b,58,FUN_00027302,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atfifo_rspace_req,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic_fifo/nrf_atfifo_internal.h::nrf_atfifo_rspace_req.
application,ghidra_functions_csv,0x0002733c,0x0002734d,18,FUN_0002733c,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atfifo_rspace_close,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic_fifo/nrf_atfifo_internal.h::nrf_atfifo_rspace_close.
application,ghidra_functions_csv,0x0002734e,0x0002737f,50,FUN_0002734e,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atfifo_space_clear,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic_fifo/nrf_atfifo_internal.h::nrf_atfifo_space_clear.
application,ghidra_functions_csv,0x00027380,0x00027397,24,FUN_00027380,nordic_nrf5_sdk_17_1_0,use_nordic_sdk,nrf_atomic_internal_mov,high,Exact function-local SDK evidence and semantic control flow correlate to Nordic SDK 17.1.0 components/libraries/atomic/nrf_atomic_internal.h::nrf_atomic_internal_mov.
